Citance Number: 1 | Reference Article: P98-1046.xml | Citing Article: A00-2034.xml | Citation Marker Offset: ['3637'] | Citation Marker: Dang et al, 1998 | Citation Offset: ['36'] | Citation Text: <S sid="36" ssid="22">Levin's classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., <Root> TCM war car migration meal drum time ceremonial migration week month afternoon s p e e c h y e l l i n g Figure 1: TCM for the object slot of the transitive frame of start.</S> | Reference Offset: ['31' , '28' , '38' , '40' , '65' , '81' , '99' , '109' , '124' , '10' , '28' , '38' , '40' , '65' , '81' , '99' , '109' , '124' ] | Reference Text: <S sid="31" ssid="12">For example, break verbs and cut verbs are similar in that they can all participate in the transitive and in the mid? dle construction, John broke the window, Glass breaks easily, John cut the bread, This loaf cuts easily.</S> <S sid="28" ssid="9">The fundamental assumption is that the syntactic frames are a direct reflection of the un? derlying semantics.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="99" ssid="13">This is exemplified by the Levin cut verbs and the intersective class formed by the cut verbs and split verbs.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S> <S sid="10" ssid="10">The authors would like to acknowledge the sup? port of DARPA grant N6600194C-6043, ARO grant DAAH0494G-0426, and CAPES grant 0914/952.</S> <S sid="28" ssid="9">The fundamental assumption is that the syntactic frames are a direct reflection of the un? derlying semantics.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="99" ssid="13">This is exemplified by the Levin cut verbs and the intersective class formed by the cut verbs and split verbs.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 10 | Reference Article: P98-1046.xml | Citing Article: J04-1003.xml | Citation Marker Offset: ['59'] | Citation Marker: 1998 | Citation Offset: ['58'] | Citation Text: <S sid="58" ssid="58">Palmer (2000) and Dang et al.</S> | Reference Offset: ['28' , '33' , '38' , '40' , '56' , '65' , '82' , '81' , '109' , '115' , '122' , '124' , '21' , '27' , '31' , '28' , '33' , '38' , '40' , '65' , '82' , '81' , '109' , '122' , '124' ] | Reference Text: <S sid="28" ssid="9">The fundamental assumption is that the syntactic frames are a direct reflection of the un? derlying semantics.</S> <S sid="33" ssid="14">In addition, cut verbs can oc? cur in the conative, John valiantly cut/hacked at the frozen loaf, but his knife was too dull to make a dent in it, whereas break verbs cannot, *John broke at the window.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="56" ssid="10">mantic classes such that let n ... n enI e, where e is a relevance cutoff.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="82" ssid="36">Since intersective classes were built using membership lists rather than the set of defining alterna? tions, they were similarly incomplete.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="115" ssid="29">To explicitly list separa tion as a possible sense for all these verbs would be extravagant when this sense can be gener? ated from the combination of the adjunct with the force (potential cause of change of physical state) or motion (itself a special kind of change of state, i.e., of position) semantic component of the verb.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S> <S sid="21" ssid="2">WordNet is an on? line lexical database of English that currently contains approximately 120,000 sets of noun, verb, adjective, and adverb synonyms, each rep? resenting a lexicalized concept.</S> <S sid="27" ssid="8">The distribution of syntactic frames in which a verb can appear determines its class member? ship.</S> <S sid="31" ssid="12">For example, break verbs and cut verbs are similar in that they can all participate in the transitive and in the mid? dle construction, John broke the window, Glass breaks easily, John cut the bread, This loaf cuts easily.</S> <S sid="28" ssid="9">The fundamental assumption is that the syntactic frames are a direct reflection of the un? derlying semantics.</S> <S sid="33" ssid="14">In addition, cut verbs can oc? cur in the conative, John valiantly cut/hacked at the frozen loaf, but his knife was too dull to make a dent in it, whereas break verbs cannot, *John broke at the window.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="82" ssid="36">Since intersective classes were built using membership lists rather than the set of defining alterna? tions, they were similarly incomplete.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 11 | Reference Article: P98-1046.xml | Citing Article: J04-1003.xml | Citation Marker Offset: ['436'] | Citation Marker: Dang et al. 1998 | Citation Offset: ['436'] | Citation Text: <S sid="436" ssid="1">Levin?s (1993) seminal study on diathesis alternations and verb semantic classes has recently influenced work in dictionary creation (Dorr 1997; Dang et al. 1998; Dorr and Jones 1996) and notably lexicon acquisition on the basis of the assumption that verbal meaning can be gleaned from corpora using cues pertaining to syntactic structure (Merlo and Stevenson 2001; Schulte im Walde 2000; Lapata 1999; McCarthy 2000).</S> | Reference Offset: ['3' , '21' , '33' , '38' , '39' , '41' , '44' , '67' , '82' , '136' , '122' , '124' ] | Reference Text: <S sid="3" ssid="3">Current approaches to English classifica? tion, Levin classes and WordNet, have limita? tions in their applicability that impede their utility as general classification schemes.</S> <S sid="21" ssid="2">WordNet is an on? line lexical database of English that currently contains approximately 120,000 sets of noun, verb, adjective, and adverb synonyms, each rep? resenting a lexicalized concept.</S> <S sid="33" ssid="14">In addition, cut verbs can oc? cur in the conative, John valiantly cut/hacked at the frozen loaf, but his knife was too dull to make a dent in it, whereas break verbs cannot, *John broke at the window.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="39" ssid="20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S> <S sid="41" ssid="22">Of course, some Levin classes, such as braid (bob, braid, brush, clip, coldcream, comb, condition, crimp, crop, curl, etc.) are clearly not intended to be synonymous, which at least partly explains the lack of overlap be? tween Levin and WordNet.</S> <S sid="44" ssid="25">This listing of a verb in more than one class (many verbs are in three or even four classes) is left open to interpretation in Levin.</S> <S sid="67" ssid="21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as "separate by V-ing," where "V" is the basic meaning of that verb (Levin, 1993).</S> <S sid="82" ssid="36">Since intersective classes were built using membership lists rather than the set of defining alterna? tions, they were similarly incomplete.</S> <S sid="136" ssid="50">Table 1 shows how these Portuguese verbs natu? rally cluster into two different subclasses, based on their ability to take the conative and apart alternations as well as path prepositions.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 12 | Reference Article: P98-1046.xml | Citing Article: J05-1004.xml | Citation Marker Offset: ['68'] | Citation Marker: Dang et al. 1998 | Citation Offset: ['68'] | Citation Text: <S sid="68" ssid="20">In many cases, the additional information that VerbNet provides for each class has caused it to subdivide, or use intersections of, Levin?s original classes, adding an additional level to the hierarchy (Dang et al. 1998).</S> | Reference Offset: ['3' , '38' , '82' , '117' , '122' , '124' ] | Reference Text: <S sid="3" ssid="3">Current approaches to English classifica? tion, Levin classes and WordNet, have limita? tions in their applicability that impede their utility as general classification schemes.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="82" ssid="36">Since intersective classes were built using membership lists rather than the set of defining alterna? tions, they were similarly incomplete.</S> <S sid="117" ssid="31">It would be straight? forward to augment it with pointers indicating which senses are basic to a class of verbs and which can be generated automatically, and in? clude corresponding syntactic information.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 13 | Reference Article: P98-1046.xml | Citing Article: N01-1012.xml | Citation Marker Offset: ['208'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['208'] | Citation Text: <S sid="208" ssid="1">Besides the obvious influence of WordNet, this work is very much related to Palmer&apos;s VerbNet project (Dang et al., 1998), and has benefited from (Levin, 1993) and (Pritchett, 1992).</S> | Reference Offset: ['38' , '65' , '81' , '83' , '109' ] | Reference Text: <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="83" ssid="37">This is an obvious shortcoming of the current implementation of intersec? tive classes, and might affect the choice of 3 as a relevance cutoff in later implementations.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 15 | Reference Article: P98-1046.xml | Citing Article: P03-1009.xml | Citation Marker Offset: ['6'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['5'] | Citation Text: <S sid="5" ssid="5">Classifications which aim to capture the close relation between the syntax and semantics of verbs have attracted a considerable research interest in both linguistics and computational linguistics (e.g.</S> | Reference Offset: ['27' , '28' , '38' , '44' , '51' , '61' , '67' , '80' , '108' , '136' , '122' , '124' , '38' , '80' , '108' , '136' , '122' , '124' ] | Reference Text: <S sid="27" ssid="8">The distribution of syntactic frames in which a verb can appear determines its class member? ship.</S> <S sid="28" ssid="9">The fundamental assumption is that the syntactic frames are a direct reflection of the un? derlying semantics.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="44" ssid="25">This listing of a verb in more than one class (many verbs are in three or even four classes) is left open to interpretation in Levin.</S> <S sid="51" ssid="5">The sole member of this intersection is the verb draw.</S> <S sid="61" ssid="15">Figure 1: Algorithm for identifying relevant semantic-class intersections We then reclassified the verbs in the database as follows.</S> <S sid="67" ssid="21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as "separate by V-ing," where "V" is the basic meaning of that verb (Levin, 1993).</S> <S sid="80" ssid="34">Sim? ilarly, draw and yank can be viewed as carry verbs al? though they are not listed as such.</S> <S sid="108" ssid="22">Levin verb classes are based on an underlying lat? tice of partial semantic descriptions, which are manifested indirectly in diathesis alternations.</S> <S sid="136" ssid="50">Table 1 shows how these Portuguese verbs natu? rally cluster into two different subclasses, based on their ability to take the conative and apart alternations as well as path prepositions.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="80" ssid="34">Sim? ilarly, draw and yank can be viewed as carry verbs al? though they are not listed as such.</S> <S sid="108" ssid="22">Levin verb classes are based on an underlying lat? tice of partial semantic descriptions, which are manifested indirectly in diathesis alternations.</S> <S sid="136" ssid="50">Table 1 shows how these Portuguese verbs natu? rally cluster into two different subclasses, based on their ability to take the conative and apart alternations as well as path prepositions.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 16 | Reference Article: P98-1046.xml | Citing Article: P04-1046.xml | Citation Marker Offset: ['183'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['183'] | Citation Text: <S sid="183" ssid="2">In computational linguistics, the VerbNet project (Dang et al., 1998) and Framenet (www.icsi.berkeley.edu/ framen,a) (Fillmore et al., 2003) bear relation to this work.</S> | Reference Offset: ['109' ] | Reference Text: <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 17 | Reference Article: P98-1046.xml | Citing Article: P06-1117.xml | Citation Marker Offset: ['21'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['21'] | Citation Text: <S sid="21" ssid="21">A very good candidate seems to be the Intersective Levin class (ILC) (Dang et al., 1998) that can be found as well in other predicate resources like PB and VerbNet (VN) (Kipper et al., 2000).</S> | Reference Offset: ['38' , '40' , '65' , '82' , '81' , '83' , '109' , '117' , '122' ] | Reference Text: <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="82" ssid="36">Since intersective classes were built using membership lists rather than the set of defining alterna? tions, they were similarly incomplete.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="83" ssid="37">This is an obvious shortcoming of the current implementation of intersec? tive classes, and might affect the choice of 3 as a relevance cutoff in later implementations.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="117" ssid="31">It would be straight? forward to augment it with pointers indicating which senses are basic to a class of verbs and which can be generated automatically, and in? clude corresponding syntactic information.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 18 | Reference Article: P98-1046.xml | Citing Article: P06-1117.xml | Citation Marker Offset: ['78'] | Citation Marker: Dang et al., 1998 | Citation Offset: ['78'] | Citation Text: <S sid="78" ssid="19">This constraint of having the same semantic roles is further ensured inside the VN lexicon which is constructed based on a more refined version of the Levin?s classification, called Intersective Levin classes (ILCs) (Dang et al., 1998).</S> | Reference Offset: ['3' , '16' , '38' , '83' , '100' , '117' , '122' ] | Reference Text: <S sid="3" ssid="3">Current approaches to English classifica? tion, Levin classes and WordNet, have limita? tions in their applicability that impede their utility as general classification schemes.</S> <S sid="16" ssid="16">We also examine similar classes in Portuguese, and the predictive powers of alternations in this language with respect to the same semantic components.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="83" ssid="37">This is an obvious shortcoming of the current implementation of intersec? tive classes, and might affect the choice of 3 as a relevance cutoff in later implementations.</S> <S sid="100" ssid="14">The original intersective class (cut, hack, hew, saw) exhibits alternations of both parent classes, and has been augmented with chip, clip, slash, snip since these cut verbs also display the syntactic properties of split verbs.</S> <S sid="117" ssid="31">It would be straight? forward to augment it with pointers indicating which senses are basic to a class of verbs and which can be generated automatically, and in? clude corresponding syntactic information.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 19 | Reference Article: P98-1046.xml | Citing Article: P13-3009.xml | Citation Marker Offset: ['147148'] | Citation Marker: Dang et. al, 1998 | Citation Offset: ['148'] | Citation Text: <S sid="148" ssid="11">al, 1998; Kipper et.</S> | Reference Offset: ['27' , '40' , '65' , '81' , '109' , '114' , '136' , '122' , '124' , '27' , '30' , '40' , '65' , '81' , '109' , '136' , '122' , '124' , '26' , '40' , '65' , '81' , '109' , '136' , '122' , '124' ] | Reference Text: <S sid="27" ssid="8">The distribution of syntactic frames in which a verb can appear determines its class member? ship.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="114" ssid="28">However, apart can also be used with other classes of verbs, including many verbs of motion.</S> <S sid="136" ssid="50">Table 1 shows how these Portuguese verbs natu? rally cluster into two different subclasses, based on their ability to take the conative and apart alternations as well as path prepositions.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S> <S sid="27" ssid="8">The distribution of syntactic frames in which a verb can appear determines its class member? ship.</S> <S sid="30" ssid="11">The sets of syntactic frames associated with a particular Levin class are not intended to be arbitrary, and they are supposed to reflect un? derlying semantic components that constrain al? lowable arguments.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="136" ssid="50">Table 1 shows how these Portuguese verbs natu? rally cluster into two different subclasses, based on their ability to take the conative and apart alternations as well as path prepositions.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S> <S sid="26" ssid="7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac? tic frames that are in some sense meaning pre? serving (diathesis alternations) (Levin, 1993).</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="136" ssid="50">Table 1 shows how these Portuguese verbs natu? rally cluster into two different subclasses, based on their ability to take the conative and apart alternations as well as path prepositions.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="124" ssid="38">When a roll verb occurs in the tran? sitive (Bill moved the box across the room), the subject physically causes the object to move, whereas the subject of a transitive run verb merely induces the object to move (the coach ran the athlete around the track).</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
Citance Number: 2 | Reference Article: P98-1046.xml | Citing Article: A00-2034.xml | Citation Marker Offset: ['39'] | Citation Marker: 1998 | Citation Offset: ['38'] | Citation Text: <S sid="38" ssid="24">Dang et al.</S> | Reference Offset: ['16' , '27' , '30' , '38' , '40' , '65' , '81' , '109' , '122' , '26' , '38' , '40' , '65' , '81' , '109' , '114' , '122' ] | Reference Text: <S sid="16" ssid="16">We also examine similar classes in Portuguese, and the predictive powers of alternations in this language with respect to the same semantic components.</S> <S sid="27" ssid="8">The distribution of syntactic frames in which a verb can appear determines its class member? ship.</S> <S sid="30" ssid="11">The sets of syntactic frames associated with a particular Levin class are not intended to be arbitrary, and they are supposed to reflect un? derlying semantic components that constrain al? lowable arguments.</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S> <S sid="26" ssid="7">Levin verb classes are based on the ability of a verb to occur or not occur in pairs of syntac? tic frames that are in some sense meaning pre? serving (diathesis alternations) (Levin, 1993).</S> <S sid="38" ssid="19">2.1 Ambiguities in Levin classes.</S> <S sid="40" ssid="21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared seman? tic components.</S> <S sid="65" ssid="19">isolate semantic components Some of the large Levin classes comprise verbs that exhibit a wide range of possible semantic components, and could be divided into smaller subclasses.</S> <S sid="81" ssid="35">The list of members for each Levin verb class is not always complete, so to check if a particular verb belongs to a class it is better to check that the verb exhibits all the alternations that de? fine the class.</S> <S sid="109" ssid="23">Whereas high level semantic relations (syn? onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> <S sid="114" ssid="28">However, apart can also be used with other classes of verbs, including many verbs of motion.</S> <S sid="122" ssid="36">The two classes differ in that roll verbs relate to manners of motion charac? teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S>  | Discourse Facet: Method_Citation | Annotator: Ankita Patel |
