Citance Number: 1 |  Reference Article:   P05-1004.xml  |  Citing Article:  C10-2101.xml  |  Citation Marker Offset:  ['74']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['74']  |  Citation Text:  <S sid ="74" ssid = "44">Another related task is supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006).</S>  | Reference Offset: ['159','87','206',] | Reference Text: <S sid ="159" ssid = "13">We have experimented with up to 200 voting extracted synonyms.</S><S sid ="87" ssid = "1">Similarity Vector-space models of similarity are based on the distributional hypothesis that similar words appear in similar contexts.</S><S sid ="206" ssid = "4">The question now becomes how to construct vectors of supersenses.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:   P05-1004.xml  |  Citing Article:  E09-1045.xml  |  Citation Marker Offset:  ['23']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['23']  |  Citation Text:  <S sid ="23" ssid = "23">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005) and (Ciaramita and Altun, 2006).</S>  | Reference Offset: ['44','26','220',] | Reference Text: <S sid ="44" ssid = "18">Supersense tagging can provide automated or semi- automated assistance to lexicographers adding words to the WORDNET hierarchy.</S><S sid ="26" ssid = "26">Qc 2005 Association for Computational Linguistics L E X -FI L E D E S C R I P T I O N act acts or actions animal animals artifact man-made objects attribute attributes of people and objects body body parts cognition cognitive processes and contents communication communicative processes and contents event natural events feeling feelings and emotions food foods and drinks group groupings of people or objects location spatial position motive goals object natural objects (not man-made) person people phenomenon natural phenomena plant plants possession possession and transfer of possession process natural processes quantity quantities and units of measure relation relations between people/things/ideas shape two and three dimensional shapes state stable states of affairs substance substances time time and temporal relations Table 1: 25 noun lexicographer files in WORDNET</S><S sid ="220" ssid = "18">However, there are 174 multi-word terms (23%) in the WORDNET 1.7.1 test set which we could probably tag more accurately with synonyms for the whole multi-word term.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:   P05-1004.xml  |  Citing Article:  J07-4005.xml  |  Citation Marker Offset:  ['229']  |  Citation Marker:  2005  |  Citation Offset:  ['229']  |  Citation Text:  <S sid ="229" ssid = "72">Although we could adapt our method for use with an automatically induced inventory, our method which uses WordNet might also be combined with one that can automatically find new senses from text and then relate these to WordNet synsets, as Ciaramita and Johnson (2003) and Curran (2005) do with unknown nouns.</S>  | Reference Offset: ['104','39','190',] | Reference Text: <S sid ="104" ssid = "18">This consists of five passes over each sentence that first identify noun and verb phrase heads and p(w, r, wt ) âˆ’ p(âˆ—, r, wt )p(w, âˆ—, âˆ—) p(âˆ—, r, wt )p(w, âˆ—, âˆ—) (2) then collect grammatical relations between each common noun and its modifiers and verbs.</S><S sid ="39" ssid = "13">(2003) describe how the lex-files can be used as root nodes in a two level hierarchy with the WORDNET synsets appear ing directly underneath.</S><S sid ="190" ssid = "20">On the previously unused WORDNET 1.7.1 test set, our accuracy is 63% using the best system on the WORDNET 1.6 test set.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:   P05-1004.xml  |  Citing Article:  J09-3004.xml  |  Citation Marker Offset:  ['446']  |  Citation Marker:  Curran 2005  |  Citation Offset:  ['446']  |  Citation Text:  <S sid ="446" ssid = "30">An additional potential is to integrate automatically acquired relationships with the information found in WordNet, which seems to suffer from several serious limitations (Curran 2005), and typically overlaps to a rather limited extent with the output of automatic acquisition methods.</S>  | Reference Offset: ['139','13','222',] | Reference Text: <S sid ="139" ssid = "53">The interaction between the head verb and the preposition determine whether the noun is an indirect object of a ditransitive verb or alternatively the head of a PP that is modifying the verb.</S><S sid ="13" ssid = "13">Some specialist topics are better covered in WORD- NET than others, e.g. dog has finer-grained distinctions than cat and worm although this does not reflect finer distinctions in reality; limited coverage of infrequent words and senses.</S><S sid ="222" ssid = "20">We intend to extend our experiments beyond the Ciaramita and Johnson (2003) set to include previous and more recent versions of WORDNET to compare their difficulty, and also perform experiments over a range of corpus sizes to determine the impact of corpus size on the quality of results.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:   P05-1004.xml  |  Citing Article:  N06-1017.xml  |  Citation Marker Offset:  ['26']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['26']  |  Citation Text:  <S sid ="26" ssid = "26">There are, however, approaches to the complementary problem of determining the closest known sense for unknown words (Widdows, 2003; Curran, 2005; Burchardt et al., 2005), which can be viewed as the logical next step after unknown sense detection.</S>  | Reference Offset: ['78','83','186',] | Reference Text: <S sid ="78" ssid = "2">The corpus consists of the British National Corpus (BNC), the Reuters Corpus Volume 1 (RCV1), and most of the Linguistic Data Consortiumâ€™s news text collected since 1987: Continuous Speech Recognition III (CSRIII); North American News Text Corpus (NANTC); the NANTC Supplement (NANTS); and the ACQUAINT Corpus.</S><S sid ="83" ssid = "7">2 M 5 0 7 M AC QU A I N T 1 03 3 46 1 2 1.</S><S sid ="186" ssid = "16">This is determined by looking at the frequency and number of attributes for the unknown word.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:   P05-1004.xml  |  Citing Article:  N06-1017.xml  |  Citation Marker Offset:  ['189']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['189']  |  Citation Text:  <S sid ="189" ssid = "11">Possibilities include associating items with similar existing senses (Widdows, 2003; Curran, 2005; Burchardt et al., 2005) or clustering them into approximate senses.</S>  | Reference Offset: ['128','44','182',] | Reference Text: <S sid ="128" ssid = "42">If the head verb is a form of be then the VP becomes attributive.</S><S sid ="44" ssid = "18">Supersense tagging can provide automated or semi- automated assistance to lexicographers adding words to the WORDNET hierarchy.</S><S sid ="182" ssid = "12">All of the top performing configurations used 50 synonyms.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:   P05-1004.xml  |  Citing Article:  N07-1024.xml  |  Citation Marker Offset:  ['83']  |  Citation Marker:  Curran 2005  |  Citation Offset:  ['83']  |  Citation Text:  <S sid ="83" ssid = "3">While contextual information is the primary source of information used in WSD research and has been used for acquiring semantic lexicons and classifying unknown words in other languages (e.g., Roark and Charniak 1998; Ci aramita 2003; Curran 2005)</S>  | Reference Offset: ['35','15','231',] | Reference Text: <S sid ="35" ssid = "9">Ciaramita and Johnson (2003) call the noun lex-file classes supersenses.</S><S sid ="15" ssid = "15">By WORDNET 2.0, coverage has improved but the problem of keeping up with language evolution remains difficult.</S><S sid ="231" ssid = "7">Such a corpus is needed to acquire reliable contextual information for the often very rare nouns we are attempting to supersense tag.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:   P05-1004.xml  |  Citing Article:  P12-2050.xml  |  Citation Marker Offset:  ['15']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['15']  |  Citation Text:  <S sid ="15" ssid = "15">More re cently, the task of automatic supersense tagging has emerged for English (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006; PaaÃƒÅ¸ and Reichartz, 2009), as well as for Italian (Picca et al., 2008; Picca et al., 2009; Attardi et al., 2010) and Chinese (Qiu et al., 2011), languages with WordNetsmapped to English WordNet.3 In principle, we be lieve supersenses ought to apply to nouns and verbsin any language, and need not depend on the avail ability of a semantic lexicon.4 In this work we focuson the noun SSTs, summarized in figure 2 and ap plied to an Arabic sentence in figure 1.</S>  | Reference Offset: ['25','110','233',] | Reference Text: <S sid ="25" ssid = "25">26 Proceedings of the 43rd Annual Meeting of the ACL, pages 26â€“33, Ann Arbor, June 2005.</S><S sid ="110" ssid = "24">Our implementation uses a maximum entropy chunker which has similar feature types to Koeling (2000) and is also trained on chunks extracted from the entire Penn Treebank using the CoNLL 2000 script.</S><S sid ="233" ssid = "9">We would like to thank Massi Ciaramita for supplying his original data for these experiments and answering our queries, and to Stephen Clark and the anonymous reviewers for their helpful feedback and corrections.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:   P05-1004.xml  |  Citing Article:  S07-1032.xml  |  Citation Marker Offset:  ['16']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['16']  |  Citation Text:  <S sid ="16" ssid = "16">Thus, some research has been focused on deriving different sense groupings to overcome the fineÃ¢â‚¬â€œ grained distinctions of WN (Hearst and SchuÃ‚Â¨ tze, 1993) (Peters et al., 1998) (Mihalcea and Moldo- van, 2001) (Agirre et al., 2003) and on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997) (Ciaramita and Johnson, 2003) (Villarejo et al., 2005) (Curran, 2005) (Ciaramita and Altun, 2006).</S>  | Reference Offset: ['35','32','160',] | Reference Text: <S sid ="35" ssid = "9">Ciaramita and Johnson (2003) call the noun lex-file classes supersenses.</S><S sid ="32" ssid = "6">The names and descriptions of the noun lex-files are shown in Table 1.</S><S sid ="160" ssid = "14">There are several ways to weight each synonymâ€™s contribution.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:   P05-1004.xml  |  Citing Article:  S10-1090.xml  |  Citation Marker Offset:  ['16']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['16']  |  Citation Text:  <S sid ="16" ssid = "16">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005), (Kohomban and Lee, 2005) and (Ciaramita and Altun, 2006).</S>  | Reference Offset: ['42','26','220',] | Reference Text: <S sid ="42" ssid = "16">Ciaramita and Johnson (2003) believe that the key sense distinctions are still maintained by supersenses.</S><S sid ="26" ssid = "26">Qc 2005 Association for Computational Linguistics L E X -FI L E D E S C R I P T I O N act acts or actions animal animals artifact man-made objects attribute attributes of people and objects body body parts cognition cognitive processes and contents communication communicative processes and contents event natural events feeling feelings and emotions food foods and drinks group groupings of people or objects location spatial position motive goals object natural objects (not man-made) person people phenomenon natural phenomena plant plants possession possession and transfer of possession process natural processes quantity quantities and units of measure relation relations between people/things/ideas shape two and three dimensional shapes state stable states of affairs substance substances time time and temporal relations Table 1: 25 noun lexicographer files in WORDNET</S><S sid ="220" ssid = "18">However, there are 174 multi-word terms (23%) in the WORDNET 1.7.1 test set which we could probably tag more accurately with synonyms for the whole multi-word term.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:   P05-1004.xml  |  Citing Article:  S12-1011.xml  |  Citation Marker Offset:  ['6']  |  Citation Marker:  Curran, 2005  |  Citation Offset:  ['6']  |  Citation Text:  <S sid ="6" ssid = "6">Distributed representations are useful in capturing such meaning for individual words (Sato et al., 2008; Maas and Ng, 2010; Curran, 2005).</S>  | Reference Offset: ['149','64','167',] | Reference Text: <S sid ="149" ssid = "3">However, sometimes the unknown noun does not appear in our 2 billion word corpus, or at least does not appear frequently enough to provide sufficient contextual information to extract reliable synonyms.</S><S sid ="64" ssid = "17">This same technique as is used in our approach to supersense tagging.</S><S sid ="167" ssid = "21">Does every supersense of each extracted synonym get the whole weight of that synonym or is it distributed evenly between the supersenses like Resnik (1995)?</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
