Citance Number: 1 | Reference Article:  C00-2123.xml | Citing Article:  C02-1050.xml | Citation Marker Offset:  ['39'] | Citation Marker:  2000 | Citation Offset:  ['39'] | Citation Text: <S sid ="39" ssid = "19">Under this constraint, many researchers had contributed algorithms and associated pruning strategies, such as Berger et al.</S><S sid ="40" ssid = "20">(1996), Och et al.</S><S sid ="41" ssid = "21">(2001), Wang and Waibel (1997), Tillmann and Ney (2000) GarciaVarea and Casacuberta (2001) and Germann et al.</S> | Reference Offset: [ '15','173' ] | Reference Text: <S sid="15"> This approach is compared to another reordering scheme presented in (Berger et al., 1996).</S> <S sid="173"> Here, the pruning threshold t0 = 10:0 is used.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 2 | Reference Article:  C00-2123.xml | Citing Article:  C02-1050.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Tillman and Ney, 2000 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">There exists stack decoding algorithm (Berger et al., 1996), A* search algorithm (Och et al., 2001; Wang and Waibel, 1997) and dynamic-programming algorithms (Tillmann and Ney, 2000; GarciaVarea and Casacuberta, 2001), and all translate a given input string word-by-word and render the translation in left-to-right, with pruning technologies assuming almost linearly aligned translation source and target texts.</S> | Reference Offset: [ '25' ] | Reference Text: <S sid="25"> To explicitly handle the word reordering between words in source and target language, we use the concept of the so-called inverted alignments as given in (Ney et al., 2000).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 3 | Reference Article:  C00-2123.xml | Citing Article:  C02-1050.xml | Citation Marker Offset:  ['43'] | Citation Marker:  2000 | Citation Offset:  ['43'] | Citation Text:  <S sid ="43" ssid = "1">The decoding methods presented in this paper explore the partial candidate translation hypotheses greedily, as presented in Tillmann and Ney (2000) and Och et al.</S> | Reference Offset: [ '29','54' ] | Reference Text: <S sid="29"> The details are given in (Och and Ney, 2000).</S> <S sid="54"> For a trigram language model, the partial hypotheses are of the form (e0; e; C; j).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 4 | Reference Article:  C00-2123.xml | Citing Article:  C02-1050.xml | Citation Marker Offset:  ['80'] | Citation Marker:  2000 | Citation Offset:  ['80'] | Citation Text:  <S sid ="80" ssid = "38">The computational complexity for the left-to-right and right-to-left is the same, O(|E|3m22m ), as reported by Tillmann and Ney (2000), in which |E| is the size of the vocabulary for output sentences 3.</S> | Reference Offset: [ '120' ] | Reference Text: <S sid="120"> The proof is given in (Tillmann, 2000).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 5 | Reference Article:  C00-2123.xml | Citing Article:  C04-1091.xml | Citation Marker Offset:  ['22'] | Citation Marker:  Tillman and Ney, 2000 | Citation Offset:  ['22'] | Citation Text:  <S sid ="22" ssid = "22">Tillman and Ney showed how to improve the complexity of the Held-Karp algorithm for restricted word reordering and gave a O (l3m4) ≈ O (m7) algo rithm for French-English translation (Tillman and Ney, 2000).</S> | Reference Offset: [ '122' ] | Reference Text: <S sid="122"> Restrictions We compare our new approach with the word reordering used in the IBM translation approach (Berger et al., 1996).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 6 | Reference Article:  C00-2123.xml | Citing Article:  E06-1004.xml | Citation Marker Offset:  ['21'] | Citation Marker:  Tillman, 2000 | Citation Offset:  ['21'] | Citation Text:  <S sid ="21" ssid = "21">â€¢ Conditional Probability Given the model parameters and a sentence pair (f , e), compute P (f |e).</S><S sid ="22" ssid = "22">1997), (Tillman, 2000), (Och et al., 2001), (Germann et al., 2003), (Udupa et al., 2004).</S> | Reference Offset: [ '112','172' ] | Reference Text: <S sid="112"> Covering the first uncovered position in the source sentence, we use the language model probability p(ej$; $).</S> <S sid="172"> The computing time is given in terms of CPU time per sentence (on a 450MHz PentiumIIIPC).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 7 | Reference Article:  C00-2123.xml | Citing Article:  H01-1062.xml | Citation Marker Offset:  ['113'] | Citation Marker:  20 | Citation Offset:  ['113'] | Citation Text:  <S sid ="113" ssid = "16">To summarize these experimental tests, we briefly report experimental offline results for the following translation approaches: â€¢ single-word based approach [20];</S> | Reference Offset: [ '1','171' ] | Reference Text: <S sid="1"> In this paper, we describe a search procedure for statistical machine translation (MT) based on dynamic programming (DP).</S> <S sid="171"> Table 4 shows translation results for the three approaches.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 8 | Reference Article:  C00-2123.xml | Citing Article:  J03-1005.xml | Citation Marker Offset:  ['115','117'] | Citation Marker:  2000 | Citation Offset:  ['115','117'] | Citation Text:  <S sid ="115" ssid = "73">This article will present a DP-based beam search decoder for the IBM4 translation model.</S><S sid ="117" ssid = "75">A preliminary version of the work presented here was published in Tillmann and Ney (2000).</S> | Reference Offset: [ '192' ] | Reference Text: <S sid="192"> In this paper, we have presented a new, ecient DP-based search procedure for statistical machine translation.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 9 | Reference Article:  C00-2123.xml | Citing Article:  J04-2003.xml | Citation Marker Offset:  ['35'] | Citation Marker:  Tillmann and Ney 2000 | Citation Offset:  ['35'] | Citation Text:  <S sid ="35" ssid = "35">Many existing systems for statistical machine translation 1 1 (Garc´ıa-Varea and Casacuberta 2001; Germann et al. 2001; Nießen et al. 1998; Och, Tillmann, and Ney 1999) implement models presented by Brown, Della Pietra, Della Pietra, and Mercer (1993): The correspondence between the words in the source and the target strings is described by alignments that assign target word positions to each source word position.</S> | Reference Offset: [ '9','105' ] | Reference Text: <S sid="9"> The model is often further restricted so that each source word is assigned to exactly one target word (Brown et al., 1993; Ney et al., 2000).</S> <S sid="105"> A position is presented by the word at that position.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 10 | Reference Article:  C00-2123.xml | Citing Article:  J04-2003.xml | Citation Marker Offset:  ['235'] | Citation Marker:  Tillmann and Ney 2000 | Citation Offset:  ['235'] | Citation Text:  <S sid ="235" ssid = "35">Some recent publications deal with the automatic detection of multiword phrases (Och and Weber 1998; Tillmann and Ney 2000).</S> | Reference Offset: [ '29' ] | Reference Text: <S sid="29"> The details are given in (Och and Ney, 2000).</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 11 | Reference Article:  C00-2123.xml | Citing Article:  J04-4002.xml | Citation Marker Offset:  ['282'] | Citation Marker:  Tillmann and Ney 2000 | Citation Offset:  ['282'] | Citation Text:  <S sid ="282" ssid = "48">We call this selection of highly probable words observation pruning (Tillmann and Ney 2000).</S> | Reference Offset: [ '140' ] | Reference Text: <S sid="140"> The proof is given in (Tillmann, 2000).</S> | Discourse Facet: NA | Annotator: System 6 
