Citance Number: 1 | Reference Article:   P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['36','37'] | Citation Marker:  Dang et al, 1998 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S> | Reference Offset:  ['39', '18', '173', '67'] | Reference Text:  <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="18" ssid = "18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S><S sid ="173" ssid = "18">We expect these cross-linguistic features to be useful for capturing translation generalizations between languages as discussed in the litera­ ture (Palmer and Rosenzweig, 1996), (Copes­ take and Sanfilippo, 1993), (Dorr, 1997).</S><S sid ="67" ssid = "21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as &quot;separate by V-ing,&quot; where &quot;V&quot; is the basic meaning of that verb (Levin, 1993).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 2 | Reference Article:   P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['39'] | Citation Marker:  1998 | Citation Offset:  ['38','39'] | Citation Text:  <S sid ="38" ssid = "24">Dang et al.</S><S sid ="39" ssid = "25">(1998) modify it by adding new classes which remove the overlap between classes from the original scheme.</S> | Reference Offset:  ['39', '3', '62', '100'] | Reference Text:  <S sid ="39" ssid = "20">It is not clear how much WordNet synsets should be expected to overlap with Levin classes, and preliminary indications are that there is a wide discrepancy (Dorr and Jones, 1996), (Jones and Onyshkevych, 1997), (Dorr, 1997).</S><S sid ="3" ssid = "3">Current approaches to English classifica­ tion, Levin classes and WordNet, have limita­ tions in their applicability that impede their utility as general classification schemes.</S><S sid ="62" ssid = "16">A verb was assigned membership in an intersective class if it was listed in each of the existing classes that were combined to form the new intersective class.</S><S sid ="100" ssid = "14">The original intersective class (cut, hack, hew, saw) exhibits alternations of both parent classes, and has been augmented with chip, clip, slash, snip since these cut verbs also display the syntactic properties of split verbs.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 3 | Reference Article:   P98-1046.xml | Citing Article:  C00-2118.xml | Citation Marker Offset:  ['211'] | Citation Marker:  Dang ct a!., 1998 | Citation Offset:  ['211'] | Citation Text:  <S sid ="211" ssid = "162">\tVe think that many cases of amÂ­ biguous classification of verb types can be adÂ­ dressed with the notion of intersedive sets inÂ­ troduced by (Dang ct a!., 1998).</S> | Reference Offset:  ['158', '21', '157', '22'] | Reference Text:  <S sid ="158" ssid = "3">Intersective Levin sets partition these classes according to more co­ herent subsets of features (force, force+motion, force+separation), in effect highlighting a lattice of semantic features that determine the sense of a verb.</S><S sid ="21" ssid = "2">WordNet is an on­ line lexical database of English that currently contains approximately 120,000 sets of noun, verb, adjective, and adverb synonyms, each rep­ resenting a lexicalized concept.</S><S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accord­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S><S sid ="22" ssid = "3">A synset (syn onym set) contains, besides all the word forms that can refer to a given concept, a definitional gloss and - in most cases - an example sentence.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 4 | Reference Article:   P98-1046.xml | Citing Article:  C00-2148.xml | Citation Marker Offset:  ['18'] | Citation Marker:  1998 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "4">Many verbs are listed in multiple classes, some of which have conflicting sets of syntactic frames.</S><S sid ="19" ssid = "5">Dang ct al.</S><S sid ="20" ssid = "6">(1998) showed that multiple listings could in some cases be interpreted as regular sense extensions, and defined intcrsectivc Levin classes, which are a more fine-grained, syntactically and semantically coherÂ­ ent refinement of basic Levin classes.</S> | Reference Offset:  ['4', '44', '15', '29'] | Reference Text:  <S sid ="4" ssid = "4">We present a refinement of Levin classes, intersec­ tive sets, which are a more fine-grained clas­ sification and have more coherent sets of syn­ tactic frames and associated semantic compo­ nents.</S><S sid ="44" ssid = "25">This listing of a verb in more than one class (many verbs are in three or even four classes) is left open to interpretation in Levin.</S><S sid ="15" ssid = "15">We base these regular extensions on a fine-grained variation on Levin classes, inter­ sective Levin classes, as a source of semantic components associated with specific adjuncts.</S><S sid ="29" ssid = "10">Levin classes are supposed to provide specific sets of syntactic frames that are associated with the individual classes.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |

