Citance Number: 1 | Reference Article: N06-2049.xml | Citing Article: C10-2139.xml | Citation Marker Offset: ['290'] | Citation Marker: Zh ang et al., 200 6 | Citation Offset: ['290','305'] | Citation Text: <S sid ="290" ssid = "189">AS C U MS R PK U (Zh ang et al., 200 6) 95.</S><S sid ="305" ssid = "204">2 Table 5: Segmentation performance presented in previous work and of our combination model.</S> | Reference Offset: ['62'] | Reference Text: <S sid="62" ssid="40">Each subword is given a prior IOB tag, tw . C Miob (t|w), a  M  confidence probability derived in the process of IOB tag exp )' )' λk fk (ti−1 , ti , W ) + )' µk gk (ti , W ) /Z,  i=1  k k   (1) ging, is defined as Z = )' T =t0 t1 ···tM p(T |W ) C Miob (t|w ) = L,T =t0 t1 ···tM ,ti =t P(T |W, wi ) T =t 0 t1 ··· tM P ( T|W ) where we call fk (ti−1 , ti , W ) bigram feature functions because the features trigger the previous observation ti−1 where the numerator is a sum of all the observation sequences with word wi labeled as t. δ(tw , tiob )ng denotes the contribution of the dictionary- based segmentation.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 2 | Reference Article: N06-2049.xml | Citing Article: D13-1031.xml | Citation Marker Offset: ['274'] | Citation Marker: 2006 | Citation Offset: ['273','274'] | Citation Text: <S sid ="273" ssid = "109">CRF + Rule system represents a combination of CRF model and rule based model presented in Zhang et al.</S><S sid ="274" ssid = "110">(2006).</S> | Reference Offset: ['134'] | Reference Text: <S sid="134" ssid="3">Later, this approach was implemented by the CRF-based method (Peng and McCallum, 2004), which was proved to achieve better results than the maximum entropy approach because it can solve the label bias problem (Lafferty et al., 2001).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 3 | Reference Article: N06-2049.xml | Citing Article: I08-4009.xml | Citation Marker Offset: ['19'] | Citation Marker: Zhang et al., 2006a | Citation Offset: ['19'] | Citation Text: <S sid ="19" ssid = "19">Consequently, many strategies are proposed to balance the IV and OOV performance (Goh et al., 2005), (Zhang et al., 2006a).</S> | Reference Offset: ['14'] | Reference Text: <S sid="14" ssid="14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 5 | Reference Article: N06-2049.xml | Citing Article: I08-4015.xml | Citation Marker Offset: ['36'] | Citation Marker: Zhang et al., 2006 | Citation Offset: ['36'] | Citation Text: <S sid ="36" ssid = "22">After we get word-based segmentation result, we use it to revise the CRF tagging result similar to (Zhang et al., 2006).</S> | Reference Offset: ['14'] | Reference Text: <S sid="14" ssid="14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 6 | Reference Article: N06-2049.xml | Citing Article: I08-4030.xml | Citation Marker Offset: ['13'] | Citation Marker: R. Zhang et al., 2006 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">If the confidence of a character is lower than the threshold, the tag of that character will be adjusted to the tag assigned by the Maximum Probability Segmentation (R. Zhang et al., 2006).</S> | Reference Offset: ['14'] | Reference Text: <S sid="14" ssid="14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 8 | Reference Article: N06-2049.xml | Citing Article: J11-1005.xml | Citation Marker Offset: ['277'] | Citation Marker: 2006 | Citation Offset: ['277'] | Citation Text: <S sid ="277" ssid = "168">We chose the three models that achieved at least one best score in the closed tests from Emerson (2005), as well as the sub-word-based model of Zhang, Kikui, and Sumita (2006) for comparison.</S> | Reference Offset: ['14'] | Reference Text: <S sid="14" ssid="14">In the results of the closed test in Bakeoff 2005 (Emerson, 2005), the work of (Tseng et al., 2005), using conditional random fields (CRF) for the IOB tagging, yielded very high R-oovs in all of the four corpora used, but the R-iv rates were lower.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 9 | Reference Article: N06-2049.xml | Citing Article: N09-1007.xml | Citation Marker Offset: ['134'] | Citation Marker: Zhang et al., 2006 | Citation Offset: ['134'] | Citation Text: <S sid ="134" ssid = "17">Z06-a and Z06-b represents the pure sub- word CRF model and the conﬁdence-based combination of CRF and rule-based models, respectively (Zhang et al., 2006);</S> | Reference Offset: ['134'] | Reference Text: <S sid="134" ssid="3">Later, this approach was implemented by the CRF-based method (Peng and McCallum, 2004), which was proved to achieve better results than the maximum entropy approach because it can solve the label bias problem (Lafferty et al., 2001).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 
