Citance Number: 1 | Reference Article: W03-0410.xml | Citing Article: D07-1018.xml | Citation Marker Offset: ['9'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S> | Reference Offset: ['9'] | Reference Text: <S sid="9" ssid="9">A number of supervised learning approaches have extracted such information about verbs from corpora, including their argument roles (Gildea and Jurafsky, 2002), selectional preferences (Resnik, 1996), and lexical semantic classification (i.e., grouping verbs according to their argument structure properties) (Dorr and Jones, 1996; Lapata and Brew, 1999; Merlo and Stevenson, 2001; Joanis and Stevenson, 2003).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 2 | Reference Article: W03-0410.xml | Citing Article: D09-1138.xml | Citation Marker Offset: ['25'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['25'] | Citation Text: <S sid ="25" ssid = "25">Supervised methods for automatic verb classification have been extensively investigated (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S> | Reference Offset: ['145'] | Reference Text: <S sid="145" ssid="16">As we have defined it, necessarily generally increases as the number of clusters increases, with the extreme being at the #verbs correctly classified #verbs total thus provides a measure of the usefulness in practice of a clustering—that is, if one were to use the clustering as a classification, this measure tells how accurate overall the class assignments would be.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 4 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['17'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "17">We adopt as our baseline method a well-known hierarchical method – agglomerative clustering (AGG) – which has been previously used to acquire flat Levin-style classifications (Stevenson and Joanis, 2003)</S> | Reference Offset: ['4'] | Reference Text: <S sid="4" ssid="4">We investigate various approaches to feature selection, using both unsupervised and semi-supervised methods, comparing the results to subsets of features manually chosen according to linguistic properties.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 12 | Reference Article: W03-0410.xml | Citing Article: J06-2001.xml | Citation Marker Offset: ['397'] | Citation Marker: Stevenson and Joanis 2003 | Citation Offset: ['397'] | Citation Text: <S sid ="397" ssid = "325">For example, the accuracy/purity measure (Stevenson and Joanis 2003; Korhonen, Krymolowski, and Marx 2003) evaluates whether a verb is assigned to a correct cluster with respect to the gold standard class of the majority of cluster members.</S> | Reference Offset: ['257'] | Reference Text: <S sid="257" ssid="6">However, Schulte im Walde’s features rely on accurate subcategorization statistics, and her experiments include a much larger set of classes (around 40), each with a much smaller number of verbs (average around 4).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 14 | Reference Article: W03-0410.xml | Citing Article: N13-1118.xml | Citation Marker Offset: ['52'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['52'] | Citation Text: <S sid ="52" ssid = "8">Clustering The most widely used method for hierarchical word clustering is AGG (Schulte im Walde and Brew, 2001; Stevenson and Joanis, 2003; Ferrer, 2004; Devereux and Costello, 2005).</S> | Reference Offset: ['4'] | Reference Text: <S sid="4" ssid="4">We investigate various approaches to feature selection, using both unsupervised and semi-supervised methods, comparing the results to subsets of features manually chosen according to linguistic properties.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 15 | Reference Article: W03-0410.xml | Citing Article: P03-1009.xml | Citation Marker Offset: ['124'] | Citation Marker: (Stevenson and Joanis, 2003) | Citation Offset: ['124'] | Citation Text: <S sid ="124" ssid = "67">Our second measure is derived from purity, a global measure which evaluates the mean precision of the clusters, weighted according to the cluster size (Stevenson and Joanis, 2003).</S> | Reference Offset: ['104'] | Reference Text: <S sid="104" ssid="54">3.2 7 9 So un d E mi ssi on 43.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 17 | Reference Article: W03-0410.xml | Citing Article: P04-2007.xml | Citation Marker Offset: ['11'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">For this reason, various methods for automatically classifying verbs using machine learning techniques have been attempted ((Merlo and Stevenson, 2001), (Stevenson and Joanis, 2003), (Schulte im Walde, 2003)).</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

