Word,Frecuency,Frecuency in sections
FSs,611,165- 89- 113- 62- 142- 40
IeSs,390,96- 85- 65- 78- 51- 15
ion,175,60- 18- 25- 13- 42- 17
node|.arcs,157,3- 0- 83- 70- 1- 0
eases,138,21- 34- 26- 14- 35- 8
node,137,3- 0- 68- 66- 0- 0
ing,125,51- 8- 12- 19- 22- 13
cat,100,29- 11- 14- 8- 25- 13
cation,96,29- 8- 14- 7- 25- 13
arc,95,3- 1- 46- 41- 4- 0
Unification,88,26- 7- 12- 7- 24- 12
Copy,75,18- 0- 15- 38- 0- 4
hod,72,34- 0- 7- 11- 10- 10
methods,71,33- 0- 7- 11- 10- 10
ares,62,11- 7- 24- 13- 7- 0
structures,57,25- 3- 13- 10- 0- 6
feature,50,5- 16- 6- 2- 19- 2
values,43,0- 9- 20- 10- 4- 0
Cons,41,19- 4- 6- 8- 3- 1
symbol,37,0- 21- 10- 1- 5- 0
procedure,36,2- 0- 19- 13- 2- 0
Graph,33,12- 4- 13- 0- 0- 4
HEN,31,5- 1- 14- 7- 3- 1
orm,30,15- 5- 0- 2- 8- 0
forms,29,15- 4- 0- 2- 8- 0
fail,29,3- 0- 4- 0- 20- 2
POS,28,12- 6- 5- 3- 1- 1
pos,28,12- 6- 5- 3- 1- 1
inputs,24,7- 0- 12- 4- 1- 0
SING,23,8- 2- 1- 1- 7- 4
Present,21,8- 3- 6- 0- 4- 0
represent,20,7- 3- 6- 0- 4- 0
systems,19,12- 0- 0- 0- 5- 2
EFF,19,8- 0- 1- 1- 5- 4
arts,19,13- 3- 0- 3- 0- 0
hat,19,8- 0- 4- 4- 3- 0
treats,19,0- 0- 9- 2- 7- 1
results,18,5- 0- 7- 5- 0- 1
complements,18,0- 0- 18- 0- 0- 0
par,18,12- 3- 0- 3- 0- 0
failure,18,2- 0- 3- 0- 12- 1
share,17,1- 1- 14- 0- 1- 0
information,17,7- 1- 0- 2- 7- 0
part,17,11- 3- 0- 3- 0- 0
TFS,17,2- 10- 2- 0- 3- 0
based,17,10- 3- 2- 0- 0- 2
labels,17,0- 0- 13- 3- 1- 0
depend,16,3- 0- 0- 11- 2- 0
Tag,15,6- 4- 0- 1- 2- 2
cases,15,2- 0- 1- 2- 10- 0
