Word,Frecuency,Frecuency in sections
senses,41,9- 4- 3- 11- 6- 8
cluster,31,3- 1- 5- 15- 4- 3
Senses,30,7- 3- 1- 7- 4- 8
Word,29,7- 6- 3- 5- 4- 4
graph,28,4- 3- 10- 9- 1- 1
algorithm,22,4- 1- 4- 6- 2- 5
sense,17,3- 1- 1- 3- 4- 5
big,17,3- 0- 2- 5- 1- 6
Lin,16,1- 3- 5- 4- 2- 1
meaning,15,0- 0- 8- 5- 0- 2
rat,13,0- 2- 5- 3- 2- 1
lists,12,0- 2- 1- 5- 4- 0
Thi,12,2- 0- 4- 2- 2- 2
local,12,1- 1- 4- 6- 0- 0
clustering,12,3- 1- 2- 3- 1- 2
node,12,0- 2- 6- 4- 0- 0
wing,11,0- 2- 7- 1- 1- 0
rel,11,0- 1- 3- 2- 1- 4
hat,11,0- 1- 3- 3- 1- 3
features,10,0- 1- 0- 8- 0- 1
para,9,2- 0- 0- 6- 1- 0
nouns,9,0- 6- 0- 1- 2- 0
steps,9,0- 0- 3- 6- 0- 0
neighbors,9,0- 1- 2- 5- 0- 1
tax,8,2- 0- 0- 4- 1- 1
ambiguous,8,2- 0- 2- 3- 0- 1
meter,8,2- 0- 0- 5- 1- 0
corpus,8,2- 1- 0- 3- 0- 2
parts,8,0- 1- 4- 0- 2- 1
MCL,8,0- 0- 4- 4- 0- 0
present,8,2- 1- 2- 2- 1- 0
inflation,8,0- 0- 4- 4- 0- 0
discover,7,4- 1- 0- 0- 0- 2
parameters,7,2- 0- 0- 4- 1- 0
bases,7,1- 2- 0- 2- 2- 0
areas,7,1- 0- 5- 1- 0- 0
land,7,0- 0- 0- 0- 7- 0
small,6,0- 0- 1- 5- 0- 0
class-label,6,0- 0- 0- 4- 1- 1
Based,6,1- 2- 0- 2- 1- 0
Automatic,6,3- 1- 0- 0- 0- 2
close,6,0- 0- 2- 4- 0- 0
link,6,0- 1- 4- 1- 0- 0
describe,6,3- 0- 0- 1- 1- 1
Markov,5,2- 0- 2- 1- 0- 0
strong,5,1- 0- 0- 3- 0- 1
distinct,5,1- 1- 0- 2- 0- 1
give,5,1- 2- 0- 0- 0- 2
correspond,5,1- 0- 1- 2- 0- 1
taxonomies,5,2- 0- 0- 2- 0- 1
