Word,Frecuency,Frecuency in sections
do*,594,580- 14
be*,280,276- 4
Model,59,59- 0
Word,58,58- 0
categories,50,50- 0
tag,32,32- 0
States,31,31- 0
states,31,31- 0
work,30,28- 2
ran,28,28- 0
TIVE,27,27- 0
noun,26,26- 0
train,26,26- 0
Basic,25,25- 0
network,24,24- 0
text,22,22- 0
verb,20,20- 0
training,18,18- 0
probability,18,18- 0
Sing,17,17- 0
terms,16,16- 0
correct,16,16- 0
Have*,16,16- 0
form,16,15- 1
transition,15,15- 0
corpus,13,13- 0
context,13,13- 0
position,13,13- 0
depend,12,12- 0
here..,12,12- 0
classes,12,12- 0
errors,12,12- 0
Adjective,11,11- 0
Tagging,11,11- 0
examples,11,11- 0
tagged,11,11- 0
Sentence,11,11- 0
Preposition,11,11- 0
assign,10,10- 0
numbers,10,10- 0
Determiner,10,10- 0
require,10,10- 0
Present,10,10- 0
sequence,10,10- 0
act,10,9- 1
equivalence,9,9- 0
part,9,8- 1
AUGMENTED,9,9- 0
Auxiliary,8,8- 0
represent,7,7- 0
