Word,Frecuency,Frecuency in sections
B*V,98,27- 37- 34
s.t,56,20- 19- 17
probability,34,18- 12- 4
productions,30,11- 13- 6
con,26,9- 12- 5
likelihood,22,6- 13- 3
ith,21,10- 5- 6
tree,19,10- 4- 5
parses,18,9- 6- 3
terms,17,9- 3- 5
min,17,10- 2- 5
maximum,17,6- 8- 3
orE,15,1- 9- 5
parse,13,7- 3- 3
finite,13,4- 5- 4
maximum-likelihood,13,4- 7- 2
grammars,11,3- 7- 1
Grammars,11,3- 7- 1
i=1,11,1- 4- 6
estimator,11,4- 5- 2
tight,10,7- 3- 0
BEV,9,0- 0- 9
null,9,1- 5- 3
unit,8,1- 4- 3
numbers,8,3- 1- 4
corpus,8,5- 3- 0
CFG,7,7- 0- 0
free,7,1- 5- 1
samples,7,3- 3- 1
put,7,1- 4- 2
estimate,7,5- 2- 0
assign,7,3- 4- 0
terminate,7,2- 0- 5
terminal,7,6- 1- 0
AEV,7,0- 3- 4
symbol,7,6- 1- 0
algorithms,7,3- 2- 2
A~c,6,0- 1- 5
Context-Free,6,1- 4- 1
OOf,6,2- 0- 4
cal,6,0- 3- 3
end,6,2- 3- 1
frequency,6,1- 5- 0
derivation,6,1- 3- 2
yields,6,1- 5- 0
observed,6,1- 4- 1
sequence,6,1- 5- 0
estimated,5,4- 1- 0
sum,5,1- 3- 1
proof,5,2- 0- 3
