Word,Frecuency,Frecuency in sections
Ms.,226,121- 101- 4
ORG,127,71- 55- 1
form,123,64- 59- 0
systems,122,63- 58- 1
tasks,118,75- 43- 0
names,115,89- 26- 0
Mis,92,57- 33- 2
organization,82,51- 31- 0
MUC,72,19- 52- 1
object,71,19- 52- 0
texts,69,45- 24- 0
perform,64,40- 24- 0
EME,61,25- 34- 2
person,61,34- 27- 0
Rel,58,26- 32- 0
Performance,58,36- 22- 0
act,58,27- 30- 1
lot,57,28- 29- 0
slot,56,27- 29- 0
articles,55,41- 14- 0
article..,55,41- 14- 0
EVALUATION,54,24- 28- 2
ref,53,37- 16- 0
core,52,36- 16- 0
Template,47,25- 22- 0
test,46,34- 12- 0
scores,45,30- 15- 0
RESULTS,43,27- 16- 0
ERR,43,31- 11- 1
results,43,27- 16- 0
refer,42,30- 12- 0
types,41,32- 9- 0
Entity,41,29- 12- 0
event,39,3- 36- 0
part,38,21- 15- 2
MUC6,38,13- 24- 1
Scenario,38,15- 23- 0
information,37,12- 25- 0
error,36,26- 10- 0
present,35,22- 13- 0
keys,34,22- 12- 0
tags,33,32- 1- 0
Tim,31,20- 10- 1
fill,31,15- 16- 0
recall,30,22- 8- 0
end,30,13- 16- 1
put,30,8- 21- 1
job,30,0- 30- 0
sets,30,19- 11- 0
precision,30,20- 10- 0
