Word,Frecuency,Frecuency in sections
CC'IIH|,17173,1977- 8623- 4377- 2196
F.~LilI|,17172,1977- 8623- 4377- 2195
hI|,17129,1969- 8607- 4358- 2195
ies,205,34- 103- 42- 26
res,161,25- 81- 39- 16
les,98,8- 55- 21- 14
el|cOde,75,2- 61- 10- 2
a.l,71,7- 39- 17- 8
ure,64,2- 44- 17- 1
ions,61,13- 29- 13- 6
tes,58,12- 32- 5- 9
tur,58,3- 40- 15- 0
a.i,58,5- 32- 12- 9
typ,54,11- 39- 3- 1
nts,54,14- 14- 14- 12
a.d,53,4- 33- 8- 8
tio,49,13- 24- 8- 4
ing,49,10- 29- 9- 1
ype,48,11- 34- 3- 0
types,47,11- 33- 3- 0
ill,39,3- 20- 9- 7
fea,37,2- 26- 8- 1
a.t,36,2- 16- 9- 9
t.l,35,2- 18- 10- 5
cons,35,5- 21- 1- 8
eat,35,2- 24- 8- 1
atu,33,1- 22- 10- 0
Feat,33,2- 23- 7- 1
a.n,33,9- 15- 3- 6
tha,30,1- 20- 5- 4
dis,29,4- 17- 8- 0
FEATURE,29,1- 21- 7- 0
a.s,27,3- 11- 6- 7
ate,26,5- 17- 2- 2
ell,25,0- 21- 4- 0
lll,23,1- 14- 6- 2
enc,23,3- 18- 2- 0
STRUCTURES,23,0- 18- 5- 0
disjunct,23,1- 15- 7- 0
structure,23,0- 18- 5- 0
mpl,21,6- 9- 3- 3
oll,20,2- 11- 4- 3
Approp,18,3- 11- 2- 2
der,15,3- 9- 1- 2
ria,15,3- 6- 2- 4
i.o,14,1- 5- 4- 4
h.w,14,1- 7- 5- 1
pres,14,6- 5- 1- 2
rol,13,2- 9- 1- 1
oth,13,0- 12- 0- 1
