Word,Frecuency,Frecuency in sections
i|q,1656,247- 61- 202- 535- 286- 161- 152- 12
s|q,1580,260- 76- 202- 434- 272- 164- 166- 6
v|q,398,53- 16- 54- 117- 91- 30- 37- 0
z|q,145,24- 6- 29- 47- 28- 5- 6- 0
Sentence,102,6- 6- 31- 24- 8- 16- 11- 0
question,75,13- 4- 9- 19- 24- 2- 4- 0
stem,57,8- 6- 3- 13- 18- 4- 5- 0
systems,55,8- 6- 1- 13- 18- 4- 5- 0
ranks,46,3- 3- 7- 11- 6- 11- 5- 0
sim,44,3- 1- 11- 13- 11- 5- 0- 0
sin,42,3- 1- 4- 6- 5- 12- 11- 0
similar,38,3- 1- 9- 9- 11- 5- 0- 0
answer,37,9- 4- 2- 15- 1- 0- 6- 0
line,32,3- 0- 4- 3- 16- 4- 2- 0
baseline,31,2- 0- 4- 3- 16- 4- 2- 0
dA+,30,4- 0- 0- 12- 5- 6- 3- 0
clusters,30,1- 0- 5- 16- 7- 1- 0- 0
similarity,28,1- 0- 7- 7- 9- 4- 0- 0
ith,28,4- 0- 1- 9- 5- 4- 4- 1
rel,26,1- 4- 8- 7- 3- 2- 1- 0
TRDR,23,0- 0- 0- 4- 18- 0- 1- 0
sets,23,3- 2- 6- 7- 3- 0- 2- 0
LexRank,23,2- 0- 5- 2- 6- 5- 3- 0
Tables,22,0- 0- 1- 4- 12- 2- 3- 0
vs.,22,1- 0- 4- 10- 0- 4- 3- 0
score,21,0- 0- 4- 0- 11- 4- 2- 0
train,21,0- 0- 0- 15- 6- 0- 0- 0
perform,18,1- 0- 1- 2- 13- 0- 1- 0
news,18,3- 0- 0- 14- 0- 0- 1- 0
top,17,2- 2- 3- 2- 0- 4- 4- 0
documents,17,2- 7- 4- 3- 0- 1- 0- 0
test,17,0- 0- 0- 11- 6- 0- 0- 0
threshold,16,0- 0- 2- 4- 10- 0- 0- 0
Kursk,16,0- 0- 0- 2- 0- 8- 6- 0
caused,15,0- 0- 0- 0- 0- 7- 8- 0
sum,15,5- 1- 3- 2- 0- 1- 3- 0
word,15,2- 0- 3- 1- 7- 1- 1- 0
give,15,0- 0- 3- 9- 3- 0- 0- 0
Ave.,15,4- 0- 0- 3- 1- 4- 3- 0
sink,15,0- 0- 0- 1- 0- 7- 7- 0
graph,14,2- 1- 6- 3- 2- 0- 0- 0
Retrieval,14,4- 1- 2- 2- 2- 1- 2- 0
terms,14,0- 1- 3- 3- 5- 0- 2- 0
MRR,14,0- 0- 0- 3- 11- 0- 0- 0
user,13,7- 3- 0- 1- 0- 0- 2- 0
numbers,12,2- 1- 3- 3- 2- 1- 0- 0
story,12,8- 0- 0- 4- 0- 0- 0- 0
cane,12,9- 1- 0- 2- 0- 0- 0- 0
submarine,12,0- 0- 0- 1- 0- 6- 5- 0
methods,11,4- 1- 2- 3- 1- 0- 0- 0
