Word,Frecuency,Frecuency in sections
ers,355,32- 64- 34- 17- 18- 45- 69- 21- 20- 22- 2- 11
senses,78,15- 8- 8- 9- 5- 10- 8- 4- 4- 1- 4- 2
feature,74,10- 0- 15- 0- 9- 5- 17- 9- 7- 1- 1- 0
grams,71,6- 25- 1- 0- 5- 4- 16- 0- 4- 7- 2- 1
Word,69,11- 13- 6- 9- 2- 2- 8- 4- 8- 3- 3- 0
Decision,60,2- 0- 11- 0- 3- 10- 23- 1- 6- 2- 2- 0
Tree,52,2- 0- 13- 0- 2- 6- 20- 1- 4- 2- 2- 0
big,52,10- 9- 6- 5- 3- 0- 2- 5- 7- 2- 2- 1
Sense,43,8- 1- 3- 6- 3- 10- 2- 1- 3- 1- 4- 1
occur,34,6- 15- 2- 2- 3- 4- 1- 1- 0- 0- 0- 0
form,33,4- 11- 4- 0- 1- 0- 3- 4- 3- 3- 0- 0
sets,32,6- 0- 2- 0- 5- 3- 6- 6- 3- 0- 1- 0
pre,31,6- 6- 4- 0- 2- 3- 3- 4- 0- 0- 0- 3
ect,30,3- 2- 3- 1- 3- 4- 11- 2- 0- 1- 0- 0
digram,30,1- 12- 1- 0- 1- 4- 7- 0- 2- 1- 1- 0
test,29,0- 11- 4- 5- 5- 2- 2- 0- 0- 0- 0- 0
statistics,27,1- 14- 0- 0- 2- 4- 4- 0- 0- 1- 0- 1
part,26,4- 2- 3- 6- 1- 3- 4- 0- 2- 1- 0- 0
VAL,26,0- 7- 1- 5- 0- 9- 1- 0- 0- 0- 2- 1
sing,25,6- 5- 2- 0- 2- 3- 3- 2- 1- 1- 0- 0
ned,25,4- 4- 2- 1- 5- 2- 5- 1- 1- 0- 0- 0
shows,25,0- 2- 0- 3- 0- 9- 8- 1- 0- 0- 2- 0
node,25,0- 0- 5- 0- 0- 0- 20- 0- 0- 0- 0- 0
learning,24,6- 0- 4- 1- 2- 2- 0- 4- 3- 1- 1- 0
disambiguation,23,5- 2- 0- 2- 1- 0- 1- 4- 4- 2- 2- 0
based,22,3- 2- 1- 1- 2- 5- 5- 1- 1- 0- 1- 0
divergence,21,0- 5- 0- 0- 2- 8- 5- 0- 0- 1- 0- 0
text,20,9- 2- 3- 1- 0- 0- 1- 1- 0- 3- 0- 0
power,20,0- 4- 0- 0- 2- 8- 5- 0- 0- 1- 0- 0
column,20,0- 0- 0- 3- 0- 9- 8- 0- 0- 0- 0- 0
Ten,19,5- 6- 3- 3- 0- 0- 1- 0- 0- 1- 0- 0
Dice,19,0- 8- 0- 0- 2- 4- 5- 0- 0- 0- 0- 0
presents,18,3- 5- 4- 0- 2- 0- 3- 1- 0- 0- 0- 0
nal,18,2- 4- 1- 1- 0- 1- 8- 0- 0- 0- 0- 1
eÆcient,17,0- 6- 1- 0- 2- 4- 4- 0- 0- 0- 0- 0
select,17,1- 1- 2- 0- 1- 3- 8- 0- 0- 1- 0- 0
accuracy,17,3- 0- 0- 0- 0- 12- 0- 2- 0- 0- 0- 0
task,17,2- 0- 1- 8- 1- 5- 0- 0- 0- 0- 0- 0
mea,16,3- 7- 0- 0- 0- 2- 3- 0- 1- 0- 0- 0
training,16,0- 1- 4- 4- 6- 1- 0- 0- 0- 0- 0- 0
dings,16,4- 1- 3- 3- 1- 1- 0- 2- 1- 0- 0- 0
approaches,16,5- 2- 0- 0- 0- 1- 0- 2- 3- 1- 2- 0
Accurate,16,0- 0- 0- 0- 0- 9- 1- 4- 0- 0- 2- 0
acts,16,1- 5- 1- 0- 2- 1- 3- 1- 2- 0- 0- 0
CoeÆcient,15,0- 5- 0- 0- 2- 4- 4- 0- 0- 0- 0- 0
stump,15,0- 0- 3- 0- 1- 2- 9- 0- 0- 0- 0- 0
results,15,1- 2- 0- 1- 0- 3- 1- 2- 1- 0- 3- 1
represent,14,2- 4- 4- 0- 2- 0- 2- 0- 0- 0- 0- 0
include,14,3- 0- 2- 1- 2- 0- 4- 0- 2- 0- 0- 0
SENSEVAL,14,0- 0- 0- 4- 0- 7- 0- 0- 0- 0- 2- 1
