Word,Frecuency,Frecuency in sections
tags,151,28- 25- 97- 1
ATI,98,34- 11- 53- 0
taggers,64,10- 9- 44- 1
form,41,17- 3- 21- 0
systems,34,24- 0- 9- 1
nation,30,2- 3- 25- 0
Combination,25,2- 2- 21- 0
information,24,10- 1- 13- 0
word,23,15- 3- 5- 0
MET,20,9- 3- 8- 0
Ali,19,6- 1- 12- 0
correct,19,3- 1- 15- 0
models,18,16- 0- 2- 0
ten,17,6- 5- 6- 0
base,17,8- 1- 8- 0
trains,16,4- 4- 8- 0
quality,16,4- 1- 11- 0
individual,16,3- 2- 11- 0
Tagging,15,6- 3- 6- 0
Component,15,3- 2- 10- 0
differ,15,6- 2- 7- 0
Tune,15,0- 3- 12- 0
methods,14,8- 1- 5- 0
based,14,7- 0- 7- 0
precision,14,0- 0- 14- 0
votes,13,2- 0- 11- 0
art,13,3- 8- 2- 0
perform,13,4- 1- 8- 0
cases,12,4- 0- 8- 0
tagged,12,3- 3- 6- 0
text,12,9- 2- 1- 0
Memory,11,5- 0- 6- 0
sit,11,3- 1- 7- 0
pairs,11,0- 0- 11- 0
results,11,3- 1- 7- 0
errors,11,3- 0- 8- 0
select,11,2- 2- 7- 0
low,11,2- 1- 8- 0
recall,10,0- 0- 10- 0
features,10,6- 0- 4- 0
token,10,0- 7- 3- 0
class,10,5- 0- 5- 0
fact,10,4- 0- 6- 0
Test,10,0- 3- 7- 0
experiments,9,3- 2- 4- 0
Major,9,1- 1- 7- 0
corpus,9,4- 3- 2- 0
measures,9,0- 3- 6- 0
accuracy,9,0- 0- 9- 0
Voting,9,0- 0- 9- 0
