Word,Frecuency,Frecuency in sections
Ing,164,15- 11- 14- 2- 18- 38- 45- 16- 2- 3
men,99,16- 9- 13- 5- 12- 20- 12- 7- 4- 1
Burma,57,3- 3- 3- 4- 3- 20- 19- 0- 1- 1
military,55,9- 10- 6- 5- 4- 16- 1- 3- 0- 1
man,55,4- 2- 3- 3- 0- 35- 4- 4- 0- 0
Suu,47,7- 5- 7- 0- 4- 0- 22- 2- 0- 0
Kyi,47,7- 5- 7- 0- 4- 0- 22- 2- 0- 0
AIDS,46,5- 7- 5- 2- 7- 2- 7- 8- 1- 2
government,43,7- 2- 6- 4- 5- 4- 7- 3- 4- 1
Myanmar,38,3- 3- 8- 5- 7- 3- 3- 2- 1- 3
days,36,6- 4- 5- 2- 6- 4- 3- 3- 1- 2
part,36,7- 8- 2- 1- 3- 7- 4- 4- 0- 0
MPs,35,4- 3- 1- 0- 1- 6- 16- 3- 0- 1
arrests,35,2- 9- 8- 1- 8- 0- 6- 0- 0- 1
members,28,6- 5- 2- 1- 6- 2- 1- 3- 2- 0
Democracy,27,3- 3- 3- 1- 5- 2- 7- 3- 0- 0
sit,27,1- 2- 1- 3- 1- 2- 7- 10- 0- 0
led,27,4- 3- 2- 5- 1- 4- 5- 2- 0- 1
party,27,7- 8- 2- 1- 3- 0- 2- 4- 0- 0
Tin,27,2- 4- 2- 0- 3- 7- 6- 2- 0- 1
nation,26,2- 4- 5- 1- 3- 5- 3- 2- 1- 0
people,25,1- 1- 1- 1- 1- 2- 18- 0- 0- 0
act,25,2- 3- 3- 0- 3- 6- 5- 2- 0- 1
NLD,24,6- 7- 2- 0- 7- 0- 1- 1- 0- 0
States,22,2- 3- 5- 0- 4- 3- 4- 1- 0- 0
rape,22,0- 0- 0- 0- 0- 22- 0- 0- 0- 0
states,22,2- 3- 5- 0- 4- 3- 4- 1- 0- 0
parliament,21,7- 5- 2- 0- 5- 1- 0- 1- 0- 0
ethnic,21,1- 0- 2- 0- 2- 13- 1- 0- 2- 0
San,21,2- 1- 3- 1- 2- 2- 8- 2- 0- 0
calls,18,3- 3- 1- 0- 1- 3- 3- 4- 0- 0
group,18,2- 3- 4- 0- 3- 2- 0- 0- 3- 1
country,18,0- 3- 1- 1- 1- 3- 4- 4- 0- 1
Burmese,18,0- 0- 0- 0- 0- 13- 4- 1- 0- 0
Aung,18,1- 1- 4- 1- 3- 1- 5- 2- 0- 0
Mon,18,1- 1- 3- 0- 3- 4- 2- 3- 1- 0
women,17,0- 0- 0- 0- 0- 17- 0- 0- 0- 0
arrested,17,2- 5- 4- 1- 4- 0- 1- 0- 0- 0
National,17,1- 2- 3- 0- 2- 3- 3- 2- 1- 0
rights,17,1- 2- 2- 0- 0- 11- 1- 0- 0- 0
Win,16,1- 2- 2- 0- 1- 2- 8- 0- 0- 0
ways,16,0- 0- 0- 0- 0- 3- 13- 0- 0- 0
Front,15,2- 1- 3- 1- 3- 0- 2- 1- 1- 1
end,14,3- 1- 2- 0- 0- 3- 4- 0- 1- 0
arms,14,0- 1- 0- 2- 0- 4- 2- 0- 5- 0
opposition,14,0- 2- 1- 1- 1- 2- 1- 6- 0- 0
students,14,1- 3- 1- 1- 1- 0- 3- 1- 1- 2
Students,14,1- 3- 1- 1- 1- 0- 3- 1- 1- 2
age,14,1- 0- 0- 1- 0- 8- 4- 0- 0- 0
Democratic,13,1- 1- 2- 2- 2- 0- 3- 0- 1- 1
