 Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['29'] | Citation Text: <S sid="29" ssid="5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['8' , '143' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 10 | Reference Article: P98-2143.xml | Citing Article: D09-1101.xml | Citation Marker Offset: ['52'] | Citation Marker: 1998 | Citation Offset: ['52'] | Citation Text: <S sid="52" ssid="6">Like many heuristic-based pronoun resolvers (e.g., Mitkov (1998)), they first apply a set of constraints to filter grammatically incompatible candidate antecedents and then rank the remaining ones using salience factors.</S> | Reference Offset: ['4' , '8' , '14' , '17' , '16' , '18' , '20' , '22' , '28' , '37' ] | Reference Text: <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 11 | Reference Article: P98-2143.xml | Citing Article: E99-1031.xml | Citation Marker Offset: ['7'] | Citation Marker: Mitkov 1998 | Citation Offset: ['7'] | Citation Text: <S sid="7" ssid="7">Hobbs 1986; Strube 1998; Mitkov 1998).</S> | Reference Offset: ['8' , '11' , '14' , '112' , '143' , '8' , '11' , '17' , '32' , '112' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="32" ssid="18">In a coherent text (Firbas 1992), the given or known information, or theme, usually appears first, and thus forms a co? referential link with the preceding text.</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 12 | Reference Article: P98-2143.xml | Citing Article: E99-1031.xml | Citation Marker Offset: ['91'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['91'] | Citation Text: <S sid="91" ssid="8">We implemented meta-modules to in? terface to the genetic algorithm driver and to combine different salience factors into an over? all score (similar to (Carbonell and Brown, 1988; Mitkov, 1998)).</S> | Reference Offset: ['8' , '28' , '36' , '37' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 13 | Reference Article: P98-2143.xml | Citing Article: H05-1001.xml | Citation Marker Offset: ['59'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['59'] | Citation Text: <S sid="59" ssid="21">The current version of the system includes an implementation of the MARS pronoun resolution algorithm (Mitkov, 1998) and a partial implementation of the algorithm for resolving definite descriptions proposed by Vieira and Poesio (2000).</S> | Reference Offset: ['1' , '8' , '11' , '30' , '69' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="69" ssid="55">2.2 Informal description of the algorithm.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 14 | Reference Article: P98-2143.xml | Citing Article: H05-1001.xml | Citation Marker Offset: ['61'] | Citation Marker: 1998 | Citation Offset: ['61'] | Citation Text: <S sid="61" ssid="23">3.2.1 Pronoun Resolution Mitkov (1998) developed a robust approach to pronoun resolution which only requires input text to be part-of-speech tagged and noun phrases to be identified.</S> | Reference Offset: ['1' , '4' , '8' , '11' , '14' , '17' , '16' , '18' , '22' , '26' , '30' , '31' , '28' , '34' , '32' , '36' , '37' , '73' , '112' , '1' , '4' , '8' , '9' , '11' , '14' , '17' , '16' , '18' , '21' , '22' , '26' , '30' , '28' , '34' , '36' , '37' , '73' , '87' , '112' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="26" ssid="12">Whilst some of the indicators are more genre-specific (term prefer? ence) and others are less genre-specific ("immediate reference"), the majority appear to be genre? independent.</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="31" ssid="17">Givenness Noun phrases in previous sentences representing the "given information" (theme) 1 are deemed good candidates for antecedents and score I (candidates not representing the theme score 0).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="32" ssid="18">In a coherent text (Firbas 1992), the given or known information, or theme, usually appears first, and thus forms a co? referential link with the preceding text.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S> <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="21" ssid="7">If still no choice is possible, the most recent from the remaining candi? dates is selected as the antecedent.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="26" ssid="12">Whilst some of the indicators are more genre-specific (term prefer? ence) and others are less genre-specific ("immediate reference"), the majority appear to be genre? independent.</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S> <S sid="87" ssid="12">Syntactic parallelism, useful in discrimi? nating between identical pronouns on the basis of their syntactic function, also has to be forgone.</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 15 | Reference Article: P98-2143.xml | Citing Article: H05-1001.xml | Citation Marker Offset: ['63'] | Citation Marker: 1998 | Citation Offset: ['63'] | Citation Text: <S sid="63" ssid="25">The approach works as follows: the system identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor, and then applies genre- specific antecedent indicators to the remaining candidates (Mitkov, 1998).</S> | Reference Offset: ['4' , '8' , '11' , '14' , '17' , '16' , '18' , '22' , '26' , '30' , '28' , '34' , '36' , '37' , '72' , '73' , '112' , '132' , '143' ] | Reference Text: <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="26" ssid="12">Whilst some of the indicators are more genre-specific (term prefer? ence) and others are less genre-specific ("immediate reference"), the majority appear to be genre? independent.</S> <S sid="30" ssid="16">This rule is ignored if there are no definite articles, possessive or demonstrative pro? nouns in the paragraph (this exception is taken into account because some English user's guides tend to omit articles).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="72" ssid="58">ceding sentences (if available).</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S> <S sid="132" ssid="57">3.3 Comparison to similar approaches: compara?.</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 17 | Reference Article: P98-2143.xml | Citing Article: H05-1083.xml | Citation Marker Offset: ['123'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['123'] | Citation Text: <S sid="123" ssid="1">F-measure here is more stringent than the accuracy (Ge et al., 1998; Mitkov, 1998; Kehler et al., 2004) computed on antecedent-pronoun pairs.</S> | Reference Offset: ['119' ] | Reference Text: <S sid="119" ssid="44">This measure (Mitkov 1998b) applies only to anaphors "ambiguous" from the point of view of number and gender (i.e. to those "tough" anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 18 | Reference Article: P98-2143.xml | Citing Article: I05-2040.xml | Citation Marker Offset: ['15'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['15'] | Citation Text: <S sid="15" ssid="15">Early work on pronoun anaphora resolution usually uses rule-based methods (e.g. Hobbs 1976; Ge et al., 1998; Mitkov, 1998), which try to mine the cues of the relation between the pronouns and its antecedents.</S> | Reference Offset: ['1' , '4' , '8' , '11' , '14' , '22' , '31' , '28' , '37' , '51' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="31" ssid="17">Givenness Noun phrases in previous sentences representing the "given information" (theme) 1 are deemed good candidates for antecedents and score I (candidates not representing the theme score 0).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="51" ssid="37">Immediate reference In technical manuals the "immediate reference" clue can often be useful in identifying the antecedent.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 19 | Reference Article: P98-2143.xml | Citing Article: I08-1004.xml | Citation Marker Offset: ['10'] | Citation Marker: Mitkov 1998 | Citation Offset: ['10'] | Citation Text: <S sid="10" ssid="10">Indeed, such feature-based methods have been widely applied in parsing (Collins 1999; Charniak 2001), semantic role labeling (Pradhan et al 2005), semantic relation extraction (Zhou et al 2005) and co-reference resolution (Lapin and Leass 1994; Aone and Bennett 1995; Mitkov 1998; Yang et al 2004; Luo and Zitouni 2005; Bergsma and Lin 2006).</S> | Reference Offset: ['8' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 2 | Reference Article: P98-2143.xml | Citing Article: C02-1027.xml | Citation Marker Offset: ['13'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['13'] | Citation Text: <S sid="13" ssid="3">The anaphora resolver is an adaptation for Bulgarian of Mitkovs knowledge-poor pronoun resolution approach (Mitkov, 1998).</S> | Reference Offset: ['1' , '8' , '11' , '143' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
