Citance Number: 1 |  Reference Article:  C00-2123.xml  |  Citing Article:  C02-1050.xml  |  Citation Marker Offset:  ['41']  |  Citation Marker:  2000  |  Citation Offset:  ['41']  |  Citation Text: <S sid ="39" ssid = "19">Under this constraint, many researchers had contributed algorithms and associated pruning strategies, such as Berger et al.</S><S sid ="40" ssid = "20">(1996), Och et al.</S><S sid ="41" ssid = "21">(2001), Wang and Waibel (1997), Tillmann and Ney (2000) GarciaVarea and Casacuberta (2001) and Germann et al.</S>  | Reference Offset: ['199','130','86',] | Reference Text: <S sid ="199" ssid = "8">Table 6: Example Translations for the Verbmobil task.</S><S sid ="130" ssid = "93">The restriction can be expressed in terms of the number of uncovered source sentence positions to the left of the rightmost position m in the coverage set.</S><S sid ="86" ssid = "49">No: Predecessor coverage set Successor coverage set 1 (f1; ;mg n flg ; l0) !</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:  C00-2123.xml  |  Citing Article:  C02-1050.xml  |  Citation Marker Offset:  ['8']  |  Citation Marker:  Tillman and Ney, 2000  |  Citation Offset:  ['8']  |  Citation Text:  <S sid ="8" ssid = "8">There exists stack decoding algorithm (Berger et al., 1996), A* search algorithm (Och et al., 2001; Wang and Waibel, 1997) and dynamic-programming algorithms (Tillmann and Ney, 2000; GarciaVarea and Casacuberta, 2001), and all translate a given input string word-by-word and render the translation in left-to-right, with pruning technologies assuming almost linearly aligned translation source and target texts.</S>  | Reference Offset: ['12','10','86',] | Reference Text: <S sid ="12" ssid = "12">A simple extension will be used to handle this problem.</S><S sid ="10" ssid = "10">These alignment models are similar to the concept of hidden Markov models (HMM) in speech recognition.</S><S sid ="86" ssid = "49">No: Predecessor coverage set Successor coverage set 1 (f1; ;mg n flg ; l0) !</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:  C00-2123.xml  |  Citing Article:  C02-1050.xml  |  Citation Marker Offset:  ['43']  |  Citation Marker:  2000  |  Citation Offset:  ['43']  |  Citation Text:  <S sid ="43" ssid = "1">The decoding methods presented in this paper explore the partial candidate translation hypotheses greedily, as presented in Tillmann and Ney (2000) and Och et al.</S>  | Reference Offset: ['107','90','109',] | Reference Text: <S sid ="107" ssid = "70">(S; C; j); Not only the coverage set C and the positions j; j0, but also the verbgroup states S; S0 are taken into account.</S><S sid ="90" ssid = "53">(f1; ;mg n fl1; l2; l3g ;m) German to English the monotonicity constraint is violated mainly with respect to the German verbgroup.</S><S sid ="109" ssid = "72">There are 13 types of extensions needed to describe the verbgroup reordering.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:  C00-2123.xml  |  Citing Article:  C02-1050.xml  |  Citation Marker Offset:  ['80']  |  Citation Marker:  2000  |  Citation Offset:  ['80']  |  Citation Text:  <S sid ="80" ssid = "38">The computational complexity for the left-to-right and right-to-left is the same, O( | Reference Offset: ['42','176','91',] | Reference Text: <S sid ="42" ssid = "5">The resulting algorithm has a complexity of O(n!).</S><S sid ="176" ssid = "36">The computing time is low, since no reordering is carried out.</S><S sid ="91" ssid = "54">In German, the verbgroup usually consists of a left and a right verbal brace, whereas in English the words of the verbgroup usually form a sequence of consecutive words.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:  C00-2123.xml  |  Citing Article:  C04-1091.xml  |  Citation Marker Offset:  ['22']  |  Citation Marker:  Tillman and Ney, 2000  |  Citation Offset:  ['22']  |  Citation Text:  <S sid ="22" ssid = "22">Tillman and Ney showed how to improve the complexity of the Held-Karp algorithm for restricted word reordering and gave a O (l3m4) â‰ˆ O (m7) algo rithm for French-English translation (Tillman and Ney, 2000).</S>  | Reference Offset: ['130','103','132',] | Reference Text: <S sid ="130" ssid = "93">The restriction can be expressed in terms of the number of uncovered source sentence positions to the left of the rightmost position m in the coverage set.</S><S sid ="103" ssid = "66">2.</S><S sid ="132" ssid = "95">Otherwise for the predecessor search hypothesis, we would have chosen a position that would not have been among the first n uncovered positions.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:  C00-2123.xml  |  Citing Article:  E06-1004.xml  |  Citation Marker Offset:  ['22']  |  Citation Marker:  Tillman, 2000  |  Citation Offset:  ['22']  |  Citation Text:  <S sid ="21" ssid = "21">Ã¢â‚¬Â¢ Conditional Probability Given the model parameters and a sentence pair (f , e), compute P (f  | Reference Offset: ['187','25','29',] | Reference Text: <S sid ="187" ssid = "47">Search t0 CPU time #search mWER Method [sec] error [%] QmS 0.0 0.07 108 42:6 1.0 0.13 85 37:8 2.5 0.35 44 36:6 5.0 1.92 4 34:6 10.0 10.6 0 34:5 IbmS 0.0 0.14 108 43:4 1.0 0.3 84 39:5 2.5 0.8 45 39:1 5.0 4.99 7 38:3 10.0 28.52 0 38:2 Table 6 shows example translations obtained by the three different approaches.</S><S sid ="25" ssid = "9">To explicitly handle the word reordering between words in source and target language, we use the concept of the so-called inverted alignments as given in (Ney et al., 2000).</S><S sid ="29" ssid = "13">The details are given in (Och and Ney, 2000).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:  C00-2123.xml  |  Citing Article:  H01-1062.xml  |  Citation Marker Offset:  ['113']  |  Citation Marker:  20  |  Citation Offset:  ['113']  |  Citation Text:  <S sid ="113" ssid = "16">To summarize these experimental tests, we briefly report experimental offline results for the following translation approaches: Ã¢â‚¬Â¢ single-word based approach [20];</S>  | Reference Offset: ['117','111','126',] | Reference Text: <S sid ="117" ssid = "80">f1; ; Jg denotes a coverage set including all positions from the starting position 1 to position J and j 2 fJ ô€€€L; ; Jg.</S><S sid ="111" ssid = "74">For each extension a new position is added to the coverage set.</S><S sid ="126" ssid = "89">Here, we process only full-form words within the translation procedure.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:  C00-2123.xml  |  Citing Article:  J03-1005.xml  |  Citation Marker Offset:  ['117']  |  Citation Marker:  2000  |  Citation Offset:  ['115','117']  |  Citation Text:  <S sid ="115" ssid = "73">This article will present a DP-based beam search decoder for the IBM4 translation model.</S><S sid ="117" ssid = "75">A preliminary version of the work presented here was published in Tillmann and Ney (2000).</S>  | Reference Offset: ['120','41','124',] | Reference Text: <S sid ="120" ssid = "83">The proof is given in (Tillmann, 2000).</S><S sid ="41" ssid = "4">A straightforward way to find the shortest tour is by trying all possible permutations of the n cities.</S><S sid ="124" ssid = "87">Source sentence words are aligned with hypothesized target sentence words, where the choice of a new source word, which has not been aligned with a target word yet, is restricted1.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:  C00-2123.xml  |  Citing Article:  J04-2003.xml  |  Citation Marker Offset:  ['35']  |  Citation Marker:  Tillmann and Ney 2000  |  Citation Offset:  ['35']  |  Citation Text:  <S sid ="35" ssid = "35">Many existing systems for statistical machine translation 1 1 (GarcÂ´Ä±a-Varea and Casacuberta 2001; Germann et al. 2001; NieÃŸen et al. 1998; Och, Tillmann, and Ney 1999) implement models presented by Brown, Della Pietra, Della Pietra, and Mercer (1993): The correspondence between the words in the source and the target strings is described by alignments that assign target word positions to each source word position.</S>  | Reference Offset: ['20','32','42',] | Reference Text: <S sid ="20" ssid = "4">For the translation model Pr(fJ 1 jeI 1), we go on the assumption that each source word is aligned to exactly one target word.</S><S sid ="32" ssid = "16">The baseline alignment model does not permit that a source word is aligned to two or more target words, e.g. for the translation direction from German toEnglish, the German compound noun 'Zahnarztter min' causes problems, because it must be translated by the two target words dentist's appointment.</S><S sid ="42" ssid = "5">The resulting algorithm has a complexity of O(n!).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:  C00-2123.xml  |  Citing Article:  J04-2003.xml  |  Citation Marker Offset:  ['235']  |  Citation Marker:  Tillmann and Ney 2000  |  Citation Offset:  ['235']  |  Citation Text:  <S sid ="235" ssid = "35">Some recent publications deal with the automatic detection of multiword phrases (Och and Weber 1998; Tillmann and Ney 2000).</S>  | Reference Offset: ['141','128','75',] | Reference Text: <S sid ="141" ssid = "1">4.1 The Task and the Corpus.</S><S sid ="128" ssid = "91">During the search process, a partial hypothesis is extended by choosing a source sentence position, which has not been aligned with a target sentence position yet.</S><S sid ="75" ssid = "38">am 11.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:  C00-2123.xml  |  Citing Article:  J04-4002.xml  |  Citation Marker Offset:  ['282']  |  Citation Marker:  Tillmann and Ney 2000  |  Citation Offset:  ['282']  |  Citation Text:  <S sid ="282" ssid = "48">We call this selection of highly probable words observation pruning (Tillmann and Ney 2000).</S>  | Reference Offset: ['157','104','107',] | Reference Text: <S sid ="157" ssid = "17">On average, 6 reference translations per automatic translation are available.</S><S sid ="104" ssid = "67">The 13 positions of the source sentence are processed in the order shown.</S><S sid ="107" ssid = "70">(S; C; j); Not only the coverage set C and the positions j; j0, but also the verbgroup states S; S0 are taken into account.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
