Citance Number: 1 |  Reference Article:  J96-3004.xml  |  Citing Article:  A00-2032.xml  |  Citation Marker Offset:  ['142']  |  Citation Marker:  1996  |  Citation Offset:  ['141','142']  |  Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃ‚Â­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃ‚Â­ proach.</S>  | Reference Offset: ['347','231','437',] | Reference Text: <S sid ="347" ssid = "56">It may seem surprising to some readers that the interhuman agreement scores reported here are so low.</S><S sid ="231" ssid = "95">wo rd => na m e 2.</S><S sid ="437" ssid = "40">The segmenter will give both analyses :1 cai2 neng2 'just be able,' and ?]cai2neng2 'talent,' but the latter analysis is preferred since splitting these two morphemes is generally more costly than grouping them.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:  J96-3004.xml  |  Citing Article:  A00-2032.xml  |  Citation Marker Offset:  ['5']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['5']  |  Citation Text:  <S sid ="5" ssid = "5">Proposed applications of segmentation technology include extracting new technical terms, indexing documents for information retrieval, and correcting optical character recognition (OCR) erÃ‚Â­ rors (Wu and Tseng, 1993; Nagao and Mori, 1994; Nagata, 1996a; Nagata, 1996b; Sproat et al., 1996; Fung, 1998).</S>  | Reference Offset: ['23','219','415',] | Reference Text: <S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="219" ssid = "83">An analysis of nouns that occur in both the singular and the plural in our database reveals that there is indeed a slight but significant positive correlation-R2 = 0.20, p < 0.005; see Figure 6.</S><S sid ="415" ssid = "18">The major problem for our segÂ­ menter, as for all segmenters, remains the problem of unknown words (see Fung and Wu [1994]).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:  J96-3004.xml  |  Citing Article:  C00-2095.xml  |  Citation Marker Offset:  ['80']  |  Citation Marker:  Sproat ct a.l., 1996  |  Citation Offset:  ['80']  |  Citation Text:  <S sid ="80" ssid = "25">As (Sproat ct a.l., 1996) testify, several native Chinese speakers do not always agree on one unique tokeniza.tion for a. given sentence.</S>  | Reference Offset: ['425','11','421',] | Reference Text: <S sid ="425" ssid = "28">(a) 1 Â§ . ;m t 7 leO z h e 4 pil m a 3 lu 4 sh an g4 bi ng 4 t h i s CL (assi fier) horse w ay on sic k A SP (ec t) 'This horse got sick on the way' (b) 1Â§: . til y zhe4 tiao2 ma3lu4 hen3 shao3 this CL road very few 'Very few cars pass by this road' :$ chel jinglguo4 car pass by 2.</S><S sid ="11" ssid = "11">com t 700 Mountain Avenue, 2d451, Murray Hill, NJ 07974, USA.</S><S sid ="421" ssid = "24">For example, as Gan (1994) has noted, one can construct examples where the segmenÂ­ tation is locally ambiguous but can be determined on the basis of sentential or even discourse context.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:  J96-3004.xml  |  Citing Article:  C02-1049.xml  |  Citation Marker Offset:  ['58']  |  Citation Marker:  Sproat et al, 1996  |  Citation Offset:  ['58']  |  Citation Text:  <S sid ="58" ssid = "39">Conventionally a word segmentation process identifies the words in input text by matching lexical entries and resolving the ambiguous matching (Chen &amp; Liu, 1992, Sproat et al, 1996).</S>  | Reference Offset: ['148','7','94',] | Reference Text: <S sid ="148" ssid = "12">An input ABCD can be represented as an FSA as shown in Figure 2(b).</S><S sid ="7" ssid = "7">If one is interested in translation, one would probably want to consider show up as a single dictionary word since its semantic interpretation is not trivially derivable from the meanings of show and up.</S><S sid ="94" ssid = "32">A related point is that mutual information is helpful in augmenting existing electronic dictionaries, (cf.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:  J96-3004.xml  |  Citing Article:  C02-1049.xml  |  Citation Marker Offset:  ['127']  |  Citation Marker:  Sproat et al, 1996  |  Citation Offset:  ['125','126','127']  |  Citation Text:  <S sid ="124" ssid = "105">Mutu al infor matio n-like statist ics are very often adopt ed in meas uring assoc iation stren gth msi (?)</S><S sid ="127" ssid = "108">dsi +1 () combine (i, i + 1) 1993, Sproat et al, 1996)</S>  | Reference Offset: ['441','131','319',] | Reference Text: <S sid ="441" ssid = "44">However, there is again local grammatical information that should favor the split in the case of (1a): both .ma3 'horse' and .ma3 lu4 are nouns, but only .ma3 is consistent with the classifier pil, the classifier for horses.21 By a similar argument, the preference for not splitting , lm could be strengthened in (lb) by the observation that the classifier 1'1* tiao2 is consistent with long or winding objects like , lm ma3lu4 'road' but not with,ma3 'horse.'</S><S sid ="131" ssid = "69">In a few cases, the criteria for correctness are made more explicit.</S><S sid ="319" ssid = "28">Clearly, for judges h and h taking h as standard and computing the precision and recall for Jz yields the same results as taking h as the standard, and computing for h, 14 All evaluation materials, with the exception of those used for evaluating personal names were drawn.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:  J96-3004.xml  |  Citing Article:  C02-1080.xml  |  Citation Marker Offset:  ['20']  |  Citation Marker:  Sproat et al. 96  |  Citation Offset:  ['20']  |  Citation Text:  <S sid ="20" ssid = "20">Chinese NE recognition is much more difficult than that in English due to two major problems.</S><S sid ="21" ssid = "21">The first is the word segmentation problem (Sproat et al. 96, Palmer 97).</S>  | Reference Offset: ['343','48','21',] | Reference Text: <S sid ="343" ssid = "52">The percentage scores on the axis labels represent the amount of variation in the data explained by the dimension in question.</S><S sid ="48" ssid = "9">pronunciations of individual words; they also need to compute intonational phrase boundaries in long utterances and assign relative prominence to words in those utterances.</S><S sid ="21" ssid = "21">In Chinese text, individual characters of the script, to which we shall refer by their traditional name of hanzi,Z are written one after another with no intervening spaces; a Chinese sentence is shown in Figure 1.3 Partly as a result of this, the notion "word" has never played a role in Chinese philological tradition, and the idea that Chinese lacks anyÂ­ thing analogous to words in European languages has been prevalent among Western sinologists; see DeFrancis (1984).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:  J96-3004.xml  |  Citing Article:  C02-1143.xml  |  Citation Marker Offset:  ['107']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['107']  |  Citation Text:  <S sid ="107" ssid = "48">We used a maximum- matching algorithm and a dictionary compiled from the CTB (Sproat et al., 1996; Xue, 2001) to do segmentation  | Reference Offset: ['393','188','451',] | Reference Text: <S sid ="393" ssid = "102">A totally nonÂ­ stochastic rule-based system such as Wang, Li, and Chang's will generally succeed in such cases, but of course runs the risk of overgeneration wherever the single-hanzi word is really intended.</S><S sid ="188" ssid = "52">One class comprises words derived by productive morphologiÂ­ cal processes, such as plural noun formation using the suffix ir, menD.</S><S sid ="451" ssid = "54">gaolxing4 'happy'=> F.i'JF.i'JJI!JI!</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:  J96-3004.xml  |  Citing Article:  E09-1063.xml  |  Citation Marker Offset:  ['107']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['107']  |  Citation Text:  <S sid ="107" ssid = "4">First of all, it is really difficult to build a reliable and objective gold-standard given the fact that there is only 70% agreement between native speakers on this task (Sproat et al., 1996).</S>  | Reference Offset: ['345','7','392',] | Reference Text: <S sid ="345" ssid = "54">Word type N % Dic tion ary entr ies 2 , 5 4 3 9 7 . 4 7 Mor pho logi call y deri ved wor ds 3 0 . 1 1 Fore ign tran slite rati ons 9 0 . 3 4 Per son al na mes 5 4 2 . 0 7 cases.</S><S sid ="7" ssid = "7">If one is interested in translation, one would probably want to consider show up as a single dictionary word since its semantic interpretation is not trivially derivable from the meanings of show and up.</S><S sid ="392" ssid = "101">In many cases these failures in recall would be fixed by having better estimates of the actual probÂ­ abilities of single-hanzi words, since our estimates are often inflated.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:  J96-3004.xml  |  Citing Article:  I05-3031.xml  |  Citation Marker Offset:  ['7']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['6','7']  |  Citation Text:  <S sid ="6" ssid = "6">The Chinese word segmentation is a nontrivial task because no explicit delimiters (like spaces in English) are used for word separation.</S><S sid ="7" ssid = "7">As the task is an important precursor to many natural language processing systems, it receives a lot of attentions in the literature for the past decade (Wu and Tseng, 1993; Sproat et al., 1996).</S>  | Reference Offset: ['458','20','7',] | Reference Text: <S sid ="458" ssid = "4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S><S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writÂ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="7" ssid = "7">If one is interested in translation, one would probably want to consider show up as a single dictionary word since its semantic interpretation is not trivially derivable from the meanings of show and up.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:  J96-3004.xml  |  Citing Article:  J00-3004.xml  |  Citation Marker Offset:  ['42']  |  Citation Marker:  1996  |  Citation Offset:  ['42']  |  Citation Text:  <S sid ="42" ssid = "42">According to Sproat et al. {1996) and Wu and Fung {1994), experiments show that only about 75% agreement between native speakers is to be expected on the &quot;correct&quot; segmentation, and the figure reduces as more people become involved.</S>  | Reference Offset: ['311','195','415',] | Reference Text: <S sid ="311" ssid = "20">Two measures that can be used to compare judgments are: 1.</S><S sid ="195" ssid = "59">!!:\ :yu2 e:_nc [::!!:zen3 l!f :moO t:_adv il!:shuot ,:_vb i i i 1 â€¢ 10.03 13...</S><S sid ="415" ssid = "18">The major problem for our segÂ­ menter, as for all segmenters, remains the problem of unknown words (see Fung and Wu [1994]).</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:  J96-3004.xml  |  Citing Article:  J00-3004.xml  |  Citation Marker Offset:  ['96']  |  Citation Marker:  1996  |  Citation Offset:  ['96']  |  Citation Text:  <S sid ="96" ssid = "41">Sproat et al.</S><S sid ="97" ssid = "42">(1996) implement special recognizers not only for Chinese names and transliterated foreign names, but for components of morphologically obtained words as well.</S>  | Reference Offset: ['409','37','285',] | Reference Text: <S sid ="409" ssid = "12">May 1995).</S><S sid ="37" ssid = "37">However, there are several reasons why this approach will not in general work: 1.</S><S sid ="285" ssid = "149">As with personal names, we also derive an estimate from text of the probability of finding a transliterated name of any kind (PTN).</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
