Citance Number: 1 |  Reference Article:  N06-2049.xml  |  Citing Article:  C10-2139.xml  |  Citation Marker Offset:  ['290']  |  Citation Marker:  Zh ang et al., 200 6  |  Citation Offset:  ['290','305']  |  Citation Text:  <S sid ="290" ssid = "189">AS C U MS R PK U (Zh ang et al., 200 6) 95.</S><S sid ="305" ssid = "204">2 Table 5: Segmentation performance presented in previous work and of our combination model.</S>  | Reference Offset: ['31','97','120',] | Reference Text: <S sid ="31" ssid = "9">There are several steps to train a subword-based IOB tag- ger.</S><S sid ="97" ssid = "26">71 0 0.</S><S sid ="120" ssid = "49">71 2 0.9 67 0.9 76 Table 3: Effects of combination using the confidence measure.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:  N06-2049.xml  |  Citing Article:  D13-1031.xml  |  Citation Marker Offset:  ['274']  |  Citation Marker:  2006  |  Citation Offset:  ['273','274']  |  Citation Text:  <S sid ="273" ssid = "109">CRF + Rule system represents a combination of CRF model and rule based model presented in Zhang et al.</S><S sid ="274" ssid = "110">(2006).</S>  | Reference Offset: ['49','108','72',] | Reference Text: <S sid ="49" ssid = "27">0 means the current word; âˆ’1, âˆ’2, the first or second word to the left; 1, 2, the first or second word to the right.</S><S sid ="108" ssid = "37">In section 2.2, we proposed a confidence measure approach to reevaluate the results of IOB tagging by combinations of the results of the dictionary-based segmentation.</S><S sid ="72" ssid = "1">We used the data provided by Sighan Bakeoff 2005 to test our approaches described in the previous sections.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:  N06-2049.xml  |  Citing Article:  I08-4009.xml  |  Citation Marker Offset:  ['19']  |  Citation Marker:  Zhang et al., 2006a  |  Citation Offset:  ['19']  |  Citation Text:  <S sid ="19" ssid = "19">Consequently, many strategies are proposed to balance the IV and OOV performance (Goh et al., 2005), (Zhang et al., 2006a).</S>  | Reference Offset: ['97','84','112',] | Reference Text: <S sid ="97" ssid = "26">71 0 0.</S><S sid ="84" ssid = "13">However, the R-ivs were very high.</S><S sid ="112" ssid = "41">The act of confidence measure made a tradeoff between R-ivs and R- oovs, yielding higher R-oovs than Table 1 and higher R R P FR oo vR iv A S 0.9 53 0.9 56 0.9 44 0.9 47 0.9 48 0.9 51 0.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:  N06-2049.xml  |  Citing Article:  I08-4009.xml  |  Citation Marker Offset:  ['20']  |  Citation Marker:  Zhang et al., 2006a  |  Citation Offset:  ['20']  |  Citation Text:  <S sid ="20" ssid = "20">Among these strategies, the confidence measure used to combine the results of CT and DS is a straightforward one, which is introduced in (Zhang et al., 2006a).</S>  | Reference Offset: ['96','86','139',] | Reference Text: <S sid ="96" ssid = "25">75 4 0.9 49 0.9 55 M S R 0.9 57 0.9 65 0.9 60 0.9 63 0.9 59 0.9 64 0.</S><S sid ="86" ssid = "15">subword-based tagger The main difference between the character-based and the word-based is the contents of the lexicon subset used for re-segmentation.</S><S sid ="139" ssid = "8">We think our proposed subword- based tagging played an important role for the good results.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:  N06-2049.xml  |  Citing Article:  I08-4015.xml  |  Citation Marker Offset:  ['36']  |  Citation Marker:  Zhang et al., 2006  |  Citation Offset:  ['36']  |  Citation Text:  <S sid ="36" ssid = "22">After we get word-based segmentation result, we use it to revise the CRF tagging result similar to (Zhang et al., 2006).</S>  | Reference Offset: ['12','73','56',] | Reference Text: <S sid ="12" ssid = "12">âˆ— Now the second author is affiliated with NTT.</S><S sid ="73" ssid = "2">The data contain four corpora from different sources: Academia Sinica (AS), City University of Hong Kong (CITYU), Peking University (PKU) and Microsoft Research in Beijing (MSR).</S><S sid ="56" ssid = "34">The dictionary-based segmentation produced results with higher R-ivs but lower R-oovs while the IOB tagging yielded the contrary results.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:  N06-2049.xml  |  Citing Article:  I08-4030.xml  |  Citation Marker Offset:  ['13']  |  Citation Marker:  R. Zhang et al., 2006  |  Citation Offset:  ['13']  |  Citation Text:  <S sid ="13" ssid = "13">If the confidence of a character is lower than the threshold, the tag of that character will be adjusted to the tag assigned by the Maximum Probability Segmentation (R. Zhang et al., 2006).</S>  | Reference Offset: ['7','51','30',] | Reference Text: <S sid ="7" ssid = "7">We found that so far all the existing implementations were using character-based IOB tagging.</S><S sid ="51" ssid = "29">We defined a cutoff value for each feature type and selected the features with occurrence counts over the cutoff.</S><S sid ="30" ssid = "8">2.1 Subword-based IOB tagging using CRFs.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:  N06-2049.xml  |  Citing Article:  I08-4030.xml  |  Citation Marker Offset:  ['51']  |  Citation Marker:  R. Zhang et al., 2006  |  Citation Offset:  ['51']  |  Citation Text:  <S sid ="51" ssid = "7">According to the results reported in (R. Zhang et al., 2006), CRF performs relatively better on Out-of-Vocabulary (OOV) words while Maximum Probability performs well on IV words, so a model combining the advantages of these two methods is appealing.</S>  | Reference Offset: ['58','54','155',] | Reference Text: <S sid ="58" ssid = "36">We define a confidence measure, C M(tiob |w), to measure the confidence of the results produced by the IOB tagging by using the results from the dictionary-based segmentation.</S><S sid ="54" ssid = "32">Before moving to this step in Figure 1, we produced two segmentation results: the one by the dictionary-based approach and the one by the IOB tagging.</S><S sid ="155" ssid = "5">The authors appreciate the reviewersâ€™ effort and good advice for improving the paper.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:  N06-2049.xml  |  Citing Article:  J11-1005.xml  |  Citation Marker Offset:  ['277']  |  Citation Marker:  2006  |  Citation Offset:  ['277']  |  Citation Text:  <S sid ="277" ssid = "168">We chose the three models that achieved at least one best score in the closed tests from Emerson (2005), as well as the sub-word-based model of Zhang, Kikui, and Sumita (2006) for comparison.</S>  | Reference Offset: ['15','43','98',] | Reference Text: <S sid ="15" ssid = "15">While OOV recognition is very important in word segmentation, a higher IV rate is also desired.</S><S sid ="43" ssid = "21">In the third step, we used the CRFs approach to train the IOB tagger (Lafferty et al., 2001) on the training data.</S><S sid ="98" ssid = "27">71 6 0.9 64 0.9 72 Table 2: Segmentation results by a pure subword-based IOB tagging.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:  N06-2049.xml  |  Citing Article:  N09-1007.xml  |  Citation Marker Offset:  ['134']  |  Citation Marker:  Zhang et al., 2006  |  Citation Offset:  ['134']  |  Citation Text:  <S sid ="134" ssid = "17">Z06-a and Z06-b represents the pure sub- word CRF model and the conï¬�dence-based combination of CRF and rule-based models, respectively (Zhang et al., 2006);</S>  | Reference Offset: ['11','38','92',] | Reference Text: <S sid ="11" ssid = "11">We will give a detailed description of this approach in Section 2.</S><S sid ="38" ssid = "16">For a character-based IOB tagger, there is only one possibility of re-segmentation.</S><S sid ="92" ssid = "21">64 7 0.9 64 0.9 67 CI TY U 0.9 39 0.9 50 0.9 43 0.9 42 0.9 41 0.9 46 0.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:  N06-2049.xml  |  Citing Article:  P06-2123.xml  |  Citation Marker Offset:  ['197']  |  Citation Marker:  Zhang et al., 2006  |  Citation Offset:  ['197']  |  Citation Text:  <S sid ="197" ssid = "75">Detailed descriptions about subword tagging by CRF can be found in our paper (Zhang et al., 2006).</S>  | Reference Offset: ['55','105','80',] | Reference Text: <S sid ="55" ssid = "33">However, neither was perfect.</S><S sid ="105" ssid = "34">However, the R-iv rates were getting worse in return for higher R-oov rates.</S><S sid ="80" ssid = "9">Table 1 shows the performance of the dictionary-based segmentation.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:  N06-2049.xml  |  Citing Article:  P07-1106.xml  |  Citation Marker Offset:  ['94']  |  Citation Marker:  2006  |  Citation Offset:  ['93','94']  |  Citation Text:  <S sid ="93" ssid = "9">One existing method that is based on sub-word information, Zhang et al.</S><S sid ="94" ssid = "10">(2006), combines a C R F and a rule-based model.</S>  | Reference Offset: ['12','38','20',] | Reference Text: <S sid ="12" ssid = "12">âˆ— Now the second author is affiliated with NTT.</S><S sid ="38" ssid = "16">For a character-based IOB tagger, there is only one possibility of re-segmentation.</S><S sid ="20" ssid = "20">Section 3 presents our experimental results.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
