Citance Number: 1 |  Reference Article:  P05-1053.xml  |  Citing Article:  C08-1088.xml  |  Citation Marker Offset:  ['37']  |  Citation Marker: 2005  |  Citation Offset:  ['36','37']  |  Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S>  | Reference Offset: ['178','206','187',] | Reference Text: <S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S><S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:  P05-1053.xml  |  Citing Article:  C08-1088.xml  |  Citation Marker Offset:  ['15']  |  Citation Marker:  2005  |  Citation Offset:  ['15']  |  Citation Text:  <S sid ="15" ssid = "15">However, detailed research (Zhou et al., 2005) shows that itÃ¢â‚¬â„¢s difficult to extract new effective features to further improve the extraction accuracy.</S>  | Reference Offset: ['155','154','94',] | Reference Text: <S sid ="155" ssid = "37">This is largely due to incorporation of two semantic resources, i.e. the country name list and the personal relative trigger word list.</S><S sid ="154" ssid = "36">Citizen-Ofâ€?.</S><S sid ="94" ssid = "37">The dependency tree is built by using the phrase head information returned by the Collinsâ€™ parser and linking all the other fragments in a phrase to its head.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:  P05-1053.xml  |  Citing Article:  C08-1088.xml  |  Citation Marker Offset:  ['180']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['180']  |  Citation Text:  <S sid ="180" ssid = "28">Furthermore, when the UPST (FPT) kernel is com bined with a linear state-of-the-state feature- based kernel (Zhou et al., 2005) into a composite one via polynomial interpolation in a setting similar to Zhou et al.</S>  | Reference Offset: ['179','196','215',] | Reference Text: <S sid ="179" ssid = "61">8 6 9 . 4 7 2 . 6 General Staff 2 0 1 1 0 8 4 6 71.</S><S sid ="196" ssid = "78">Second, it is well known that full parsing is always prone to long-distance parsing errors although the Collinsâ€™ parser used in our system achieves the state-of-the-art performance.</S><S sid ="215" ssid = "97">The experiment result also shows that our feature-based approach outperforms the tree kernel-based approaches by more than 20 F-measure on the extraction of 5 ACE relation types.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:  P05-1053.xml  |  Citing Article:  C10-1018.xml  |  Citation Marker Offset:  ['12']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['12']  |  Citation Text:  <S sid ="12" ssid = "12">In building these systems, researchers used a wide variety of features (Kambhatla, 2004; Zhou et al., 2005; Jiang and Zhai, 2007).</S>  | Reference Offset: ['187','142','160',] | Reference Text: <S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S><S sid ="142" ssid = "24">Table 3 shows that about 70% of relations exist where two mentions are embedded in each other or separated by at most one word.</S><S sid ="160" ssid = "42">It also shows that our system achieves overall performance of 77.2%/60.7%/68.0 and 63.1%/49.5%/55.5 in precision/recall/F-measure on the 5 ACE relation types and the best-reported systems on the ACE corpus.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:  P05-1053.xml  |  Citing Article:  C10-1018.xml  |  Citation Marker Offset:  ['42']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['42']  |  Citation Text:  <S sid ="42" ssid = "5">Most of the features used in our system are based on the work in (Zhou et al., 2005).</S>  | Reference Offset: ['175','213','185',] | Reference Text: <S sid ="175" ssid = "57">1 6 4 . 6 6 8 . 6Part Of 1 3 6 7 6 3 2 70.</S><S sid ="213" ssid = "95">Although tree kernel-based approaches facilitate the exploration of the implicit feature space with the parse tree structure, yet the current technologies are expected to be further advanced to be effective for relatively complicated relation extraction tasks such as the one defined in ACE where 5 types and 24 subtypes need to be extracted.</S><S sid ="185" ssid = "67">8 66 .7 74 .7 77 .2 60 .7 68 .0 6 3.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:  P05-1053.xml  |  Citing Article:  C10-1018.xml  |  Citation Marker Offset:  ['45']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['45']  |  Citation Text:  <S sid ="45" ssid = "8">Due to space limitations, we only describe the collocation features and refer the reader to (Zhou et al., 2005) for the rest of the features.</S>  | Reference Offset: ['178','187','203',] | Reference Text: <S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S><S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S><S sid ="203" ssid = "85">(2002).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:  P05-1053.xml  |  Citing Article:  C10-1064.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">While many supervised machine learning approaches have been successfully applied to the RDC task (Kambhatla, 2004; Zhou et al., 2005; Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005; Zhang et al., 2006), few have focused on weakly-supervised relation extraction.</S>  | Reference Offset: ['163','164','41',] | Reference Text: <S sid ="163" ssid = "45">This suggests that feature-based methods can effectively combine different features from a variety of sources (e.g. WordNet and gazetteers) that can be brought to bear on relation extraction.</S><S sid ="164" ssid = "46">The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S><S sid ="41" ssid = "12">Compared with Kambhatla (2004), we separately incorporate the base phrase chunking information, which contributes to most of the performance improvement from syntactic aspect.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:  P05-1053.xml  |  Citing Article:  D07-1076.xml  |  Citation Marker Offset:  ['14']  |  Citation Marker:    |  Citation Offset:  ['14']  |  Citation Text:  <S sid ="14" ssid = "14">Among them, feature-based methods (Kambhatla 2004; Zhou et al., 2005) achieve certain success by employing a large amount of diverse linguistic features, varying from lexical knowledge, entity- related information to syntactic parse trees, dependency trees and semantic information</S>  | Reference Offset: ['186','187','107',] | Reference Text: <S sid ="186" ssid = "68">1 4 9.</S><S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S><S sid ="107" ssid = "50">â€¢ SC1ET2: combination of the entity type of M2 and the semantic class of M1 when the first mention triggers a personal social subtype.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:  P05-1053.xml  |  Citing Article:  D07-1076.xml  |  Citation Marker Offset:  ['14']  |  Citation Marker:    |  Citation Offset:  ['14']  |  Citation Text:  <S sid ="14" ssid = "14">How ever, it is difficult for them to effectively capture struc tured parse tree information (Zhou et al 2005), which is critical for further performance improvement in relation extraction.</S>  | Reference Offset: ['81','80','105',] | Reference Text: <S sid ="81" ssid = "24">Normally, the above overlap features are too general to be effective alone.</S><S sid ="80" ssid = "23">This category of features includes: â€¢ #MB: number of other mentions in between â€¢ #WB: number of words in between â€¢ M1>M2 or M1<M2: flag indicating whether M2/M1is included in M1/M2.</S><S sid ="105" ssid = "48">We also extend the list by collecting the trigger words from the head words of the mentions in the training data according to their indicating relationships.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:  P05-1053.xml  |  Citing Article:  D07-1076.xml  |  Citation Marker Offset:  ['161']  |  Citation Marker:  Zhou et al 2005  |  Citation Offset:  ['161']  |  Citation Text:  <S sid ="161" ssid = "24">Composite Kernel In this paper, a composite kernel via polynomial interpolation, as described Zhang et al (2006), is applied to integrate the proposed c ontextsensitive convolution tree kernel with a state -of the-art linear kernel (Zhou et al 2005)</S>  | Reference Offset: ['180','203','186',] | Reference Text: <S sid ="180" ssid = "62">1 5 3 . 7 6 2 . 3 Manag ement 1 6 5 1 0 6 7 2 59.</S><S sid ="203" ssid = "85">(2002).</S><S sid ="186" ssid = "68">1 4 9.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:  P05-1053.xml  |  Citing Article:  D07-1076.xml  |  Citation Marker Offset:  ['167']  |  Citation Marker:  20 05  |  Citation Offset:  ['166','167']  |  Citation Text:  <S sid ="166" ssid = "29">7 Here, we use the same set of flat features (i.e. word,.</S><S sid ="167" ssid = "30">entity type, mention level, overlap, base phrase chunk- ing, dependency tree, parse tree and semantic information) as Zhou et al (20 05).</S>  | Reference Offset: ['184','112','206',] | Reference Text: <S sid ="184" ssid = "66">3 5 5 . 2 4 1 . 6 Parent 2 5 1 7 0 10 0 6 8 . 0 8 1 . 0 System Table 4: Performa nce of different relation types and major subtypes in the test data R e l a t i o n D e t e c t i o n R D C o n T y p e s R D C o n S u b t y p e s P R F P R F P R F Ou rs: fea ture bas ed 8 4.</S><S sid ="112" ssid = "5">We use the official ACE corpus from LDC.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
