Citance Number: 1 |  Reference Article:   P98-1046.xml  |  Citing Article:  A00-2034.xml  |  Citation Marker Offset:  ['36','37']  |  Citation Marker:  Dang et al, 1998  |  Citation Offset:  ['36','37']  |  Citation Text:  <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S>  | Reference Offset: ['129','56','30',] | Reference Text: <S sid ="129" ssid = "43">"Meander Verbs" Figure 3: Intersections between roll and run verbs of motion and meander verbs of existence 4 Cross-linguistic verb classes.</S><S sid ="56" ssid = "10">mantic classes such that let n ... n enI e, where e is a relevance cutoff.</S><S sid ="30" ssid = "11">The sets of syntactic frames associated with a particular Levin class are not intended to be arbitrary, and they are supposed to reflect unÂ­ derlying semantic components that constrain alÂ­ lowable arguments.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:   P98-1046.xml  |  Citing Article:  A00-2034.xml  |  Citation Marker Offset:  ['39']  |  Citation Marker:  1998  |  Citation Offset:  ['38','39']  |  Citation Text:  <S sid ="38" ssid = "24">Dang et al.</S><S sid ="39" ssid = "25">(1998) modify it by adding new classes which remove the overlap between classes from the original scheme.</S>  | Reference Offset: ['145','97','139',] | Reference Text: <S sid ="145" ssid = "59">We selected the slide/roll/run, meander/roll and roll/run intersective classes.</S><S sid ="97" ssid = "11">Even though the Levin verb classes are defined by their syntactic behavior, many reflect semanÂ­ tic distinctions made by WordNet, a classificaÂ­ tion hierarchy defined in terms of purely seÂ­ mantic word relations (synonyms, hypernyms, etc.).</S><S sid ="139" ssid = "53">For exÂ­ ample, Eu puxei o ramo e o galho separandoos As in English, derivar and planar are not exterÂ­ nally controllable actions and thus don't take the causativejinchoative alternation common to other verbs in the roll class.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:   P98-1046.xml  |  Citing Article:  C00-2118.xml  |  Citation Marker Offset:  ['211']  |  Citation Marker:  Dang ct a!., 1998  |  Citation Offset:  ['211']  |  Citation Text:  <S sid ="211" ssid = "162">\tVe think that many cases of amÃ‚Â­ biguous classification of verb types can be adÃ‚Â­ dressed with the notion of intersedive sets inÃ‚Â­ troduced by (Dang ct a!., 1998).</S>  | Reference Offset: ['149','108','145',] | Reference Text: <S sid ="149" ssid = "63">It takes a gerund plus a reflexive, as in A porta deslizou abrindose (The door slid opening itself).</S><S sid ="108" ssid = "22">Levin verb classes are based on an underlying latÂ­ tice of partial semantic descriptions, which are manifested indirectly in diathesis alternations.</S><S sid ="145" ssid = "59">We selected the slide/roll/run, meander/roll and roll/run intersective classes.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:   P98-1046.xml  |  Citing Article:  C00-2148.xml  |  Citation Marker Offset:  ['18']  |  Citation Marker:  1998  |  Citation Offset:  ['18']  |  Citation Text:  <S sid ="18" ssid = "4">Many verbs are listed in multiple classes, some of which have conflicting sets of syntactic frames.</S><S sid ="19" ssid = "5">Dang ct al.</S><S sid ="20" ssid = "6">(1998) showed that multiple listings could in some cases be interpreted as regular sense extensions, and defined intcrsectivc Levin classes, which are a more fine-grained, syntactically and semantically coherÃ‚Â­ ent refinement of basic Levin classes.</S>  | Reference Offset: ['80','147','160',] | Reference Text: <S sid ="80" ssid = "34">SimÂ­ ilarly, draw and yank can be viewed as carry verbs alÂ­ though they are not listed as such.</S><S sid ="147" ssid = "61">The elements of the slide/roll/run class are rebater (bounce), flutuar (float), rolar ( rolQ and deslizar (slide).</S><S sid ="160" ssid = "5">This might be approxiÂ­ mated by automatically extracting the syntacÂ­ tic frames in which the verb occurs in corpus data, rather than manual analysis of each verb, as was done in this study.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:   P98-1046.xml  |  Citing Article:  C08-1002.xml  |  Citation Marker Offset:  ['46']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['46']  |  Citation Text:  <S sid ="46" ssid = "4">VN is built on a refinement of the Levin classes, the intersective Levin classes (Dang et al., 1998), aimed at achieving more coherent classes both semantically and syntactically.</S>  | Reference Offset: ['55','122','148',] | Reference Text: <S sid ="55" ssid = "9">, Cn} of se-.</S><S sid ="122" ssid = "36">The two classes differ in that roll verbs relate to manners of motion characÂ­ teristic of inanimate entities, while run verbs describe manners in which animate entities can move.</S><S sid ="148" ssid = "62">The resultative in Portuguese cannot be expressed in the same way as in EnÂ­ glish.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:   P98-1046.xml  |  Citing Article:  C10-1081.xml  |  Citation Marker Offset:  ['164']  |  Citation Marker:  Dang et al., 1998  |  Citation Offset:  ['163','164','165']  |  Citation Text:  <S sid ="163" ssid = "20">One way to alleviate this problem is to make features based on verb classes.</S><S sid ="164" ssid = "21">We first tried using the verb classes in VerbNet (Dang et al., 1998).</S><S sid ="165" ssid = "22">Unfortunately, VerbNet only covers about 34% of the verb tokens in our training corpus, and does not improve the systemÃ¢â‚¬â„¢s performance.</S>  | Reference Offset: ['158','135','157',] | Reference Text: <S sid ="158" ssid = "3">Intersective Levin sets partition these classes according to more coÂ­ herent subsets of features (force, force+motion, force+separation), in effect highlighting a lattice of semantic features that determine the sense of a verb.</S><S sid ="135" ssid = "49">As in English, these verbs seem to take different alterÂ­ nations, and the ability of each to participate in an alternation is related to its semantic content.</S><S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accordÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:   P98-1046.xml  |  Citing Article:  E99-1007.xml  |  Citation Marker Offset:  ['17']  |  Citation Marker:  Dang eta!., 1998  |  Citation Offset:  ['17']  |  Citation Text:  <S sid ="17" ssid = "4">Manual classificaÃ‚Â­ tion of large numbers of verbs is a difficult and resource intensive task (Levin, 1993; Miller et a!., 1990; Dang eta!., 1998).</S>  | Reference Offset: ['82','28','77',] | Reference Text: <S sid ="82" ssid = "36">Since intersective classes were built using membership lists rather than the set of defining alternaÂ­ tions, they were similarly incomplete.</S><S sid ="28" ssid = "9">The fundamental assumption is that the syntactic frames are a direct reflection of the unÂ­ derlying semantics.</S><S sid ="77" ssid = "31">(carry verb implies causation of accompaÂ­ nied motion, no separation) 2.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:   P98-1046.xml  |  Citing Article:  H01-1010.xml  |  Citation Marker Offset:  ['25']  |  Citation Marker:  Dang, et al, 98  |  Citation Offset:  ['25']  |  Citation Text:  <S sid ="25" ssid = "12">This lexicon exploits the systematic link between syntax and semantics that motivates the Levin classes, and thus provides a clear and regular association between syntactic and semantic properties of verbs and verb classes, [Dang, et al, 98, 00, Kipper, et al. 00].</S>  | Reference Offset: ['111','144','109',] | Reference Text: <S sid ="111" ssid = "25">The most specific hypernym common to all the verbs in this intersective class is move, displace, which is also a hypernym for other carry verbs not in the intersection.</S><S sid ="144" ssid = "58">We also investigated the Portuguese translation of some intersective classes of motion verbs.</S><S sid ="109" ssid = "23">Whereas high level semantic relations (synÂ­ onym, hypernym) are represented directly in WordNet, they can sometimes be inferred from the intersection between Levin verb classes, as with the cut/split class.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:   P98-1046.xml  |  Citing Article:  J01-3003.xml  |  Citation Marker Offset:  ['660']  |  Citation Marker:  1998  |  Citation Offset:  ['660']  |  Citation Text:  <S sid ="660" ssid = "3">We think that many cases of ambiguÃ‚Â­ ous classification of the lexical entry for a verb can be addressed with the notion of intersective sets introduced by Dang et al.</S><S sid ="661" ssid = "4">(1998).</S>  | Reference Offset: ['155','40','150',] | Reference Text: <S sid ="155" ssid = "69">The result of this is that ftutuar should move out of the slide class, which puts it with derivar (drift) and plaÂ­ nar (glide) in the closely related roll/run class.</S><S sid ="40" ssid = "21">However, it would be useful for the WordNet senses to have access to the detailed syntactic information that the Levin classes contain, and it would be equally useful to have more guidance as to when membership in a Levin class does in fact indicate shared semanÂ­ tic components.</S><S sid ="150" ssid = "64">Transitivity is also not always preserved in the translations.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:   P98-1046.xml  |  Citing Article:  J04-1003.xml  |  Citation Marker Offset:  ['59']  |  Citation Marker:  1998  |  Citation Offset:  ['58','59']  |  Citation Text:  <S sid ="58" ssid = "58">Palmer (2000) and Dang et al.</S><S sid ="59" ssid = "59">(1998) argue that syntactic frames and verb classes are useful for developing principled classifications of verbs.</S>  | Reference Offset: ['157','136','100',] | Reference Text: <S sid ="157" ssid = "2">Whereas each WordNet synset is hierarchicalized accordÂ­ ing to only one aspect (e.g., Result, in the case of cut), Levin recognizes that verbs in a class may share many different semantic features, without designating one as primary.</S><S sid ="136" ssid = "50">Table 1 shows how these Portuguese verbs natuÂ­ rally cluster into two different subclasses, based on their ability to take the conative and apart alternations as well as path prepositions.</S><S sid ="100" ssid = "14">The original intersective class (cut, hack, hew, saw) exhibits alternations of both parent classes, and has been augmented with chip, clip, slash, snip since these cut verbs also display the syntactic properties of split verbs.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:   P98-1046.xml  |  Citing Article:  J04-1003.xml  |  Citation Marker Offset:  ['436']  |  Citation Marker:  Dang et al. 1998  |  Citation Offset:  ['436']  |  Citation Text:  <S sid ="436" ssid = "1">LevinÃ¢â‚¬â„¢s (1993) seminal study on diathesis alternations and verb semantic classes has recently influenced work in dictionary creation (Dorr 1997; Dang et al. 1998; Dorr and Jones 1996)  | Reference Offset: ['107','140','105',] | Reference Text: <S sid ="107" ssid = "21">This distinction appears in the second-order Levin classes as membership vs. nonmemberÂ­ ship in the intersective class with split.</S><S sid ="140" ssid = "54">Planar doesn't take a direct object in Portuguese, and it shows the induced action alternation the same way as fluÂ­ tuar (by using the light verb fazer).</S><S sid ="105" ssid = "19">Manner of cutting that doesn't separate.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
