
Citance Number: 1  | Reference Article:  N06-2049.xml | Citing Article:  C10-2139.xml | Citation Marker Offset:  ['290'] | Citation Marker:  Zh ang et al., 200 6 | Citation Offset:  ['290','305'] | Citation Text:  <S sid ="290" ssid = "189">AS C U MS R PK U (Zh ang et al., 200 6) 95.</S><S sid ="305" ssid = "204">2 Table 5: Segmentation performance presented in previous work and of our combination model.</S>  | Reference Offset: ['125'] | Reference Text:<S sid="125" ssid="54">95 0 O u r s 0.</S> | Discourse Facet : Method_Citation

Citance Number: 2  | Reference Article:  N06-2049.xml | Citing Article:  D13-1031.xml | Citation Marker Offset:  ['274'] | Citation Marker:  2006 | Citation Offset:  ['273','274'] | Citation Text:  <S sid ="273" ssid = "109">CRF + Rule system represents a combination of CRF model and rule based model presented in Zhang et al.</S><S sid ="274" ssid = "110">(2006).</S>  | Reference Offset: ['152'] | Reference Text:<S sid="152" ssid="2">Using the CRFs approaches, we prove that it outperformed the character- based method using the CRF approaches.</S> | Discourse Facet : Method_Citation

Citance Number: 3  | Reference Article:  N06-2049.xml | Citing Article:  I08-4009.xml | Citation Marker Offset:  ['19'] | Citation Marker:  Zhang et al., 2006a | Citation Offset:  ['19'] | Citation Text:  <S sid ="19" ssid = "19">Consequently, many strategies are proposed to balance the IV and OOV performance (Goh et al., 2005), (Zhang et al., 2006a).</S>  | Reference Offset: ['15'] | Reference Text:<S sid="15" ssid="15">While OOV recognition is very important in word segmentation, a higher IV rate is also desired.</S> | Discourse Facet : Method_Citation

Citance Number: 4  | Reference Article:  N06-2049.xml | Citing Article:  I08-4009.xml | Citation Marker Offset:  ['20'] | Citation Marker:  Zhang et al., 2006a | Citation Offset:  ['20'] | Citation Text:  <S sid ="20" ssid = "20">Among these strategies, the confidence measure used to combine the results of CT and DS is a straightforward one, which is introduced in (Zhang et al., 2006a).</S>  | Reference Offset: ['57'] | Reference Text:<S sid="57" ssid="35">In this section we introduce a confidence measure approach to combine the two results.</S>|w), to measure the confidence of the results produced by the IOB tagging by using the results from the dictionary-based segmentation.</S><S sid ="59" ssid = "37">The confidence measure comes from two sources : Method_Citation| Discourse Facet:  Method_Citation 

Citance Number: 5  | Reference Article:  N06-2049.xml | Citing Article:  I08-4015.xml | Citation Marker Offset:  ['36'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['36'] | Citation Text:  <S sid ="36" ssid = "22">After we get word-based segmentation result, we use it to revise the CRF tagging result similar to (Zhang et al., 2006).</S>  | Reference Offset: ['98'] | Reference Text:<S sid="98" ssid="27">71 6 0.9 64 0.9 72 Table 2: Segmentation results by a pure subword-based IOB tagging.</S> | Discourse Facet : Method_Citation

Citance Number: 6  | Reference Article:  N06-2049.xml | Citing Article:  I08-4030.xml | Citation Marker Offset:  ['13'] | Citation Marker:  R. Zhang et al., 2006 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">If the confidence of a character is lower than the threshold, the tag of that character will be adjusted to the tag assigned by the Maximum Probability Segmentation (R. Zhang et al., 2006).</S>  | Reference Offset: ['67'] | Reference Text:<S sid="67" ssid="45">If the value was lower than t, the IOB tag was rejected and the dictionary-based segmentation was used; otherwise, the IOB tagging segmentation was used.</S> | Discourse Facet : Method_Citation

Citance Number: 7  | Reference Article:  N06-2049.xml | Citing Article:  I08-4030.xml | Citation Marker Offset:  ['51'] | Citation Marker:  R. Zhang et al., 2006 | Citation Offset:  ['51'] | Citation Text:  <S sid ="51" ssid = "7">According to the results reported in (R. Zhang et al., 2006), CRF performs relatively better on Out-of-Vocabulary (OOV) words while Maximum Probability performs well on IV words, so a model combining the advantages of these two methods is appealing.</S>  | Reference Offset: ['133'] | Reference Text:<S sid="133" ssid="2">It was first used in Chinese word segmentation by (Xue and Shen, 2003), where maximum entropy methods were used.</S> | Discourse Facet : Method_Citation

Citance Number: 8  | Reference Article:  N06-2049.xml | Citing Article:  J11-1005.xml | Citation Marker Offset:  ['277'] | Citation Marker:  2006 | Citation Offset:  ['277'] | Citation Text:  <S sid ="277" ssid = "168">We chose the three models that achieved at least one best score in the closed tests from Emerson (2005), as well as the sub-word-based model of Zhang, Kikui, and Sumita (2006) for comparison.</S>  | Reference Offset: ['74'] | Reference Text:<S sid="74" ssid="3">Since this work was to evaluate the proposed subword-based IOB tagging, we carried out the closed test only.</S> | Discourse Facet : Method_Citation

Citance Number: 9  | Reference Article:  N06-2049.xml | Citing Article:  N09-1007.xml | Citation Marker Offset:  ['134'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['134'] | Citation Text:  <S sid ="134" ssid = "17">Z06-a and Z06-b represents the pure sub- word CRF model and the conﬁdence-based combination of CRF and rule-based models, respectively (Zhang et al., 2006);</S> |  Reference Offset: ['23'] | Reference Text:<S sid ="23" ssid = "1">Our word segmentation process is illustrated in Fig.</S> | Discourse Facet : Method_Citation

Citance Number: 10  | Reference Article:  N06-2049.xml | Citing Article:  P06-2123.xml | Citation Marker Offset:  ['197'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['197'] | Citation Text:  <S sid ="197" ssid = "75">Detailed descriptions about subword tagging by CRF can be found in our paper (Zhang et al., 2006).</S>  | Reference Offset: ['36'] | Reference Text:<S sid="36" ssid="14">We regard the words in the subset as the subwords for the IOB tagging.</S> | Discourse Facet : Method_Citation

Citance Number: 11  | Reference Article:  N06-2049.xml | Citing Article:  P07-1106.xml | Citation Marker Offset:  ['94'] | Citation Marker:  2006 | Citation Offset:  ['93','94'] | Citation Text:  <S sid ="93" ssid = "9">One existing method that is based on sub-word information, Zhang et al.</S><S sid ="94" ssid = "10">(2006), combines a C R F and a rule-based model.</S>  | Reference Offset: ['152'] | Reference Text:<S sid="152" ssid="2">Using the CRFs approaches, we prove that it outperformed the character- based method using the CRF approaches.</S> | Discourse Facet : Method_Citation

Citance Number: 12  | Reference Article:  N06-2049.xml | Citing Article:  P07-1106.xml | Citation Marker Offset:  ['172'] | Citation Marker:  2006 | Citation Offset:  ['172','173'] | Citation Text:  <S sid ="172" ssid = "72">We chose the three models that achieved at least one best score in the closed tests from Emerson (2005), as well as the sub-word-based model of Zhang et al.</S><S sid ="173" ssid = "73">(2006) for comparison.</S>  | Reference Offset: ['74'] | Reference Text:<S sid="74" ssid="3">Since this work was to evaluate the proposed subword-based IOB tagging, we carried out the closed test only.</S> | Discourse Facet : Method_Citation

Citance Number: 13  | Reference Article:  N06-2049.xml | Citing Article:  P12-1027.xml | Citation Marker Offset:  ['189'] | Citation Marker:  2006 | Citation Offset:  ['188'] | Citation Text:  <S sid ="188" ssid = "41">Best05 represents the best system of the Second International Chinese Word Segmentation Bakeoff on the corresponding data; CRF + rule-system represents confidence- based combination of CRF and rule-based models, presented in Zhang et al.</S><S sid ="189" ssid = "42">(2006).</S>  | Reference Offset: ['23'] | Reference Text:<S sid="23" ssid="1">Our word segmentation process is illustrated in Fig.</S> | Discourse Facet : Method_Citation

Citance Number: 14  | Reference Article:  N06-2049.xml | Citing Article:  W06-0118.xml | Citation Marker Offset:  ['14'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['14'] | Citation Text:  <S sid ="14" ssid = "2">Also, the CRF model using maximum subword-based tagging (Zhang et al., 2006)</S>  | Reference Offset: ['100'] | Reference Text:<S sid="100" ssid="29">using the FMM, and then labeled with “IOB” tags by the CRFs.</S> | Discourse Facet : Method_Citation

Citance Number: 15  | Reference Article:  N06-2049.xml | Citing Article:  W06-0118.xml | Citation Marker Offset:  ['24'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['24'] | Citation Text:  <S sid ="24" ssid = "12">Recently (Zhang et al., 2006) proposed a maximum subword-based IOB tagger for Chinese word segmentation, and our system applies their approach which obtains a very high accuracy on the shared task data from previous SIGHAN competitions.</S>  | Reference Offset: ['151'] | Reference Text:<S sid="151" ssid="1">In this work, we proposed a subword-based IOB tagging method for Chinese word segmentation.</S> | Discourse Facet : Method_Citation| Annotator:  Aakansha Gehlot | | Discourse Facet:  Method_Citation 

Citance Number: 16  | Reference Article:  N06-2049.xml | Citing Article:  W08-0335.xml | Citation Marker Offset:  ['55'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['55','56'] | Citation Text: <S sid ="55" ssid = "21">Part of the work using this tool was described by (Zhang et al., 2006).</S><S sid ="56" ssid = "22">The approach was reported to achieve the highest word segmentation accuracy using the data from the second Sighan Bakeoff.</S>  | Reference Offset: ['149'] | Reference Text:<S sid="149" ssid="18">In this work we used it more delicately.</S> | Discourse Facet : Method_Citation

Citance Number: 17  | Reference Article:  N06-2049.xml | Citing Article:  W08-0335.xml | Citation Marker Offset:  ['160'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['160'] | Citation Text:  <S sid ="160" ssid = "19">Note a lexicon and a LM are the only needed resources for building a dictionary-based CWS, like the â€œdict-hybrid.â€ (Zhang et al., 2006) We used the â€œdict-hybridâ€ to segment the SMT training corpus and test data.</S>  | Reference Offset: ['43'] | Reference Text:<S sid="43" ssid="21">In the third step, we used the CRFs approach to train the IOB tagger (Lafferty et al., 2001) on the training data.</S> | Discourse Facet : Method_Citation

Citance Number: 18  | Reference Article:  N06-2049.xml | Citing Article:  W10-4128.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">Some previous work (Peng et al., 2004; Tseng et al., 2005; Low et al., 2005) illustrated the effectiveness of using characters as tagging units, while literatures (Zhang et al., 2006; Zhao and Kit, 2007a; Zhang and Clark, 2007) focus on employing lexical words or subwords as tagging units.</S>  | Reference Offset: ['36'] | Reference Text:<S sid="36" ssid="14">We regard the words in the subset as the subwords for the IOB tagging.</S> | Discourse Facet : Method_Citation

Citance Number: 19  | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">For this purpose, our system is based on a combination of subword-based tagging method (Zhang et al., 2006) and accessor variety-based new word recognition method (Feng et al., 2004).</S>  | Reference Offset: ['36'] | Reference Text:<S sid="36" ssid="14">We regard the words in the subset as the subwords for the IOB tagging.</S> | Discourse Facet : Method_Citation

Citance Number: 20  | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['25'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['25'] | Citation Text:  <S sid ="25" ssid = "11">Feature Template Description f) in(str, subword-list) is str in subword list g) in(str, confident-word-list) is str in confident-word list Table 2: Subword Features for CRF-based Segmenter dure for constructing a subword list is similar to the one used in (Zhang et al., 2006).</S>  | Reference Offset: ['141'] | Reference Text:<S sid="141" ssid="10">We could yield a better results than those shown in Table 4 using such information.</S> | Discourse Facet : Method_Citation

Citance Number: 21  | Reference Article:  N06-2049.xml | Citing Article:  W10-4135.xml | Citation Marker Offset:  ['30'] | Citation Marker:  Zhang et al., 2006 | Citation Offset:  ['30'] | Citation Text:  <S sid ="30" ssid = "16">See the details of subword-based Chinese word segmentation in (Zhang et al., 2006)</S>  | Reference Offset: ['23'] | Reference Text:<S sid="23" ssid="1">Our word segmentation process is illustrated in Fig.</S> | Discourse Facet : Method_Citation

