Citance Number: 1 | Reference Article: P05-1004.xml | Citing Article: C10-2101.xml | Citation Marker Offset: ['74'] | Citation Marker: Curran, 2005 | Citation Offset: ['74'] | Citation Text: <S sid ="74" ssid = "44">Another related task is supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006).</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Mark Able, Re


Citance Number: 2 | Reference Article: P05-1004.xml | Citing Article: E09-1045.xml | Citation Marker Offset: ['23'] | Citation Marker: Curran, 2005 | Citation Offset: ['23'] | Citation Text: <S sid ="23" ssid = "23">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005) and (Ciaramita and Altun, 2006).</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Mark Able, Re


Citance Number: 3 | Reference Article: P05-1004.xml | Citing Article: J07-4005.xml | Citation Marker Offset: ['229'] | Citation Marker: 2005 | Citation Offset: ['229'] | Citation Text: <S sid ="229" ssid = "72">Although we could adapt our method for use with an automatically induced inventory, our method which uses WordNet might also be combined with one that can automatically find new senses from text and then relate these to WordNet synsets, as Ciaramita and Johnson (2003) and Curran (2005) do with unknown nouns.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


Citance Number: 4 | Reference Article: P05-1004.xml | Citing Article: J09-3004.xml | Citation Marker Offset: ['446'] | Citation Marker: Curran 2005 | Citation Offset: ['446'] | Citation Text: <S sid ="446" ssid = "30">An additional potential is to integrate automatically acquired relationships with the information found in WordNet, which seems to suffer from several serious limitations (Curran 2005), and typically overlaps to a rather limited extent with the output of automatic acquisition methods.</S> | Reference Offset: ['92','235','5'] | Reference Text: <S sid="5" ssid="5">We also demonstrate the use of an extremely large shallow-parsed corpus for calculating vector-space semantic similarity.</S> <S sid="92" ssid="6">Curran and Moens (2002b) compared several context extraction methods and found that the shallow pipeline and grammatical relation extraction used in SEXTANT was both extremely fast and produced high-quality results.</S> | Discourse Facet: Method_Citation | Annotator: Sweta Kumari


