Citance Number: 1 | Reference Article:   I05-5011.xml | Citing Article:  C08-1107.xml | Citation Marker Offset:  ['19'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['18','19'] | Citation Text:  <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: [ '18','167' ] | Reference Text: <S sid="18"> Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks.</S> <S sid="167"> Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 2 | Reference Article:   I05-5011.xml | Citing Article:  C08-1107.xml | Citation Marker Offset:  ['42'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['42'] | Citation Text:  <S sid ="42" ssid = "12">The coverage of u by v is measured by: pare between these complex features of t and tl (Ravichandran and Hovy, 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: [ '40','169' ] | Reference Text: <S sid="40"> The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> <S sid="169"> There has also been work using a bootstrap- ping approach [Brin 98; Agichtein and Gravano 00; Ravichandran and Hovy 02].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 3 | Reference Article:   I05-5011.xml | Citing Article:  C10-2017.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">In the same way, most NLP systems like information retrieval (Sekine, 2005) or question answering (Duclaye et al., 2003), based on pattern recognition, can be improved by a paraphrase generator.</S> | Reference Offset: [ '13','40' ] | Reference Text: <S sid="13"> For example, in Information Retrieval (IR), we have to match a users query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the users question even if the formulation of the answer in the document is different from the question.</S> <S sid="40"> The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 4 | Reference Article:   I05-5011.xml | Citing Article:  D12-1094.xml | Citation Marker Offset:  ['70'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['70'] | Citation Text:  <S sid ="70" ssid = "25">Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.</S> | Reference Offset: [ '0' ] | Reference Text: <S sid="0"> Automatic Paraphrase Discovery based on Context and Keywords between NE Pairs</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 5 | Reference Article:   I05-5011.xml | Citing Article:  E09-1025.xml | Citation Marker Offset:  ['27'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['27'] | Citation Text:  <S sid ="27" ssid = "1">A number of automatically acquired inference rule/paraphrase collections are available, such as (Szpektor et al., 2004), (Sekine, 2005).</S> | Reference Offset: [ '40','162' ] | Reference Text: <S sid="40"> The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> <S sid="162"> [Hasegawa et al. 04] reported only on relation discovery, but one could easily acquire para phrases from the results.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 6 | Reference Article:   I05-5011.xml | Citing Article:  I08-1070.xml | Citation Marker Offset:  ['53'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['53'] | Citation Text:  <S sid ="53" ssid = "24">To avoid the drawback, several linguistic clues, such as fine-grained classification of named entities and coordinated sentences, have been utilized (Sekine, 2005; Torisawa, 2006).</S> | Reference Offset: [ '3' ] | Reference Text: <S sid="3"> We focus on phrases which connect two Named Entities (NEs), and proceed in two stages.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 7 | Reference Article:   I05-5011.xml | Citing Article:  J10-3003.xml | Citation Marker Offset:  ['429'] | Citation Marker:  2005 | Citation Offset:  ['429'] | Citation Text:  <S sid ="429" ssid = "302">As a later reﬁnement, Sekine (2005) makes a similar attempt at using distributional similarity over named entity pairs in order to produce a list of fully lexicalized phrasal paraphrases for speciﬁc concepts represented by keywords.</S> | Reference Offset: [ '23' ] | Reference Text: <S sid="23"> We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 8 | Reference Article:   I05-5011.xml | Citing Article:  J12-1003.xml | Citation Marker Offset:  ['24'] | Citation Marker:  Sekine 2005 | Citation Offset:  ['24'] | Citation Text:  <S sid ="24" ssid = "24">This has led to active research on broad-scale acquisition of entailment rules for predicates (Lin and Pantel 2001; Sekine 2005; Szpektor and Dagan 2008; Yates and Etzioni 2009; Schoenmackers et al. 2010).</S> | Reference Offset: [ '40' ] | Reference Text: <S sid="40"> The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 9 | Reference Article:   I05-5011.xml | Citing Article:  P06-2094.xml | Citation Marker Offset:  ['65'] | Citation Marker:  Sekine 05 | Citation Offset:  ['65'] | Citation Text:  <S sid ="65" ssid = "24">We also proposed a method to find paraphrases in the context of two Named Entity instances in a large un-annotated corpus (Sekine 05).</S> | Reference Offset: [ '23' ] | Reference Text: <S sid="23"> We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 10 | Reference Article:   I05-5011.xml | Citing Article:  P07-1058.xml | Citation Marker Offset:  ['49'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['49'] | Citation Text:  <S sid ="49" ssid = "13">Some existing entailment acquisition algorithms can add contextual constraints to the learned rules (Sekine, 2005), but most donâ€™t.</S> | Reference Offset: [ '17' ] | Reference Text: <S sid="17"> Also, we dont know how many such paraphrase sets are necessary to cover even some everyday things or events.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 11 | Reference Article:   I05-5011.xml | Citing Article:  P07-1058.xml | Citation Marker Offset:  ['57'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['57'] | Citation Text:  <S sid ="57" ssid = "21">Many methods for automatic acquisition of rules have been suggested in recent years, ranging from distributional similarity to finding shared contexts (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Barzilay and Lee, 2003; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: [ '38','206' ] | Reference Text: <S sid="38"> Extract NE instance pairs with contexts First, we extract NE pair instances with their context from the corpus.</S> <S sid="206"> After tagging a large corpus with an automatic NE tagger, the method tries to find sets of paraphrases automatically without being given a seed phrase or any kind of cue.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 12 | Reference Article:   I05-5011.xml | Citing Article:  P07-1058.xml | Citation Marker Offset:  ['67'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['67'] | Citation Text:  <S sid ="67" ssid = "31">Indeed, the prominent approach for evaluating the quality of rule acquisition algorithms is by human judgment of the learned rules (Lin and Pantel, 2001; Shinyama et al., 2002; Barzilay and Lee, 2003; Pang et al., 2003; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: [ '40','158' ] | Reference Text: <S sid="40"> The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S> <S sid="158"> They cluster NE instance pairs based on the words in the contexts using a bag- of-words method.</S> | Discourse Facet: NA | Annotator: System 6 
