Citance Number: 1 | Reference Article:   I05-5011.xml | Citing Article:  C08-1107.xml | Citation Marker Offset:  ['19'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['18','19'] | Citation Text:  <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset:  ['22', '40', '167', '204'] | Reference Text:  <S sid ="22" ssid = "22">In this paper, we will propose an unsupervised method to discover paraphrases from a large untagged corpus.</S><S sid ="40" ssid = "16">The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S><S sid ="167" ssid = "14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S><S sid ="204" ssid = "1">We proposed an unsupervised method to discover paraphrases from a large untagged corpus.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 2 | Reference Article:   I05-5011.xml | Citing Article:  C08-1107.xml | Citation Marker Offset:  ['42'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['42'] | Citation Text:  <S sid ="42" ssid = "12">The coverage of u by v is measured by: pare between these complex features of t and tl (Ravichandran and Hovy, 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset:  ['40', '169', '31', '165'] | Reference Text:  <S sid ="40" ssid = "16">The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S><S sid ="169" ssid = "16">There has also been work using a bootstrap- ping approach [Brin 98; Agichtein and Gravano 00; Ravichandran and Hovy 02].</S><S sid ="31" ssid = "7">We use a simple TF/IDF method to measure the topicality of words.</S><S sid ="165" ssid = "12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 3 | Reference Article:   I05-5011.xml | Citing Article:  C10-2017.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">In the same way, most NLP systems like information retrieval (Sekine, 2005) or question answering (Duclaye et al., 2003), based on pattern recognition, can be improved by a paraphrase generator.</S> | Reference Offset:  ['13', '40', '14', '1'] | Reference Text:  <S sid ="13" ssid = "13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S><S sid ="40" ssid = "16">The NE tagger is a rule-based system with 140 NE categories [Sekine et al. 2004].</S><S sid ="14" ssid = "14">Also, in Information Extraction (IE), in which the system tries to extract elements of some events (e.g. date and company names of a corporate merger event), several event instances from different news articles have to be aligned even if these are expressed differently.</S><S sid ="1" ssid = "1">Automatic paraphrase discovery is an important but challenging task.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 4 | Reference Article:   I05-5011.xml | Citing Article:  D12-1094.xml | Citation Marker Offset:  ['70'] | Citation Marker:  Sekine, 2005 | Citation Offset:  ['70'] | Citation Text:  <S sid ="70" ssid = "25">Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.</S> | Reference Offset:  ['2', '167', '1', '125'] | Reference Text:  <S sid ="2" ssid = "2">We propose an unsupervised method to discover paraphrases from a large untagged corpus, without requiring any seed phrase or other cue.</S><S sid ="167" ssid = "14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S><S sid ="1" ssid = "1">Automatic paraphrase discovery is an important but challenging task.</S><S sid ="125" ssid = "46">For each set, the phrases with bracketed frequencies are considered not paraphrases in the set.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |

