Citance Number: 1 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['37'] | Citation Marker: 2005 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S> | Reference Offset:  ['57', '162', '163', '25'] | Reference Text:  <S sid ="57" ssid = "13">For details about SVMLight, please see http://svmlight.joachims.org/</S><S sid ="162" ssid = "44">It also shows that feature-based methods dramatically outperform kernel methods.</S><S sid ="163" ssid = "45">This suggests that feature-based methods can effectively combine different features from a variety of sources (e.g. WordNet and gazetteers) that can be brought to bear on relation extraction.</S><S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 2 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['15'] | Citation Marker:  2005 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "15">However, detailed research (Zhou et al., 2005) shows that itâ€™s difficult to extract new effective features to further improve the extraction accuracy.</S> | Reference Offset:  ['213', '5', '38', '6'] | Reference Text:  <S sid ="213" ssid = "95">Although tree kernel-based approaches facilitate the exploration of the implicit feature space with the parse tree structure, yet the current technologies are expected to be further advanced to be effective for relatively complicated relation extraction tasks such as the one defined in ACE where 5 types and 24 subtypes need to be extracted.</S><S sid ="5" ssid = "5">We also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S><S sid ="38" ssid = "9">Yet further research work is still expected to make it effective with complicated relation extraction tasks such as the one defined in ACE.</S><S sid ="6" ssid = "6">Evaluation on the ACE corpus shows that effective incorporation of diverse features enables our system outperform previously best-reported systems on the 24 ACE relation subtypes and significantly outperforms tree kernel-based systems by over 20 in F-measure on the 5 ACE relation types.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 3 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['180'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['180'] | Citation Text:  <S sid ="180" ssid = "28">Furthermore, when the UPST (FPT) kernel is com bined with a linear state-of-the-state feature- based kernel (Zhou et al., 2005) into a composite one via polynomial interpolation in a setting similar to Zhou et al.</S> | Reference Offset:  ['51', '90', '163', '87'] | Reference Text:  <S sid ="51" ssid = "7">Moreover, we only apply the simple linear kernel, although other kernels can peform better.</S><S sid ="90" ssid = "33">Similar to word features, three categories of phrase heads are considered: 1) the phrase heads in between are also classified into three bins: the first phrase head in between, the last phrase head in between and other phrase heads in between; 2) the phrase heads before M1 are classified into two bins: the first phrase head before and the second phrase head before; 3) the phrase heads after M2 are classified into two bins: the first phrase head after and the second phrase head after.</S><S sid ="163" ssid = "45">This suggests that feature-based methods can effectively combine different features from a variety of sources (e.g. WordNet and gazetteers) that can be brought to bear on relation extraction.</S><S sid ="87" ssid = "30">In this way, we can separately evaluate the contributions of base phrase chunking and full parsing.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 4 | Reference Article:  P05-1053.xml | Citing Article:  C10-1018.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">In building these systems, researchers used a wide variety of features (Kambhatla, 2004; Zhou et al., 2005; Jiang and Zhai, 2007).</S> | Reference Offset:  ['212', '43', '34', '20'] | Reference Text:  <S sid ="212" ssid = "94">The effective incorporation of diverse features enables our system outperform previously best- reported systems on the ACE corpus.</S><S sid ="43" ssid = "14">Evaluation on the ACE corpus shows that our system outperforms Kambhatla (2004) by about 3 F-measure on extracting 24 ACE relation subtypes.</S><S sid ="34" ssid = "5">Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S><S sid ="20" ssid = "20">Evaluation shows that the incorporation of diverse features enables our system achieve best reported performance.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |

