Citance Number: 1 | Reference Article: W03-0410.xml | Citing Article: D07-1018.xml | Citation Marker Offset: ['9'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 2 | Reference Article: W03-0410.xml | Citing Article: D09-1138.xml | Citation Marker Offset: ['25'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['25'] | Citation Text: <S sid ="25" ssid = "25">Supervised methods for automatic verb classification have been extensively investigated (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S> | Reference Offset: ['9'] | Reference Text: <S sid="9" ssid="9">A number of supervised learning approaches have extracted such information about verbs from corpora, including their argument roles (Gildea and Jurafsky, 2002), selectional preferences (Resnik, 1996), and lexical semantic classification (i.e., grouping verbs according to their argument structure properties) (Dorr and Jones, 1996; Lapata and Brew, 1999; Merlo and Stevenson, 2001; Joanis and Stevenson, 2003).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 3 | Reference Article: W03-0410.xml | Citing Article: D09-1138.xml | Citation Marker Offset: ['70'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['70'] | Citation Text: <S sid ="70" ssid = "43">The present work inherits the spirit of the supervised approaches to verb classification (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S> | Reference Offset: ['9'] | Reference Text: <S sid="9" ssid="9">A number of supervised learning approaches have extracted such information about verbs from corpora, including their argument roles (Gildea and Jurafsky, 2002), selectional preferences (Resnik, 1996), and lexical semantic classification (i.e., grouping verbs according to their argument structure properties) (Dorr and Jones, 1996; Lapata and Brew, 1999; Merlo and Stevenson, 2001; Joanis and Stevenson, 2003).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 4 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['17'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['17'] | Citation Text: <S sid ="17" ssid = "17">We adopt as our baseline method a well-known hierarchical method – agglomerative clustering (AGG) – which has been previously used to acquire flat Levin-style classifications (Stevenson and Joanis, 2003)</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 5 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['38'] | Citation Marker: Stevenson and Joanis, 2003 | Citation Offset: ['38'] | Citation Text: <S sid ="38" ssid = "5">We used three gold standards (and corresponding test sets) extracted from these resources in our experiments: T1: The first gold standard is a flat gold standard which includes 13 classes appearing in Levin’s original taxonomy (Stevenson and Joanis, 2003).</S> | Reference Offset: ['34'] | Reference Text: <S sid="34" ssid="1">Like others, we have assumed lexical semantic classes of verbs as defined in Levin (1993) (hereafter Levin), which have served as a gold standard in computational linguistics research (Dorr and Jones, 1996; Kipper et al., 2000; Merlo and Stevenson, 2001; Schulte im Walde and Brew, 2002).</S> | Discourse Facet: Method | Annotator: Modified_TSR | 

Citance Number: 6 | Reference Article: W03-0410.xml | Citing Article: D11-1095.xml | Citation Marker Offset: ['40'] | Citation Marker: Stevenson and Joanis (2003) | Citation Offset: ['40'] | Citation Text: <S sid ="40" ssid = "7">Following Stevenson and Joanis (2003), we selected 20 verbs from each class which occur at least 100 times in our corpus.</S> | Reference Offset: ['127'] | Reference Text: <S sid="127" ssid="77">We used the chunker (partial parser) of Abney (1991) to preprocess the corpus, which (noisily) determines the NP subject and direct object of a verb, as well as the PPs potentially associated with it.</S> | Discourse Facet: Method | Annotator: Modified_TSR | 
