Citance Number: 1 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['19'] | Citation Marker: Sekine, 2005 | Citation Offset: ['18','19'] | Citation Text: <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['165'] | Reference Text: <S sid="165" ssid="12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 3 | Reference Article: I05-5011.xml | Citing Article: C10-2017.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">In the same way, most NLP systems like information retrieval (Sekine, 2005) or question answering (Duclaye et al., 2003), based on pattern recognition, can be improved by a paraphrase generator.</S> | Reference Offset: ['41'] | Reference Text: <S sid="41" ssid="17">These 140 NE categories are designed by extending MUC’s 7 NE categories with finer sub-categories (such as Company, Institute, and Political Party for Organization; and Country, Province, and City for Location) and adding some new types of NE categories (Position Title, Product, Event, and Natural Object).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 4 | Reference Article: I05-5011.xml | Citing Article: D12-1094.xml | Citation Marker Offset: ['70'] | Citation Marker: Sekine, 2005 | Citation Offset: ['70'] | Citation Text: <S sid ="70" ssid = "25">Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.</S> | Reference Offset: ['165'] | Reference Text: <S sid="165" ssid="12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 5 | Reference Article: I05-5011.xml | Citing Article: E09-1025.xml | Citation Marker Offset: ['27'] | Citation Marker: Sekine, 2005 | Citation Offset: ['27'] | Citation Text: <S sid ="27" ssid = "1">A number of automatically acquired inference rule/paraphrase collections are available, such as (Szpektor et al., 2004), (Sekine, 2005).</S> | Reference Offset: ['202'] | Reference Text: <S sid="202" ssid="29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 6 | Reference Article: I05-5011.xml | Citing Article: I08-1070.xml | Citation Marker Offset: ['53'] | Citation Marker: Sekine, 2005 | Citation Offset: ['53'] | Citation Text: <S sid ="53" ssid = "24">To avoid the drawback, several linguistic clues, such as fine-grained classification of named entities and coordinated sentences, have been utilized (Sekine, 2005; Torisawa, 2006).</S> | Reference Offset: ['202'] | Reference Text: <S sid="202" ssid="29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 7 | Reference Article: I05-5011.xml | Citing Article: J10-3003.xml | Citation Marker Offset: ['429'] | Citation Marker: 2005 | Citation Offset: ['429'] | Citation Text: <S sid ="429" ssid = "302">As a later reﬁnement, Sekine (2005) makes a similar attempt at using distributional similarity over named entity pairs in order to produce a list of fully lexicalized phrasal paraphrases for speciﬁc concepts represented by keywords.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 8 | Reference Article: I05-5011.xml | Citing Article: J12-1003.xml | Citation Marker Offset: ['24'] | Citation Marker: Sekine 2005 | Citation Offset: ['24'] | Citation Text: <S sid ="24" ssid = "24">This has led to active research on broad-scale acquisition of entailment rules for predicates (Lin and Pantel 2001; Sekine 2005; Szpektor and Dagan 2008; Yates and Etzioni 2009; Schoenmackers et al. 2010).</S> | Reference Offset: ['41'] | Reference Text: <S sid="41" ssid="17">These 140 NE categories are designed by extending MUC’s 7 NE categories with finer sub-categories (such as Company, Institute, and Political Party for Organization; and Country, Province, and City for Location) and adding some new types of NE categories (Position Title, Product, Event, and Natural Object).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 9 | Reference Article: I05-5011.xml | Citing Article: P06-2094.xml | Citation Marker Offset: ['65'] | Citation Marker: Sekine 05 | Citation Offset: ['65'] | Citation Text: <S sid ="65" ssid = "24">We also proposed a method to find paraphrases in the context of two Named Entity instances in a large un-annotated corpus (Sekine 05).</S> | Reference Offset: ['202'] | Reference Text: <S sid="202" ssid="29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 10 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['49'] | Citation Marker: Sekine, 2005 | Citation Offset: ['49'] | Citation Text: <S sid ="49" ssid = "13">Some existing entailment acquisition algorithms can add contextual constraints to the learned rules (Sekine, 2005), but most donâ€™t.</S> | Reference Offset: ['165'] | Reference Text: <S sid="165" ssid="12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 13 | Reference Article: I05-5011.xml | Citing Article: P08-1078.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">Recently, several algorithms were proposed for automatically learning entailment rules and paraphrases (viewed as bidirectional entailment rules) (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 14 | Reference Article: I05-5011.xml | Citing Article: P09-2063.xml | Citation Marker Offset: ['11'] | Citation Marker: Sekine, 2005 | Citation Offset: ['11'] | Citation Text: <S sid ="11" ssid = "11">Similarly, (Sekine, 2005) improved information retrieval based on pattern recognition by introducing paraphrase generation.</S> | Reference Offset: ['206'] | Reference Text: <S sid="206" ssid="3">After tagging a large corpus with an automatic NE tagger, the method tries to find sets of paraphrases automatically without being given a seed phrase or any kind of cue.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 15 | Reference Article: I05-5011.xml | Citing Article: P10-1124.xml | Citation Marker Offset: ['11'] | Citation Marker: Sekine, 2005 | Citation Offset: ['10','11'] | Citation Text: <S sid ="10" ssid = "10">This has led to active research on broad-scale acquisition of entailment rules for predicates, e.g.</S><S sid ="11" ssid = "11">(Lin and Pantel, 2001; Sekine, 2005; Szpektor and Dagan, 2008).</S> | Reference Offset: ['41'] | Reference Text: <S sid="41" ssid="17">These 140 NE categories are designed by extending MUC’s 7 NE categories with finer sub-categories (such as Company, Institute, and Political Party for Organization; and Country, Province, and City for Location) and adding some new types of NE categories (Position Title, Product, Event, and Natural Object).</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

