Citance Number: 1 | Reference Article: P05-1053.xml | Citing Article: P06-1016.xml | Citation Marker Offset: ['13'] | Citation Marker: Zhou et al 2005 | Citation Offset: ['13'] | Citation Text: <S sid ="13" ssid = "13">One major challenge in relation extraction is due to the data sparseness problem (Zhou et al 2005).</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 4 | Reference Article: P05-1053.xml | Citing Article: C10-1018.xml | Citation Marker Offset: ['12'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">In building these systems, researchers used a wide variety of features (Kambhatla, 2004; Zhou et al., 2005; Jiang and Zhai, 2007).</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 7 | Reference Article: P05-1053.xml | Citing Article: C10-1064.xml | Citation Marker Offset: ['10'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['10'] | Citation Text: <S sid ="10" ssid = "10">While many supervised machine learning approaches have been successfully applied to the RDC task (Kambhatla, 2004; Zhou et al., 2005; Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005; Zhang et al., 2006), few have focused on weakly-supervised relation extraction.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 8 | Reference Article: P05-1053.xml | Citing Article: D07-1076.xml | Citation Marker Offset: ['14'] | Citation Marker:  | Citation Offset: ['14'] | Citation Text: <S sid ="14" ssid = "14">Among them, feature-based methods (Kambhatla 2004; Zhou et al., 2005) achieve certain success by employing a large amount of diverse linguistic features, varying from lexical knowledge, entity- related information to syntactic parse trees, dependency trees and semantic information</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 13 | Reference Article: P05-1053.xml | Citing Article: D09-1149.xml | Citation Marker Offset: ['9'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['9'] | Citation Text: <S sid ="9" ssid = "9">This paper focuses on the ACE RDC subtask, where many machine learning methods have been proposed, including supervised methods (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005; Zhang et al., 2006; Qian et al., 2008), semi-supervised methods (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004; Chen et al., 2006; Zhou et al., 2008), and unsupervised methods (Hasegawa et al., 2004; Zhang et al., 2005) . Current work on semantic relation extraction task mainly uses supervised learning methods, since it achieves relatively better performance.</S> | Reference Offset: ['18'] | Reference Text: <S sid="18" ssid="18">Our study illustrates that the base phrase chunking information contributes to most of the performance inprovement from syntactic aspect while additional full parsing information does not contribute much, largely due to the fact that most of relations defined in ACE corpus are within a very short distance.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 

Citance Number: 16 | Reference Article: P05-1053.xml | Citing Article: D12-1074.xml | Citation Marker Offset: ['100'] | Citation Marker: Zhou et al., 2005 | Citation Offset: ['100'] | Citation Text: <S sid ="100" ssid = "36">This is a lightweight model and generally does not attempt to exhaustively leverage all possible proven sources of useful features (Zhou et al., 2005) towards a higher absolute score, but rather to serve as a point of comparison to the models which rely on syntactic information.</S> | Reference Offset: ['30'] | Reference Text: <S sid="30" ssid="1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S> | Discourse Facet: Method | Annotator: Sect_Class_TSR | 
