Citance Number: 1 | Reference Article: P05-1004.xml | Citing Article: C10-2101.xml | Citation Marker Offset: ['74'] | Citation Marker: Curran, 2005 | Citation Offset: ['74'] | Citation Text: <S sid ="74" ssid = "44">Another related task is supersense tagging (Ciaramita and Johnson, 2003; Curran, 2005; Ciaramita and Altun, 2006).</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 2 | Reference Article: P05-1004.xml | Citing Article: E09-1045.xml | Citation Marker Offset: ['23'] | Citation Marker: Curran, 2005 | Citation Offset: ['23'] | Citation Text: <S sid ="23" ssid = "23">In contrast, some research have been focused on using predefined sets of sense-groupings for learning class-based classifiers for WSD (Segond et al., 1997), (Ciaramita and Johnson, 2003), (Villarejo et al., 2005), (Curran, 2005) and (Ciaramita and Altun, 2006).</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 3 | Reference Article: P05-1004.xml | Citing Article: J07-4005.xml | Citation Marker Offset: ['229'] | Citation Marker: 2005 | Citation Offset: ['229'] | Citation Text: <S sid ="229" ssid = "72">Although we could adapt our method for use with an automatically induced inventory, our method which uses WordNet might also be combined with one that can automatically find new senses from text and then relate these to WordNet synsets, as Ciaramita and Johnson (2003) and Curran (2005) do with unknown nouns.</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 4 | Reference Article: P05-1004.xml | Citing Article: J09-3004.xml | Citation Marker Offset: ['446'] | Citation Marker: Curran 2005 | Citation Offset: ['446'] | Citation Text: <S sid ="446" ssid = "30">An additional potential is to integrate automatically acquired relationships with the information found in WordNet, which seems to suffer from several serious limitations (Curran 2005), and typically overlaps to a rather limited extent with the output of automatic acquisition methods.</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 5 | Reference Article: P05-1004.xml | Citing Article: N06-1017.xml | Citation Marker Offset: ['26'] | Citation Marker: Curran, 2005 | Citation Offset: ['26'] | Citation Text: <S sid ="26" ssid = "26">There are, however, approaches to the complementary problem of determining the closest known sense for unknown words (Widdows, 2003; Curran, 2005; Burchardt et al., 2005), which can be viewed as the logical next step after unknown sense detection.</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 7 | Reference Article: P05-1004.xml | Citing Article: N07-1024.xml | Citation Marker Offset: ['83'] | Citation Marker: Curran 2005 | Citation Offset: ['83'] | Citation Text: <S sid ="83" ssid = "3">While contextual information is the primary source of information used in WSD research and has been used for acquiring semantic lexicons and classifying unknown words in other languages (e.g., Roark and Charniak 1998; Ci aramita 2003; Curran 2005)</S> | Reference Offset: ['0','1'] | Reference Text: <S sid="0" ssid="">Supersense Tagging of Unknown Nouns using Semantic Similarity</S><S sid="1" ssid="1">The limited coverage of lexical-semantic resources is a significant problem for NLP systems which can be alleviated by automatically classifying the unknown words.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

