Word,Frecuency,Frecuency in sections
balloon,37,8- 6- 5- 9- 1- 2- 1- 3- 2
days,28,2- 1- 5- 5- 3- 0- 5- 3- 4
team,19,3- 4- 4- 3- 2- 0- 2- 0- 1
Piccard,17,3- 4- 4- 1- 1- 1- 1- 1- 1
Swiss,17,4- 2- 2- 1- 3- 3- 2- 0- 0
world,17,3- 2- 3- 1- 3- 1- 1- 1- 2
round,16,3- 1- 3- 2- 3- 1- 1- 0- 2
pilot,13,4- 4- 2- 1- 0- 0- 0- 1- 1
China,12,3- 0- 6- 3- 0- 0- 0- 0- 0
British,11,2- 1- 1- 3- 1- 0- 2- 0- 1
attempt,11,4- 2- 3- 0- 0- 1- 0- 0- 1
flight,11,5- 3- 1- 0- 0- 0- 0- 1- 1
air,11,2- 1- 1- 5- 0- 0- 0- 2- 0
stop,10,1- 1- 2- 1- 2- 1- 0- 1- 1
Orbiter,10,1- 1- 1- 1- 1- 0- 0- 2- 3
Breitling,10,3- 2- 1- 1- 1- 0- 0- 1- 1
fly,9,1- 1- 2- 3- 1- 0- 0- 1- 0
meters,9,2- 0- 0- 0- 0- 2- 0- 2- 3
Switzerland,9,0- 0- 1- 1- 1- 0- 0- 3- 3
Bertrand,9,1- 1- 1- 1- 1- 1- 1- 1- 1
N.M,8,1- 1- 3- 0- 0- 0- 3- 0- 0
Chateau,8,1- 1- 0- 0- 2- 1- 1- 1- 1
d'Oex,8,1- 1- 0- 0- 2- 1- 1- 1- 1
miss,8,2- 0- 4- 1- 0- 0- 1- 0- 0
Branson,8,1- 2- 2- 0- 1- 0- 1- 0- 1
a.m,8,2- 1- 0- 0- 1- 0- 1- 2- 1
conditions,7,3- 1- 3- 0- 0- 0- 0- 0- 0
winds,7,1- 0- 2- 2- 0- 0- 2- 0- 0
Elson,7,1- 0- 0- 3- 0- 0- 1- 1- 1
Friday,7,0- 0- 1- 3- 0- 0- 3- 0- 0
balloonists,7,0- 0- 1- 4- 0- 0- 0- 1- 1
Jones,7,0- 4- 2- 1- 0- 0- 0- 0- 0
men,6,1- 3- 0- 0- 0- 2- 0- 0- 0
Wim,6,1- 0- 0- 0- 1- 1- 1- 1- 1
Verstraeten,6,1- 0- 0- 0- 1- 1- 1- 1- 1
mission,6,1- 0- 3- 1- 0- 0- 1- 0- 0
Fossett,6,2- 2- 2- 0- 0- 0- 0- 0- 0
cross,6,2- 0- 1- 3- 0- 0- 0- 0- 0
bid,6,1- 1- 1- 0- 2- 0- 1- 0- 0
long,6,2- 0- 1- 1- 0- 1- 0- 0- 1
North,6,1- 0- 2- 3- 0- 0- 0- 0- 0
record,6,2- 1- 1- 1- 0- 0- 1- 0- 0
alps,5,1- 1- 0- 0- 1- 1- 1- 0- 0
Wednesday,5,0- 1- 0- 0- 1- 0- 1- 1- 1
Richard,5,1- 1- 1- 0- 0- 0- 1- 0- 1
Andy,5,1- 0- 0- 1- 0- 0- 1- 1- 1
nonstop,5,1- 1- 2- 1- 0- 0- 0- 0- 0
Alps,5,1- 1- 0- 0- 1- 1- 1- 0- 0
engineer,5,2- 1- 0- 0- 0- 0- 0- 1- 1
tons,5,2- 1- 0- 1- 0- 1- 0- 0- 0
