Citance Number: 1 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['19'] | Citation Marker: Sekine, 2005 | Citation Offset: ['19'] | Citation Text: <S sid="19" ssid="19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['35' , '117' , '35' , '117' ] | Reference Text: <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="117" ssid="38">It is not easy to make a clear definition of ?paraphrase?.</S> <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="117" ssid="38">It is not easy to make a clear definition of ?paraphrase?.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 10 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['49'] | Citation Marker: Sekine, 2005 | Citation Offset: ['49'] | Citation Text: <S sid="49" ssid="13">Some existing entailment acquisition algorithms can add contextual constraints to the learned rules (Sekine, 2005), but most don?t. However, NLP applications usually implicitly incorporate some contextual constraints when applying a rule.</S> | Reference Offset: ['17' ] | Reference Text: <S sid="17" ssid="17">Also, we don?t know how many such paraphrase sets are necessary to cover even some everyday things or events.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 11 | Reference Article: I05-5011.xml | Citing Article: P07-1058.xml | Citation Marker Offset: ['57'] | Citation Marker: Sekine, 2005 | Citation Offset: ['57'] | Citation Text: <S sid="57" ssid="21">Many methods for automatic acquisition of rules have been suggested in recent years, ranging from distributional similarity to finding shared contexts (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Barzilay and Lee, 2003; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['1' , '26' ] | Reference Text: <S sid="1" ssid="1">Automatic paraphrase discovery is an important but challenging task.</S> <S sid="26" ssid="2">Before explaining our method in detail, we present a brief overview in this subsection.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 13 | Reference Article: I05-5011.xml | Citing Article: P08-1078.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid="12" ssid="12">Recently, several algorithms were proposed for automatically learning entailment rules and paraphrases (viewed as bidirectional entailment rules) (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['35' ] | Reference Text: <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 17 | Reference Article: I05-5011.xml | Citing Article: P11-1109.xml | Citation Marker Offset: ['218'] | Citation Marker: 2005 | Citation Offset: ['218'] | Citation Text: <S sid="218" ssid="82">We agree with Sekine (2005) who claims that several different methods are required to discover a wider variety of paraphrases.</S> | Reference Offset: ['18' , '35' ] | Reference Text: <S sid="18" ssid="18">Up to now, most IE researchers have been creating paraphrase knowledge (or IE patterns) by hand and for specific tasks.</S> <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 21 | Reference Article: I05-5011.xml | Citing Article: P13-1131.xml | Citation Marker Offset: ['134'] | Citation Marker: 2005 | Citation Offset: ['134'] | Citation Text: <S sid="134" ssid="15">Yet, many of these templates share a similar meaning, e.g. ?X accommodate up to Y ?, ?X can accommodate up to Y ?, ?X will accommodate up to Y ?, etc. Following Sekine (2005), we clustered templates that share their main verb predicate in order to scale down the number of different predicates in the corpus and collect richer word co- occurrence statistics per predicate.</S> | Reference Offset: ['115' , '31' ] | Reference Text: <S sid="115" ssid="36">One is the accuracy within a set of phrases which share the same keyword; the other is the accuracy of links.</S> <S sid="31" ssid="7">We use a simple TF/IDF method to measure the topicality of words.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 22 | Reference Article: I05-5011.xml | Citing Article: W12-4006.xml | Citation Marker Offset: ['15'] | Citation Marker: Sekine, 2005 | Citation Offset: ['14'] | Citation Text: <S sid="14" ssid="14">Some existing paraphrase and entailment acquisition algorithms add constraints to the learned rules (e.g.</S> | Reference Offset: ['35' , '117' , '35' , '117' ] | Reference Text: <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="117" ssid="38">It is not easy to make a clear definition of ?paraphrase?.</S> <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="117" ssid="38">It is not easy to make a clear definition of ?paraphrase?.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 23 | Reference Article: I05-5011.xml | Citing Article: W12-4006.xml | Citation Marker Offset: ['41'] | Citation Marker: Sekine, 2005 | Citation Offset: ['41'] | Citation Text: <S sid="41" ssid="11">As for paraphrase, Sekine?s Paraphrase Database (Sekine, 2005) is collected using an unsupervised method, and focuses on phrases connecting two Named Entities.</S> | Reference Offset: ['35' , '60' , '62' , '79' , '115' ] | Reference Text: <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="60" ssid="36">Figure 4 shows some such phrase sets based on keywords in the CC-domain.</S> <S sid="62" ssid="38">Cluster phrases based on Links We now have a set of phrases which share a keyword.</S> <S sid="79" ssid="55">Now we have sets of phrases which share a keyword and we have links between those sets.</S> <S sid="115" ssid="36">One is the accuracy within a set of phrases which share the same keyword; the other is the accuracy of links.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 3 | Reference Article: I05-5011.xml | Citing Article: C10-2017.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid="12" ssid="12">In the same way, most NLP systems like information retrieval (Sekine, 2005) or question answering (Duclaye et al., 2003), based on pattern recognition, can be improved by a paraphrase generator.</S> | Reference Offset: ['35' , '1' , '16' , '17' ] | Reference Text: <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="1" ssid="1">Automatic paraphrase discovery is an important but challenging task.</S> <S sid="16" ssid="16">For example, we can easily imagine that the number of paraphrases for ?A buys B? is enormous and it is not possible to create a comprehensive inventory by hand.</S> <S sid="17" ssid="17">Also, we don?t know how many such paraphrase sets are necessary to cover even some everyday things or events.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 4 | Reference Article: I05-5011.xml | Citing Article: D12-1094.xml | Citation Marker Offset: ['70'] | Citation Marker: Sekine, 2005 | Citation Offset: ['70'] | Citation Text: <S sid="70" ssid="25">Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.</S> | Reference Offset: ['9' , '35' , '58' , '79' , '135' ] | Reference Text: <S sid="9" ssid="9">If the expression is a word or a short phrase (like ?corporation? and ?company?), it is called a ?synonym?.</S> <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="58" ssid="34">(If the TF/IDF score of that word is below a threshold, the phrase is discarded.)</S> <S sid="79" ssid="55">Now we have sets of phrases which share a keyword and we have links between those sets.</S> <S sid="135" ssid="56">Eight out of the thirteen errors in the high frequency phrases in the CC-domain are the phrases in ?agree?.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
Citance Number: 5 | Reference Article: I05-5011.xml | Citing Article: E09-1025.xml | Citation Marker Offset: ['27'] | Citation Marker: Sekine, 2005 | Citation Offset: ['27'] | Citation Text: <S sid="27" ssid="1">A number of automatically acquired inference rule/paraphrase collections are available, such as (Szpektor et al., 2004), (Sekine, 2005).</S> | Reference Offset: ['35' , '146' ] | Reference Text: <S sid="35" ssid="11">As we shall see, most of the linked sets are paraphrases.</S> <S sid="146" ssid="67">Out of those 15 links, 4 are errors, namely ?buy - pay?, ?acquire - pay?, ?purchase - stake? ?acquisition - stake?.</S>  | Discourse Facet: Method_Citation | Annotator: Sweta Kumari |
