Citance Number: 1 |  Reference Article:   I05-5011.xml  |  Citing Article:  C08-1107.xml  |  Citation Marker Offset:  ['19']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['18','19']  |  Citation Text:  <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S>  | Reference Offset: ['167','56','92',] | Reference Text: <S sid ="167" ssid = "14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S><S sid ="56" ssid = "32">Step 3.</S><S sid ="92" ssid = "13">As lower frequency examples include noise, we set a threshold that an NE category pair should appear at least 5 times to be considered and an NE instance pair should appear at least twice to be considered.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:   I05-5011.xml  |  Citing Article:  C08-1107.xml  |  Citation Marker Offset:  ['42']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['42']  |  Citation Text:  <S sid ="42" ssid = "12">The coverage of u by v is measured by: pare between these complex features of t and tl (Ravichandran and Hovy, 2002; Szpektor et al., 2004; Sekine, 2005).</S>  | Reference Offset: ['169','35','165',] | Reference Text: <S sid ="169" ssid = "16">There has also been work using a bootstrap- ping approach [Brin 98; Agichtein and Gravano 00; Ravichandran and Hovy 02].</S><S sid ="35" ssid = "11">As we shall see, most of the linked sets are paraphrases.</S><S sid ="165" ssid = "12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:   I05-5011.xml  |  Citing Article:  C10-2017.xml  |  Citation Marker Offset:  ['12']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['12']  |  Citation Text:  <S sid ="12" ssid = "12">In the same way, most NLP systems like information retrieval (Sekine, 2005) or question answering (Duclaye et al., 2003), based on pattern recognition, can be improved by a paraphrase generator.</S>  | Reference Offset: ['178','71','169',] | Reference Text: <S sid ="178" ssid = "5">One possibility is to use n-grams based on mutual information.</S><S sid ="71" ssid = "47">x EG, has agreed to be bought by H x EG, now owned by H x H to acquire EG x Hâ€™s agreement to buy EG Three of those phrases are actually paraphrases, but sometime there could be some noise; such as the second phrase above.</S><S sid ="169" ssid = "16">There has also been work using a bootstrap- ping approach [Brin 98; Agichtein and Gravano 00; Ravichandran and Hovy 02].</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:   I05-5011.xml  |  Citing Article:  D12-1094.xml  |  Citation Marker Offset:  ['70']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['70']  |  Citation Text:  <S sid ="70" ssid = "25">Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.</S>  | Reference Offset: ['167','25','208',] | Reference Text: <S sid ="167" ssid = "14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S><S sid ="25" ssid = "1">2.1 Overview.</S><S sid ="208" ssid = "5">The accuracies for link were 73% and 86% on two evaluated domains.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:   I05-5011.xml  |  Citing Article:  E09-1025.xml  |  Citation Marker Offset:  ['27']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['27']  |  Citation Text:  <S sid ="27" ssid = "1">A number of automatically acquired inference rule/paraphrase collections are available, such as (Szpektor et al., 2004), (Sekine, 2005).</S>  | Reference Offset: ['195','51','202',] | Reference Text: <S sid ="195" ssid = "22">Also, the method of using keywords rules out phrases which donâ€™t contain popular words in the domain.</S><S sid ="51" ssid = "27">Figure 3 Figure 1.</S><S sid ="202" ssid = "29">Also, expanding on the techniques for the automatic generation of extraction patterns (Riloff 96; Sudo 03) using our method, the extraction patterns which have the same meaning can be automatically linked, enabling us to produce the final table fully automatically.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:   I05-5011.xml  |  Citing Article:  I08-1070.xml  |  Citation Marker Offset:  ['53']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['53']  |  Citation Text:  <S sid ="53" ssid = "24">To avoid the drawback, several linguistic clues, such as fine-grained classification of named entities and coordinated sentences, have been utilized (Sekine, 2005; Torisawa, 2006).</S>  | Reference Offset: ['140','44','205',] | Reference Text: <S sid ="140" ssid = "61">For example, from the sentence â€œMr.</S><S sid ="44" ssid = "20">The data is sorted based on the frequency of the context (â€œa unit ofâ€? appeared 314 times in the corpus) and the NE pair instances appearing with that context are shown with their frequency (e.g. â€œNBCâ€? and â€œGeneral Electric Co.â€? appeared 10 times with the context â€œa unit ofâ€?).</S><S sid ="205" ssid = "2">We are focusing on phrases which have two Named Entities (NEs), as those types of phrases are very important for IE applications.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:   I05-5011.xml  |  Citing Article:  J10-3003.xml  |  Citation Marker Offset:  ['429']  |  Citation Marker:  2005  |  Citation Offset:  ['429']  |  Citation Text:  <S sid ="429" ssid = "302">As a later reï¬�nement, Sekine (2005) makes a similar attempt at using distributional similarity over named entity pairs in order to produce a list of fully lexicalized phrasal paraphrases for speciï¬�c concepts represented by keywords.</S>  | Reference Offset: ['190','105','132',] | Reference Text: <S sid ="190" ssid = "17">In order to solve this problem, a parse tree is needed to understand that â€œLotusâ€? is not the object of â€œestimatesâ€?.</S><S sid ="105" ssid = "26">Step 4.</S><S sid ="132" ssid = "53">The larger sets are more accurate than the small sets.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:   I05-5011.xml  |  Citing Article:  J12-1003.xml  |  Citation Marker Offset:  ['24']  |  Citation Marker:  Sekine 2005  |  Citation Offset:  ['24']  |  Citation Text:  <S sid ="24" ssid = "24">This has led to active research on broad-scale acquisition of entailment rules for predicates (Lin and Pantel 2001; Sekine 2005; Szpektor and Dagan 2008; Yates and Etzioni 2009; Schoenmackers et al. 2010).</S>  | Reference Offset: ['189','50','75',] | Reference Text: <S sid ="189" ssid = "16">Smith estimates Lotus will make profit this quarterâ€¦â€?.</S><S sid ="50" ssid = "26">Here, the term frequency (TF) is the frequency of a word in the bag and the inverse term frequency (ITF) is the inverse of the log of the frequency in the entire corpus.</S><S sid ="75" ssid = "51">As the two NE categories are the same, we canâ€™t differentiate phrases with different orders of par ticipants â€“ whether the buying company or the to-be-bought company comes first.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:   I05-5011.xml  |  Citing Article:  P06-2094.xml  |  Citation Marker Offset:  ['65']  |  Citation Marker:  Sekine 05  |  Citation Offset:  ['65']  |  Citation Text:  <S sid ="65" ssid = "24">We also proposed a method to find paraphrases in the context of two Named Entity instances in a large un-annotated corpus (Sekine 05).</S>  | Reference Offset: ['204','96','188',] | Reference Text: <S sid ="204" ssid = "1">We proposed an unsupervised method to discover paraphrases from a large untagged corpus.</S><S sid ="96" ssid = "17">For example, in the CC-domain, 96 keywords are found which have TF/ITF scores above a threshold; some of them are shown in Figure 3.</S><S sid ="188" ssid = "15">Using structural information As was explained in the results section, we extracted examples like â€œSmith estimates Lotusâ€?, from a sentence like â€œMr.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:   I05-5011.xml  |  Citing Article:  P07-1058.xml  |  Citation Marker Offset:  ['49']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['49']  |  Citation Text:  <S sid ="49" ssid = "13">Some existing entailment acquisition algorithms can add contextual constraints to the learned rules (Sekine, 2005), but most donÃ¢â‚¬â„¢t.</S>  | Reference Offset: ['161','38','195',] | Reference Text: <S sid ="161" ssid = "8">Instead, we focused on phrases and set the frequency threshold to 2, and so were able to utilize a lot of phrases while minimizing noise.</S><S sid ="38" ssid = "14">Extract NE instance pairs with contexts First, we extract NE pair instances with their context from the corpus.</S><S sid ="195" ssid = "22">Also, the method of using keywords rules out phrases which donâ€™t contain popular words in the domain.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:   I05-5011.xml  |  Citing Article:  P07-1058.xml  |  Citation Marker Offset:  ['57']  |  Citation Marker:  Sekine, 2005  |  Citation Offset:  ['57']  |  Citation Text:  <S sid ="57" ssid = "21">Many methods for automatic acquisition of rules have been suggested in recent years, ranging from distributional similarity to finding shared contexts (Lin and Pantel, 2001; Ravichandran and Hovy, 2002; Shinyama et al., 2002; Barzilay and Lee, 2003; Szpektor et al., 2004; Sekine, 2005).</S>  | Reference Offset: ['167','66','165',] | Reference Text: <S sid ="167" ssid = "14">Another approach to finding paraphrases is to find phrases which take similar subjects and objects in large corpora by using mutual information of word distribution [Lin and Pantel 01].</S><S sid ="66" ssid = "42">Our clue is the NE instance pairs.</S><S sid ="165" ssid = "12">One of such approaches uses comparable documents, which are sets of documents whose content are found/known to be almost the same, such as different newspaper stories about the same event [Shinyama and Sekine 03] or different translations of the same story [Barzilay 01].</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
