Citance Number: 1 |  Reference Article:  P98-2143.xml  |  Citing Article:  A00-1020.xml  |  Citation Marker Offset:  ['29']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['28','29']  |  Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÃ‚Â­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S>  | Reference Offset: ['37','94','121',] | Reference Text: <S sid ="37" ssid = "23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S><S sid ="94" ssid = "19">There were 71 pronouns in the 140 page technical manual; 7 of the pronouns were non-anaphoric and 16 exophoric.</S><S sid ="121" ssid = "46">A case where the system failed was when the anaphor and the antecedent were in the same senÂ­ tence and where preference was given to a candidate in the preceding sentence.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:  P98-2143.xml  |  Citing Article:  C02-1027.xml  |  Citation Marker Offset:  ['13']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['13']  |  Citation Text:  <S sid ="13" ssid = "3">The anaphora resolver is an adaptation for Bulgarian of Mitkovs knowledge-poor pronoun resolution approach (Mitkov, 1998).</S>  | Reference Offset: ['21','111','95',] | Reference Text: <S sid ="21" ssid = "7">If still no choice is possible, the most recent from the remaining candiÂ­ dates is selected as the antecedent.</S><S sid ="111" ssid = "36">3.2 Evaluation B. We carried out a second evaluation of the approach on a different set of sample texts from the genre of technical manuals (47-page Portable Style-Writer User's Guide (Stylewriter 1994).</S><S sid ="95" ssid = "20">The resolution of anaphors was carried out with a sucÂ­ cess rate of 95.8%.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:  P98-2143.xml  |  Citing Article:  C02-1027.xml  |  Citation Marker Offset:  ['65']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['65']  |  Citation Text:  <S sid ="65" ssid = "3">This module resolves third-person personal pronouns and is an adaptation of MitkovÃ¢â‚¬â„¢s robust, knowledge-poor multilingual approach (Mitkov, 1998) whose latest implementation by R. Evans is referred to as MARS 2 (Orasan et al., 2000).</S>  | Reference Offset: ['57','120','49',] | Reference Text: <S sid ="57" ssid = "43">Unwrap the paperiâ€¢ form iti and align itiâ€¢ then load iti into the drawer.</S><S sid ="120" ssid = "45">Our evaluation estabÂ­ lished the critical success rate as 82%.</S><S sid ="49" ssid = "35">Example: Press the keyi down and turn the volume up...</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:  P98-2143.xml  |  Citing Article:  C02-1027.xml  |  Citation Marker Offset:  ['73']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['71','72','73']  |  Citation Text:  <S sid ="71" ssid = "9">LINGUA performs the pre-processing, needed as an input to the anaphora resolution algorithm: sentence, paragraph and clause splitters, NP grammar, part-of-speech tagger, 2 MARS stands for MitkovÃ¢â‚¬â„¢s Anaphora Resolution.</S><S sid ="72" ssid = "10">System.</S><S sid ="73" ssid = "11">3 For a detailed procedure how candidates are handled in the event of a tie, see (Mitkov, 1998).</S>  | Reference Offset: ['20','118','62',] | Reference Text: <S sid ="20" ssid = "6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S><S sid ="118" ssid = "43">In the second experiment we evaluated the apÂ­ proach from the point of view also of its "critical success rate".</S><S sid ="62" ssid = "48">As already mentioned, each of the antecedent inÂ­ dicators assigns a score with a value {-1, 0, 1, 2}.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:  P98-2143.xml  |  Citing Article:  C02-1027.xml  |  Citation Marker Offset:  ['79']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['79']  |  Citation Text:  <S sid ="79" ssid = "17">Most of the indicators have been adopted in LINGUA without modification from the original English version (see (Mitkov, 1998) for more details).</S>  | Reference Offset: ['54','131','93',] | Reference Text: <S sid ="54" ssid = "40">It is also quite freÂ­ quent with imperative constructions.</S><S sid ="131" ssid = "56">As expected, the most frequent indicaÂ­ tors were not the most discriminative ones.</S><S sid ="93" ssid = "18">3.1 Evaluation A. Our first evaluation exercise (Mitkov & Stys 1997) was based on a random sample text from a technical manual in English (Minolta 1994).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:  P98-2143.xml  |  Citing Article:  C04-1074.xml  |  Citation Marker Offset:  ['17']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['16','17']  |  Citation Text:  <S sid ="17" ssid = "17">Other proposals provide a more realistic picture in that they work as a backend to a parser (Lappin and Leass, 1994) or noun chunker (Mitkov, 1998; Soon et al., 2001; Ng and Cardie, 2002)).</S>  | Reference Offset: ['11','155','40',] | Reference Text: <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or linÂ­ guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="155" ssid = "2">Evaluation shows a success rate of 89.7% for the genre of techÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S><S sid ="40" ssid = "26">Section heading preference If a noun phrase occurs in the heading of the section, part of which is the current sentence, then we conÂ­ sider it as the preferred candidate (1, 0).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:  P98-2143.xml  |  Citing Article:  C04-1074.xml  |  Citation Marker Offset:  ['61']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['61']  |  Citation Text:  <S sid ="60" ssid = "22">Binding constraints have been in the focus of linguistic research for more than thirty years.</S><S sid ="61" ssid = "23">They provide restrictions on coindexation of pronouns with clause siblings, and therefore can only be applied with systems that determine clause boundaries, i.e. parsers (Mitkov, 1998).</S>  | Reference Offset: ['18','102','27',] | Reference Text: <S sid ="18" ssid = "4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for imÂ­ mediate reference.</S><S sid ="102" ssid = "27">Example: Identify the draweq by the lit paper port LED and add paper to itj.</S><S sid ="27" ssid = "13">In the following we shall outline some the indicators used and shall illustrate them by exÂ­ amples.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:  P98-2143.xml  |  Citing Article:  C04-1075.xml  |  Citation Marker Offset:  ['19']  |  Citation Marker:  Mitkov 1998  |  Citation Offset:  ['19']  |  Citation Text:  <S sid ="19" ssid = "19">However, the pressing need for the development of robust and inexpensive solutions encouraged the drive toward knowledge-poor strategies (Dagan and Itai 1990; Lappin and Leass 1994; Mitkov 1998;</S>  | Reference Offset: ['12','108','13',] | Reference Text: <S sid ="12" ssid = "12">Our work is a continuation of these latest trends in the search for inexpensive, fast and reliable procedures for anaphÂ­ ora resolution.</S><S sid ="108" ssid = "33">This should not be surpris ing, given that the approach does not rely on any syntactic knowledge and in particular, it does not produce any parse tree.</S><S sid ="13" ssid = "13">It is also an example of how anaphors in a specific genre can be resolved quite successfully without any sophisticated linguistic knowledge or even without parsing.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:  P98-2143.xml  |  Citing Article:  C04-1143.xml  |  Citation Marker Offset:  ['101']  |  Citation Marker:  Mitkov, 1998  |  Citation Offset:  ['101']  |  Citation Text:  <S sid ="101" ssid = "44">The search scope for candidate antecedents is set to the current sentence together with the three preceding sentences as suggested in (Mitkov, 1998)</S>  | Reference Offset: ['75','155','110',] | Reference Text: <S sid ="75" ssid = "61">those which agree in gender and numberS with the pronominal anaphor and group them as a set of potential candidates</S><S sid ="155" ssid = "2">Evaluation shows a success rate of 89.7% for the genre of techÂ­ nical manuals and at least in this genre, the approach appears to be more successful than other similar methods.</S><S sid ="110" ssid = "35">where "blank sheet of paper" scores only 2 as opÂ­ posed to the "the paper through key" which scores 6.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:  P98-2143.xml  |  Citing Article:  D09-1101.xml  |  Citation Marker Offset:  ['52']  |  Citation Marker:  1998  |  Citation Offset:  ['52']  |  Citation Text:  <S sid ="52" ssid = "6">Like many heuristic-based pronoun resolvers (e.g., Mitkov (1998)), they first apply a set of constraints to filter grammatically incompatible candidate antecedents and then rank the remaining ones using salience factors.</S>  | Reference Offset: ['72','154','90',] | Reference Text: <S sid ="72" ssid = "58">ceding sentences (if available).</S><S sid ="154" ssid = "1">We have described a robust, knowledge-poor apÂ­ proach to pronoun resolution which operates on texts pre-processed by a part-of-speech tagger.</S><S sid ="90" ssid = "15">In fact, our evaluation shows that the reÂ­ sults are comparable to syntax-based methods (Lappin & Leass I994).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:  P98-2143.xml  |  Citing Article:  E99-1031.xml  |  Citation Marker Offset:  ['7']  |  Citation Marker:  Mitkov 1998  |  Citation Offset:  ['6','7']  |  Citation Text:  <S sid ="6" ssid = "6">A huge variety of techniques are described in the literature, many of them achieving high sucÃ‚Â­ cess rates on their own evaluation texts (cf.</S><S sid ="7" ssid = "7">Hobbs 1986; Strube 1998; Mitkov 1998).</S>  | Reference Offset: ['54','156','42',] | Reference Text: <S sid ="54" ssid = "40">It is also quite freÂ­ quent with imperative constructions.</S><S sid ="156" ssid = "3">We have also adapted and evaluated the approach for Polish (93.3 % success rate) and for Arabic (95.2% success rate).</S><S sid ="42" ssid = "28">Example: Insert the cassettei into the VCR making sure iti is suitable for the length of recording.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
