Citance Number: 1 |  Reference Article:   W03-0410.xml  |  Citing Article:  D07-1018.xml  |  Citation Marker Offset:  ['9']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['9']  |  Citation Text:  <S sid ="9" ssid = "9">Stevenson and Joanis, 2003 for English semantic verb classes</S>  | Reference Offset: ['253','78','52',] | Reference Text: <S sid ="253" ssid = "2">However, their study used a small set of five features manually devised for a set of three particular classes.</S><S sid ="78" ssid = "28">(Location can be the direct object of Wipe verbs but not of Steal and Remove verbs, as shown.)</S><S sid ="52" ssid = "2">Here we describe the selection of the experimental classes and verbs, and the estimation of the feature values.</S> | Discourse Facet: Aim_Citation | Annotator: Annotator: xukey, WHU |
Citance Number: 2 |  Reference Article:   W03-0410.xml  |  Citing Article:  D09-1138.xml  |  Citation Marker Offset:  ['25']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['25']  |  Citation Text:  <S sid ="25" ssid = "25">Supervised methods for automatic verb classification have been extensively investigated (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S>  | Reference Offset: ['226','187','13',] | Reference Text: <S sid ="226" ssid = "64">learner (C5.0) on the seed verbs for those classes, in a 5-fold cross-validation (without boosting).</S><S sid ="187" ssid = "25">5.1 Full Feature Set.</S><S sid ="13" ssid = "13">As such, they serve as a means for organizing complex knowledge about verbs in a computational lexicon (Kipper et al., 2000).</S> | Discourse Facet: Aim_Citation | Annotator: Annotator: xukey, WHU |
Citance Number: 3 |  Reference Article:   W03-0410.xml  |  Citing Article:  D09-1138.xml  |  Citation Marker Offset:  ['70']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['70']  |  Citation Text: <S sid ="70" ssid = "43">The present work inherits the spirit of the supervised approaches to verb classification (Stevenson et al., 1999; Stevenson and Merlo, 1999; Merlo and Stevenson, 2001; Stevenson and Joanis, 2003; Joanis and Stevenson, 2003; Joanis et al., 2008).</S>  | Reference Offset: ['222','182','11',] | Reference Text: <S sid ="222" ssid = "60">To model this kind of approach, we selected a sample of five seed verbs from each class.</S><S sid ="182" ssid = "20">The second column of Table 2 includes the accuracy of our supervised learner (the decision tree induction system, C5.0), on the same verb sets as in our clustering experiments.</S><S sid ="11" ssid = "11">We focus here on extending the applicability of unsupervised methods, as in (Schulte im Walde and Brew, 2002; Stevenson and Merlo, 1999), to the lexical semantic classification of verbs.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 4 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['17']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['17']  |  Citation Text:  <S sid ="17" ssid = "17">We adopt as our baseline method a well-known hierarchical method â€“ agglomerative clustering (AGG) â€“ which has been previously used to acquire flat Levin-style classifications (Stevenson and Joanis, 2003)</S>  | Reference Offset: ['252','158','29',] | Reference Text: <S sid ="252" ssid = "1">Using the same measure as ours, Stevenson and Merlo (1999) achieved performance in clustering very close to that of their supervised classification.</S><S sid ="158" ssid = "29">Our final measure gives an indication of the overall goodness of the clusters purely in terms of their separation of the data, without number of clusters equal to the number of verbs.</S><S sid ="29" ssid = "29">To preview our results, we find that, overall, the semi-supervised method not only outperforms the entire feature space, but also the manually selected subset of features.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 5 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['38']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['38']  |  Citation Text:  <S sid ="38" ssid = "5">We used three gold standards (and corresponding test sets) extracted from these resources in our experiments: T1: The first gold standard is a flat gold standard which includes 13 classes appearing in Levinâ€™s original taxonomy (Stevenson and Joanis, 2003).</S>  | Reference Offset: ['268','184','41',] | Reference Text: <S sid ="268" ssid = "8">More research is needed on the definition of the general feature space, as well as on the methods for selecting a more useful set of features for clustering.</S><S sid ="184" ssid = "22">The third column of Table 2 gives the baseline we calculated from random clusterings.</S><S sid ="41" ssid = "8">We also count fixed elements in certain slots (it and there, as in It rains or There appeared a ship), since these are part of the syntactic frame specifications for a verb.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 6 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['40']  |  Citation Marker:  Stevenson and Joanis (2003)  |  Citation Offset:  ['40']  |  Citation Text:  <S sid ="40" ssid = "7">Following Stevenson and Joanis (2003), we selected 20 verbs from each class which occur at least 100 times in our corpus.</S>  | Reference Offset: ['254','191','46',] | Reference Text: <S sid ="254" ssid = "3">Our feature set is essentially a generalization of theirs, but in scaling up the feature space to be useful across English verb classes in general, we necessarily face a dimensionality problem that did not arise in their research.</S><S sid ="191" ssid = "29">One approach to dimensionality reduction is to hand- select features that one believes to be relevant to a given task.</S><S sid ="46" ssid = "13">Tense, Voice, and Aspect Features (24 features) Verb meaning, and therefore class membership, interacts in interesting ways with voice, tense, and aspect (Levin, 1993; Merlo and Stevenson, 2001).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 7 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['54']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['54']  |  Citation Text:  <S sid ="54" ssid = "2">Previous works on Levin style verb classification have investigated optimal features for this task (Stevenson and Joanis, 2003; Li and Brew, 2008; Sun and Korhonen, 2009)).</S>  | Reference Offset: ['235','211','16',] | Reference Text: <S sid ="235" ssid = "73">5.5 Further Discussion.</S><S sid ="211" ssid = "49">(1997) propose an unsupervised method to rank a set of features according to their ability to organize the data in space, based on an entropy measure they devise.</S><S sid ="16" ssid = "16">It is also necessary to consider the probable lack of sophisticated grammars or text processing tools for extracting accurate features.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 8 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['82']  |  Citation Marker:  Stevenson and Joanis, 2003  |  Citation Offset:  ['82','83']  |  Citation Text:  <S sid ="82" ssid = "30">Although they can be removed using a cut-based method, this requires a predefined cutoff value which is difficult to set (Stevenson and Joanis, 2003).</S><S sid ="83" ssid = "31">In addition, a significant amount of information is lost in pairwise clustering.</S>  | Reference Offset: ['205','65','37',] | Reference Text: <S sid ="205" ssid = "43">Moreover, the value for the manually selected features is almost always very much higher than that of the full feature set, indicating that the subset of features is more focused on the properties that lead to a better separation of the data.</S><S sid ="65" ssid = "15">Run versus Sound Emission verbs.</S><S sid ="37" ssid = "4">It is important to emphasize, however, that our features are extracted from part-of-speech (POS) tagged and chunked text only: there are no semantic tags of any kind.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 9 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['167']  |  Citation Marker:  Stevenson and Joanis (2003)  |  Citation Offset:  ['167']  |  Citation Text:  <S sid ="167" ssid = "16">Table 1: Comparison against Stevenson and Joanis (2003)â€™s result on T1 (using similar features).</S>  | Reference Offset: ['242','163','102',] | Reference Text: <S sid ="242" ssid = "80">is the number of classes (a simple linear function roughly approximating the number of features in the Seed sets).</S><S sid ="163" ssid = "1">W e re p or t he re th e re su lt s of a n u m be r of cl us te ri n g ex - pe ri m en ts, us in g fe at ur e se ts as fo ll o w s: (1 ) th e fu ll fe at ur e sp ac e; (2 ) a m an ua ll y se le ct ed su bs et of fe at ur es ; (3 ) u n- su pe rv is ed se le ct io n of fe at ur es ; an d (4 ) se mi su p er vi se d se le ct io n, us in g a su pe rv is ed le ar ne r ap pl ie d to se ed ve rb s to se le ct th e fe at ur es . F or ea ch ty pe of fe at ur e se t, w e pe rf or m ed th e sa m e te n cl us te ri n g ta sk s, sh o w n in th e fir st co lu m n of Ta bl e 2.</S><S sid ="102" ssid = "52">2 3 5 A m us e 31.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 10 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['168']  |  Citation Marker:  Stevenson and Joanis (2003)  |  Citation Offset:  ['168']  |  Citation Text:  <S sid ="168" ssid = "17">Table 1 shows our results and the results of Stevenson and Joanis (2003) on T1 when employing AGG using Ward as the linkage criterion.</S>  | Reference Offset: ['195','127','63',] | Reference Text: <S sid ="195" ssid = "33">All 13 Classes .58 .19 .29 .31 .29 .07 .08 .09 .05 .12 .16 Mean of multiway .67 .23 .30 .36 .38 .07 .10 .11 .08 .19 .23 Table 2: Experimental Results.</S><S sid ="127" ssid = "77">We used the chunker (partial parser) of Abney (1991) to preprocess the corpus, which (noisily) determines the NP subject and direct object of a verb, as well as the PPs potentially associated with it.</S><S sid ="63" ssid = "13">I admire Jane.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 11 |  Reference Article:   W03-0410.xml  |  Citing Article:  D11-1095.xml  |  Citation Marker Offset:  ['169']  |  Citation Marker:  Stevenson and Joanis (2003)  |  Citation Offset:  ['169']  |  Citation Text:  <S sid ="169" ssid = "18">In this experiment, we used the same feature set as Stevenson and Joanis (2003) (set B, see section 3.1) and were therefore able to reproduce their AGG result with a difference smaller than 2%.</S>  | Reference Offset: ['224','189','98',] | Reference Text: <S sid ="224" ssid = "62">We purposely did not carry out any linguistic analysis, although we did check that each verb was reasonably frequent (with log frequencies ranging from 2.6 to 5.1).</S><S sid ="189" ssid = "27">Although generally higher than the baseline, is well below that of the supervised learner, and and are generally low.</S><S sid ="98" ssid = "48">1, 26.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
