Citance Number:  1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid="141" ssid="10">Chinese According to Sproat et al.</S><S sid="142" ssid="11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ\xad lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ\xad proach.</S> | Reference Offset:  ['16','310'] | Reference Text:  <S sid="16" ssid="16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : & ; ? ' H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? ' (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : & I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l ' J a p a n e s e ' ' o c t o p u s ' ' h o w ' ' s a y ' (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&I ri4 wen2 zhangl yu2zen3 me0 shuol 'Japan' 'essay' 'fish' 'how' 'say' A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid="310" ssid="19">The method being described-henceforth ST..</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  2 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['5'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['5'] | Citation Text:  <S sid="5" ssid="5">Proposed applications of segmentation technology include extracting new technical terms, indexing documents for information retrieval, and correcting optical character recognition (OCR) erÂ\xad rors (Wu and Tseng, 1993; Nagao and Mori, 1994; Nagata, 1996a; Nagata, 1996b; Sproat et al., 1996; Fung, 1998).</S> | Reference Offset:  ['349'] | Reference Text:  <S sid="349" ssid="58">Wu and Fung introduce an evaluation method they call nk-blind.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  3 | Reference Article:  J96-3004.xml | Citing Article:  C00-2095.xml | Citation Marker Offset:  ['80'] | Citation Marker:  Sproat ct a.l., 1996 | Citation Offset:  ['80'] | Citation Text:  <S sid="80" ssid="25">As (Sproat ct a.l., 1996) testify, several native Chinese speakers do not always agree on one unique tokeniza.tion for a. given sentence.</S> | Reference Offset:  ['213'] | Reference Text:  <S sid="213" ssid="77">There is a (costless) transition between the NC node and f,.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  4 | Reference Article:  J96-3004.xml | Citing Article:  C02-1049.xml | Citation Marker Offset:  ['58'] | Citation Marker:  Sproat et al, 1996 | Citation Offset:  ['58'] | Citation Text:  <S sid="58" ssid="39">Conventionally a word segmentation process identifies the words in input text by matching lexical entries and resolving the ambiguous matching (Chen & Liu, 1992, Sproat et al, 1996).</S> | Reference Offset:  ['150'] | Reference Text:  <S sid="150" ssid="14">This WFST represents the segmentation of the text into the words AB and CD, word boundaries being marked by arcs mapping between f and part-of-speech labels.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


