Citance Number:  1 | Reference Article:  P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['36'] | Citation Marker:  Dang et al, 1998 | Citation Offset:  ['36','37'] | Citation Text:  <S sid="36" ssid="22">Levin's classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid="37" ssid="23">1998).</S> | Reference Offset:  ['18'] | Reference Text:  <S sid="18" ssid="18">Preliminary investigations have indicated that a straightforward translation of Levin classes into other languages is not feasible (Jones et al., 1994), (Nomura et al., 1994), (Saint-Dizier, 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  2 | Reference Article:  P98-1046.xml | Citing Article:  A00-2034.xml | Citation Marker Offset:  ['39'] | Citation Marker:  1998 | Citation Offset:  ['38','39'] | Citation Text:  <S sid="38" ssid="24">Dang et al.</S><S sid="39" ssid="25">(1998) modify it by adding new classes which remove the overlap between classes from the original scheme.</S> | Reference Offset:  ['110'] | Reference Text:  <S sid="110" ssid="24">However, other intersective classes, such as the split/push/carry class, are no more con­ sistent with WordNet than the original Levin classes.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  3 | Reference Article:  P98-1046.xml | Citing Article:  C00-2118.xml | Citation Marker Offset:  ['211'] | Citation Marker:  Dang ct a!., 1998 | Citation Offset:  ['211'] | Citation Text:  <S sid="211" ssid="162">\\tVe think that many cases of amÂ\xad biguous classification of verb types can be adÂ\xad dressed with the notion of intersedive sets inÂ\xad troduced by (Dang ct a!., 1998).</S> | Reference Offset:  ['70'] | Reference Text:  <S sid="70" ssid="24">The ad­ junction of the apart adverb adds a change of state semantic component with respect to the object which is not present otherwise.</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 


Citance Number:  4 | Reference Article:  P98-1046.xml | Citing Article:  C00-2148.xml | Citation Marker Offset:  ['18'] | Citation Marker:  1998 | Citation Offset:  ['18','19','20'] | Citation Text:  <S sid="18" ssid="4">Many verbs are listed in multiple classes, some of which have conflicting sets of syntactic frames.</S><S sid="19" ssid="5">Dang ct al.</S><S sid="20" ssid="6">(1998) showed that multiple listings could in some cases be interpreted as regular sense extensions, and defined intcrsectivc Levin classes, which are a more fine-grained, syntactically and semantically coherÂ\xad ent refinement of basic Levin classes.</S> | Reference Offset:  ['27','2'] | Reference Text:  <S sid="27" ssid="8">The distribution of syntactic frames in which a verb can appear determines its class member­ ship.</S><S sid="2" ssid="2">We see verb classes as the key to making gen­ eralizations about regular extensions of mean­ ing.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  5 | Reference Article:  P98-1046.xml | Citing Article:  C08-1002.xml | Citation Marker Offset:  ['46'] | Citation Marker:  Dang et al., 1998 | Citation Offset:  ['46'] | Citation Text:  <S sid="46" ssid="4">VN is built on a refinement of the Levin classes, the intersective Levin classes (Dang et al., 1998), aimed at achieving more coherent classes both semantically and syntactically.</S> | Reference Offset:  ['159'] | Reference Text:  <S sid="159" ssid="4">Given the incompleteness of the list of members of Levin classes, each verb must be examined to see whether it exhibits all the al­ ternations of a class.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


