Citance Number:  1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid="28" ssid="4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ\xad curacy (cf.</S><S sid="29" ssid="5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset:  ['147'] | Reference Text:  <S sid="147" ssid="8">The robust approach adapted for Polish demonstrated a high success rate of 93.3% in resolv­ ing anaphors (with critical success rate of 86.2%).</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 


Citance Number:  2 | Reference Article:  P98-2143.xml | Citing Article:  C02-1027.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['13'] | Citation Text:  <S sid="13" ssid="3">The anaphora resolver is an adaptation for Bulgarian of Mitkovs knowledge-poor pronoun resolution approach (Mitkov, 1998).</S> | Reference Offset:  ['147'] | Reference Text:  <S sid="147" ssid="8">The robust approach adapted for Polish demonstrated a high success rate of 93.3% in resolv­ ing anaphors (with critical success rate of 86.2%).</S> | Discourse Facet:  Aim_Citation | Annotator:  Rali | 


Citance Number:  3 | Reference Article:  P98-2143.xml | Citing Article:  C02-1027.xml | Citation Marker Offset:  ['65'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['65'] | Citation Text:  <S sid="65" ssid="3">This module resolves third-person personal pronouns and is an adaptation of Mitkovâ€™s robust, knowledge-poor multilingual approach (Mitkov, 1998) whose latest implementation by R. Evans is referred to as MARS 2 (Orasan et al., 2000).</S> | Reference Offset:  ['96'] | Reference Text:  <S sid="96" ssid="21">The approach being robust (an attempt is made to resolve each anaphor and a pro­ posed antecedent is returned), this figure represents both "precision" and "recall" if we use the MUC terminology.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


Citance Number:  4 | Reference Article:  P98-2143.xml | Citing Article:  C02-1027.xml | Citation Marker Offset:  ['73'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['71','72','73'] | Citation Text:  <S sid="71" ssid="9">LINGUA performs the pre-processing, needed as an input to the anaphora resolution algorithmsentence, paragraph and clause splitters, NP grammar, part-of-speech tagger, 2 MARS stands for Mitkovâ€™s Anaphora Resolution.</S><S sid="72" ssid="10">System.</S><S sid="73" ssid="11">3 For a detailed procedure how candidates are handled in the event of a tie, see (Mitkov, 1998).</S> | Reference Offset:  ['15','81'] | Reference Text:  <S sid="15" ssid="1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid="81" ssid="6">If collocational pattern suggests a tie or does not hold, select the candidate with higher score for indicating verbs.</S> | Discourse Facet:  Method_Citation | Annotator:  Rali | 


