Citance Number: 1 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['37'] | Citation Marker: 2005 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S> | Reference Offset: [ '57','162' ] | Reference Text: <S sid="57"> For details about SVMLight, please see http://svmlight.joachims.org/</S> <S sid="162"> It also shows that feature-based methods dramatically outperform kernel methods.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 2 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['15'] | Citation Marker:  2005 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "15">However, detailed research (Zhou et al., 2005) shows that itâ€™s difficult to extract new effective features to further improve the extraction accuracy.</S> | Reference Offset: [ '122','195' ] | Reference Text: <S sid="122"> It also shows that the ACE RDC task defines some difficult sub- types such as the subtypes Based-In, Located and Residence under the type AT, which are difficult even for human experts to differentiate.</S> <S sid="195"> While short-distance relations dominate and can be resolved by simple features such as word and chunking features, the further dependency tree and parse tree features can only take effect in the remaining much less and more difficult long-distance relations.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 3 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['180'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['180'] | Citation Text:  <S sid ="180" ssid = "28">Furthermore, when the UPST (FPT) kernel is com bined with a linear state-of-the-state feature- based kernel (Zhou et al., 2005) into a composite one via polynomial interpolation in a setting similar to Zhou et al.</S> | Reference Offset: [ '32','51' ] | Reference Text: <S sid="32"> Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S> <S sid="51"> Moreover, we only apply the simple linear kernel, although other kernels can peform better.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 4 | Reference Article:  P05-1053.xml | Citing Article:  C10-1018.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">In building these systems, researchers used a wide variety of features (Kambhatla, 2004; Zhou et al., 2005; Jiang and Zhai, 2007).</S> | Reference Offset: [ '44' ] | Reference Text: <S sid="44"> It also shows that our system outperforms tree kernel-based systems (Culotta et al 2004) by over 20 F-measure on extracting 5 ACE relation types.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 5 | Reference Article:  P05-1053.xml | Citing Article:  C10-1018.xml | Citation Marker Offset:  ['42'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['42'] | Citation Text:  <S sid ="42" ssid = "5">Most of the features used in our system are based on the work in (Zhou et al., 2005).</S> | Reference Offset: [ '44','134' ] | Reference Text: <S sid="44"> It also shows that our system outperforms tree kernel-based systems (Culotta et al 2004) by over 20 F-measure on extracting 5 ACE relation types.</S> <S sid="134">  The usefulness of mention level features is quite limited.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 6 | Reference Article:  P05-1053.xml | Citing Article:  C10-1018.xml | Citation Marker Offset:  ['45'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['45'] | Citation Text:  <S sid ="45" ssid = "8">Due to space limitations, we only describe the collocation features and refer the reader to (Zhou et al., 2005) for the rest of the features.</S> | Reference Offset: [ '26','28' ] | Reference Text: <S sid="26"> The rest of this paper is organized as follows.</S> <S sid="28"> Section 3 and Section 4 describe our approach and various features employed respectively.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 7 | Reference Article:  P05-1053.xml | Citing Article:  C10-1064.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">While many supervised machine learning approaches have been successfully applied to the RDC task (Kambhatla, 2004; Zhou et al., 2005; Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005; Zhang et al., 2006), few have focused on weakly-supervised relation extraction.</S> | Reference Offset: [ '37' ] | Reference Text: <S sid="37"> Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 8 | Reference Article:  P05-1053.xml | Citing Article:  D07-1076.xml | Citation Marker Offset:  ['14'] | Citation Marker:   | Citation Offset:  ['14'] | Citation Text:  <S sid ="14" ssid = "14">Among them, feature-based methods (Kambhatla 2004; Zhou et al., 2005) achieve certain success by employing a large amount of diverse linguistic features, varying from lexical knowledge, entity- related information to syntactic parse trees, dependency trees and semantic information</S> | Reference Offset: [ '48','78' ] | Reference Text: <S sid="48"> Therefore, we must extend SVMs to multi-class (e.g. K) such as the ACE RDC task.</S> <S sid="78"> This feature concerns about the entity type of both the mentions, which can be PERSON, ORGANIZATION, FACILITY, LOCATION and GeoPolitical Entity or GPE:  ET12: combination of mention entity types 4.3 Mention Level.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 9 | Reference Article:  P05-1053.xml | Citing Article:  D07-1076.xml | Citation Marker Offset:  ['14'] | Citation Marker:   | Citation Offset:  ['14'] | Citation Text:  <S sid ="14" ssid = "14">How ever, it is difficult for them to effectively capture struc tured parse tree information (Zhou et al 2005), which is critical for further performance improvement in relation extraction.</S> | Reference Offset: [ '48','78' ] | Reference Text: <S sid="48"> Therefore, we must extend SVMs to multi-class (e.g. K) such as the ACE RDC task.</S> <S sid="78"> This feature concerns about the entity type of both the mentions, which can be PERSON, ORGANIZATION, FACILITY, LOCATION and GeoPolitical Entity or GPE:  ET12: combination of mention entity types 4.3 Mention Level.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 10 | Reference Article:  P05-1053.xml | Citing Article:  D07-1076.xml | Citation Marker Offset:  ['161'] | Citation Marker:  Zhou et al 2005 | Citation Offset:  ['161'] | Citation Text:  <S sid ="161" ssid = "24">Composite Kernel In this paper, a composite kernel via polynomial interpolation, as described Zhang et al (2006), is applied to integrate the proposed c ontextsensitive convolution tree kernel with a state -of the-art linear kernel (Zhou et al 2005)</S> | Reference Offset: [ '37' ] | Reference Text: <S sid="37"> Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S> | Discourse Facet: NA | Annotator: System 6 
Citance Number: 11 | Reference Article:  P05-1053.xml | Citing Article:  D07-1076.xml | Citation Marker Offset:  ['167'] | Citation Marker:  20 05 | Citation Offset:  ['166','167'] | Citation Text:  <S sid ="166" ssid = "29">7 Here, we use the same set of flat features (i.e. word,.</S><S sid ="167" ssid = "30">entity type, mention level, overlap, base phrase chunk- ing, dependency tree, parse tree and semantic information) as Zhou et al (20 05).</S> | Reference Offset: [ '34','86' ] | Reference Text: <S sid="34"> Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S> <S sid="86"> In this paper, we separate the features of base phrase chunking from those of full parsing.</S> | Discourse Facet: NA | Annotator: System 6 
