Citance Number: 1 | Reference Article: I05-5011.xml | Citing Article: C08-1107.xml | Citation Marker Offset: ['19'] | Citation Marker: Sekine, 2005 | Citation Offset: ['18','19'] | Citation Text: <S sid ="18" ssid = "18">This sparked intensive research on unsupervised acquisition of entailment rules (and similarly paraphrases) e.g.</S><S sid ="19" ssid = "19">(Lin and Pantel, 2001; Szpektor et al., 2004; Sekine, 2005).</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 3 | Reference Article: I05-5011.xml | Citing Article: C10-2017.xml | Citation Marker Offset: ['12'] | Citation Marker: Sekine, 2005 | Citation Offset: ['12'] | Citation Text: <S sid ="12" ssid = "12">In the same way, most NLP systems like information retrieval (Sekine, 2005) or question answering (Duclaye et al., 2003), based on pattern recognition, can be improved by a paraphrase generator.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 4 | Reference Article: I05-5011.xml | Citing Article: D12-1094.xml | Citation Marker Offset: ['70'] | Citation Marker: Sekine, 2005 | Citation Offset: ['70'] | Citation Text: <S sid ="70" ssid = "25">Data-driven paraphrase discovery methods (Lin and Pantel, 2001; Pasca and Dienes, 2005; Wu and Zhou, 2003; Sekine, 2005) extends the idea of distributional similarity to phrases.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 5 | Reference Article: I05-5011.xml | Citing Article: E09-1025.xml | Citation Marker Offset: ['27'] | Citation Marker: Sekine, 2005 | Citation Offset: ['27'] | Citation Text: <S sid ="27" ssid = "1">A number of automatically acquired inference rule/paraphrase collections are available, such as (Szpektor et al., 2004), (Sekine, 2005).</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 6 | Reference Article: I05-5011.xml | Citing Article: I08-1070.xml | Citation Marker Offset: ['53'] | Citation Marker: Sekine, 2005 | Citation Offset: ['53'] | Citation Text: <S sid ="53" ssid = "24">To avoid the drawback, several linguistic clues, such as fine-grained classification of named entities and coordinated sentences, have been utilized (Sekine, 2005; Torisawa, 2006).</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 

Citance Number: 7 | Reference Article: I05-5011.xml | Citing Article: J10-3003.xml | Citation Marker Offset: ['429'] | Citation Marker: 2005 | Citation Offset: ['429'] | Citation Text: <S sid ="429" ssid = "302">As a later reﬁnement, Sekine (2005) makes a similar attempt at using distributional similarity over named entity pairs in order to produce a list of fully lexicalized phrasal paraphrases for speciﬁc concepts represented by keywords.</S> | Reference Offset: ['13'] | Reference Text: <S sid="13" ssid="13">For example, in Information Retrieval (IR), we have to match a user’s query to the expressions in the desired documents, while in Question Answering (QA), we have to find the answer to the user’s question even if the formulation of the answer in the document is different from the question.</S> | Discourse Facet: Method | Annotator: TSR_Sent_Class | 
